actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-26T00:41:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T00:41:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-26T00:41:32.6Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-26T00:41:32Z,40000,False,,,0,,Jump Ball N. Claxton vs. R. Gobert: Tip to S. Dinwiddie,"[203915, 1629651, 203497]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-26T00:41:48.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,88.64980289093299,46.81372549019608,1610612751,2,0,2024-01-26T00:41:53Z,70000,False,-16.0,54.0,1,right,N. Claxton Hook (2 PTS) (M. Bridges 1 AST),"[1629651, 1628969]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.65,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
8,PT11M20.00S,2024-01-26T00:42:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,5.469776609724048,52.20588235294118,1610612750,2,0,2024-01-26T00:42:12Z,80000,False,-11.0,-1.0,1,left,MISS R. Gobert reverse Layup - blocked,"[203497, 1629651]",1610612750.0,MIN,reverse,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
9,PT11M20.00S,2024-01-26T00:42:09.0Z,1,REGULAR,block,,[],1629651,,,1610612750,2,0,2024-01-26T00:42:11Z,90000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-01-26T00:42:12.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,0,2024-01-26T00:42:12Z,100000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,
11,PT11M12.00S,2024-01-26T00:42:17.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203497,16.770696452036795,57.59803921568627,1610612750,2,2,2024-01-26T01:15:26Z,110000,False,-38.0,105.0,1,left,R. Gobert 11' floating Jump Shot (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,11.18,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
14,PT10M51.00S,2024-01-26T00:42:38.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.04402102496715,53.18627450980392,1610612751,4,2,2024-01-26T00:42:43Z,130000,False,16.0,50.0,1,right,N. Claxton Hook (4 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.29,Made,4.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
16,PT10M38.00S,2024-01-26T00:42:50.3Z,1,REGULAR,3pt,Jump Shot,[],201144,25.706307490144546,81.12745098039215,1610612750,4,5,2024-01-26T00:42:54Z,150000,False,-156.0,189.0,1,left,M. Conley 24' 3PT pullup (3 PTS),[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,24.49,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M18.00S,2024-01-26T00:43:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.8166885676741,39.705882352941174,1610612751,4,5,2024-01-26T00:43:23Z,160000,False,-51.0,118.0,1,right,MISS M. Bridges 12' floating Shot,[1628969],1610612751.0,BKN,floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,12.91,Missed,,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2024-01-26T00:43:14.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,5,2024-01-26T00:43:23Z,170000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M04.00S,2024-01-26T00:43:25.7Z,1,REGULAR,2pt,Hook,[],203497,10.988830486202366,31.862745098039213,1610612750,4,5,2024-01-26T00:43:30Z,180000,False,91.0,51.0,1,left,MISS R. Gobert 10' Hook,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,10.4,Missed,,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2024-01-26T00:43:28.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,5,2024-01-26T00:43:30Z,190000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
