actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-27T23:10:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-27T23:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-27T23:11:02.0Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-27T23:11:02Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Sengun: Tip to S. Dinwiddie,"[203915, 1629651, 1630578]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-27T23:11:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.5722733245729295,54.90196078431373,1610612751,2,0,2024-01-27T23:11:21Z,70000,False,-25.0,19.0,1,left,N. Claxton driving Layup (2 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.08,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2024-01-27T23:11:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,76.82325886990802,5.88235294117647,1610612745,2,0,2024-01-27T23:11:38Z,80000,False,-221.0,165.0,1,right,MISS J. Green 27' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,27.57,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-01-27T23:11:36.9Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,2,0,2024-01-27T23:11:38Z,90000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2024-01-27T23:11:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612751,2,0,2024-01-27T23:11:57Z,100000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Bridges 2 FT),"[1630224, 1628969]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,1.0,0.0,Bridges,1628969.0,,,,,,,,
12,PT11M11.00S,2024-01-27T23:12:15.2Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612751,3,0,2024-01-27T23:12:15Z,120000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-01-27T23:12:32.7Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612751,4,0,2024-01-27T23:12:32Z,130000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-01-27T23:12:47.7Z,1,REGULAR,foul,personal,[],1629651,,,1610612745,4,0,2024-01-27T23:12:54Z,140000,False,,,0,,N. Claxton personal FOUL (1 PF),"[1629651, 1630578]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1198.0,1.0,0.0,Sengun,1630578.0,,,,,,,,
16,PT10M52.00S,2024-01-27T23:13:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,87.46714848883047,41.42156862745098,1610612745,4,0,2024-01-27T23:13:19Z,160000,False,-43.0,65.0,1,right,MISS J. Green 7' fadeaway Shot,[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.81,Missed,,,,,,,,,,,,,,,,,,
