actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-10T23:11:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-10T23:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-10T23:11:16.3Z,1,REGULAR,jumpball,recovered,[],1627732,,,1610612751,0,0,2024-02-10T23:11:16Z,40000,False,,,0,,Jump Ball N. Claxton vs. V. Wembanyama: Tip to B. Simmons,"[1627732, 1629651, 1641705]",1610612751.0,BKN,startperiod,B. Simmons,1627732.0,Simmons,B. Simmons,Claxton,1629651.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-02-10T23:11:34.7Z,1,REGULAR,3pt,Jump Shot,[],1630560,28.597240473061763,24.264705882352942,1610612751,3,0,2024-02-10T23:11:40Z,70000,False,129.0,216.0,1,left,C. Thomas 25' 3PT  (3 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,25.17,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-02-10T23:11:52.0Z,1,REGULAR,2pt,Jump Shot,[],1630170,75.90341655716163,55.88235294117647,1610612759,3,0,2024-02-10T23:11:56Z,80000,False,29.0,174.0,1,right,MISS D. Vassell 17' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,17.65,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-02-10T23:11:54.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,0,2024-02-10T23:11:56Z,90000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2024-02-10T23:12:00.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,5.863994743758213,3.431372549019608,1610612751,3,0,2024-02-10T23:12:44Z,100000,False,233.0,3.0,1,left,MISS M. Bridges running 3PT,[1628969],1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-02-10T23:12:04.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,0,2024-02-10T23:12:06Z,110000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M57.00S,2024-02-10T23:12:20.2Z,1,REGULAR,foul,technical,['1freethrow'],1629651,,,1610612759,3,0,2024-02-10T23:12:40Z,120000,False,,,0,,N. Claxton defensive-3-second technical FOUL (1 Tech),[1629651],1610612751.0,BKN,defensive-3-second,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627541.0,0.0,1.0,,,,,,,,,,
13,PT10M57.00S,2024-02-10T23:12:41.2Z,1,REGULAR,freethrow,1 of 1,[],1630170,,,1610612759,3,1,2024-02-10T23:12:41Z,130000,False,,,0,,D. Vassell technical Free Throw 1 of 1 (1 PTS),[1630170],1610612759.0,SAS,technical,,,Vassell,D. Vassell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2024-02-10T23:12:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,72.61826544021025,82.35294117647058,1610612759,3,1,2024-02-10T23:13:02Z,140000,False,162.0,205.0,1,right,MISS J. Champagnie 26' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2024-02-10T23:13:01.9Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,3,1,2024-02-10T23:13:02Z,150000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M35.00S,2024-02-10T23:13:12.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,27.020367936925098,17.892156862745097,1610612751,3,1,2024-02-10T23:13:17Z,160000,False,161.0,201.0,1,left,MISS D. Finney-Smith 25' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2024-02-10T23:13:15.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,1,2024-02-10T23:13:17Z,170000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,
18,PT10M27.00S,2024-02-10T23:13:21.2Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,3,1,2024-02-10T23:13:27Z,180000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1627732]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Simmons,1627732.0,,,,,,,
