actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-03T23:41:07.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T23:41:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-03T23:41:09.2Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612751,0,0,2024-04-03T23:41:09Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Smith: Tip to M. Bridges,"[1628969, 1629651, 1630188]",1610612751.0,BKN,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Claxton,1629651.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
32,PT11M45.00S,2024-04-03T23:41:29.8Z,1,REGULAR,turnover,lost ball,[],1630560,,,1610612751,0,0,2024-04-03T23:46:49Z,95000,False,,,0,,C. Thomas lost ball TURNOVER (1 TO),"[1630560, 1630188]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,1.0,Smith,1630188.0,,,,,,,,,,,,,,,,,
33,PT11M45.00S,2024-04-03T23:41:29.8Z,1,REGULAR,steal,,[],1630188,,,1610612754,0,0,2024-04-03T23:46:06Z,97500,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-04-03T23:41:36.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629614,14.931011826544022,39.950980392156865,1610612754,0,0,2024-04-03T23:46:06Z,100000,False,50.0,88.0,1,left,MISS A. Nembhard 10' fadeaway bank Shot,[1629614],1610612754.0,IND,fadeaway bank,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,10.12,Missed,,,,,,,,,,,,,,,
11,PT11M29.00S,2024-04-03T23:41:37.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,0,0,2024-04-03T23:41:37Z,110000,False,,,0,,J. Smith REBOUND (Off:1 Def:0),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M27.00S,2024-04-03T23:41:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1630188,10.38107752956636,50.98805147058824,1610612754,0,0,2024-04-03T23:46:06Z,120000,False,-5.0,45.0,1,left,MISS J. Smith putback Layup - blocked,"[1630188, 1629651]",1610612754.0,IND,putback,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,4.54,Missed,,,,,Claxton,1629651.0,,,,,,,,,
13,PT11M27.00S,2024-04-03T23:41:38.9Z,1,REGULAR,block,,[],1629651,,,1610612754,0,0,2024-04-03T23:41:40Z,130000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2024-04-03T23:41:40.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-04-03T23:41:42Z,140000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M11.00S,2024-04-03T23:41:55.3Z,1,REGULAR,2pt,Jump Shot,[],1630560,79.05716162943496,26.715686274509803,1610612751,2,0,2024-04-03T23:42:30Z,150000,False,-116.0,144.0,1,right,C. Thomas 18' fadeaway Jump Shot (2 PTS),[1630560],1610612751.0,BKN,fadeaway,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Left Center,,,,18.55,Made,,,,,,,2.0,,,,,,,,
16,PT10M55.00S,2024-04-03T23:42:11.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,22.552562417871222,87.99019607843137,1610612754,2,0,2024-04-03T23:42:16Z,160000,False,-190.0,159.0,1,left,MISS P. Siakam 24' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,24.81,Missed,,,,,,,,,,,,,,,
17,PT10M51.00S,2024-04-03T23:42:15.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,0,2024-04-03T23:42:16Z,170000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,
18,PT10M37.00S,2024-04-03T23:42:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,89.96386333771353,57.107843137254896,1610612751,4,0,2024-04-03T23:42:54Z,180000,False,36.0,42.0,1,right,M. Bridges turnaround fadeaway Jump Shot (2 PTS),[1628969],1610612751.0,BKN,turnaround fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,5.48,Made,,,,,,,2.0,,,,,,,,
19,PT10M19.00S,2024-04-03T23:42:47.2Z,1,REGULAR,2pt,Jump Shot,[],1630174,5.206964520367937,25.735294117647058,1610612754,4,2,2024-04-03T23:42:54Z,190000,False,121.0,-4.0,1,left,A. Nesmith 12' pullup Jump Shot (2 PTS),[1630174],1610612754.0,IND,pullup,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,,,,12.14,Made,,,,,,,2.0,,,,,,,,
