actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-28T00:41:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-28T00:41:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-28T00:41:44.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-12-28T00:41:44Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Sharpe: Tip to G. Antetokounmpo,"[203507, 201572, 1630549]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-28T00:41:56.5Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612749,0,0,2023-12-28T00:42:24Z,70000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1626220, 203507]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,202027.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2023-12-28T00:42:48.5Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,0,2023-12-28T00:42:48Z,90000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M47.00S,2023-12-28T00:42:48.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2023-12-28T00:42:48Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M47.00S,2023-12-28T00:43:15.0Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,0,1,2023-12-28T00:43:15Z,110000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M26.00S,2023-12-28T00:43:37.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,16.507884362680684,57.84313725490197,1610612751,2,1,2023-12-28T00:43:41Z,120000,False,-39.0,103.0,1,left,C. Thomas 10' pullup Jump Shot (2 PTS) (D. Sharpe 1 AST),"[1630560, 1630549]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,10.99,D. Sharpe,1630549.0,1.0,,,,,,,,
14,PT11M11.00S,2023-12-28T00:43:52.1Z,1,REGULAR,3pt,Jump Shot,[],201572,68.80749014454665,68.87254901960785,1610612749,2,1,2023-12-28T00:43:56Z,140000,False,94.0,241.0,1,right,MISS B. Lopez 25' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.85,,,,,,,,,,,
15,PT11M08.00S,2023-12-28T00:43:55.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,2,1,2023-12-28T00:43:56Z,150000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,,,,,,1.0,1.0,0.0,,,,,
16,PT11M02.00S,2023-12-28T00:44:01.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,29.517082785808146,69.6078431372549,1610612751,2,1,2023-12-28T00:44:51Z,160000,False,-98.0,225.0,1,left,MISS M. Bridges 24' running 3PT,[1628969],1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,24.54,,,,,,,,,,,
17,PT10M59.00S,2023-12-28T00:44:04.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,1,2023-12-28T00:44:06Z,170000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,,,,,1.0,1.0,0.0,,,,,
18,PT10M53.00S,2023-12-28T00:44:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.06636005256242,52.20588235294118,1610612749,2,1,2023-12-28T00:44:14Z,180000,False,11.0,22.0,1,right,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1630549]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.47,,,,,,,Sharpe,1630549.0,,,
