actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-24T00:41:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-24T00:41:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-24T00:41:37.6Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2023-12-24T00:41:37Z,40000,False,,,0,,Jump Ball I. Stewart vs. N. Claxton: Tip to J. Ivey,"[1631093, 1630191, 1629651]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Stewart,1630191.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-24T00:41:52.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,93.24901445466492,50.245098039215684,1610612765,0,2,2023-12-24T00:41:58Z,70000,False,1.0,11.0,1,right,A. Thompson driving DUNK (2 PTS) (J. Ivey 1 AST),"[1641709, 1631093]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
9,PT11M43.00S,2023-12-24T00:41:56.7Z,1,REGULAR,foul,personal,['1freethrow'],1629651,,,1610612765,0,2,2023-12-24T00:42:08Z,90000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Thompson 1 FT),"[1629651, 1641709]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,1.0,0.0,Thompson,1641709.0,,,,,,,,,
11,PT11M43.00S,2023-12-24T00:42:17.4Z,1,REGULAR,freethrow,1 of 1,[],1641709,,,1610612765,0,3,2023-12-24T00:42:17Z,110000,False,,,0,,A. Thompson Free Throw 1 of 1 (3 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2023-12-24T00:42:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,4.944152431011826,96.56862745098039,1610612751,0,3,2023-12-24T00:42:52Z,120000,False,-233.0,-6.0,1,left,MISS C. Johnson 3PT - blocked,"[1629661, 1631093]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,Ivey,1631093.0,,,,,,,
13,PT11M20.00S,2023-12-24T00:42:45.8Z,1,REGULAR,block,,[],1631093,,,1610612751,0,3,2023-12-24T00:42:49Z,130000,False,,,0,,J. Ivey BLOCK (1 BLK),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-12-24T00:42:51.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,3,2023-12-24T00:42:52Z,140000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,
15,PT11M08.00S,2023-12-24T00:42:57.8Z,1,REGULAR,3pt,Jump Shot,[],1630595,71.96123521681997,20.833333333333336,1610612765,0,6,2023-12-24T00:43:04Z,150000,False,-146.0,211.0,1,right,C. Cunningham 25' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1630595, 202711]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,25.66,Made,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,
17,PT10M49.00S,2023-12-24T00:43:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612751,0,6,2023-12-24T00:43:32Z,170000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1631093, 203915]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,202901.0,1.0,0.0,Dinwiddie,203915.0,,,,,,,,,
