actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-04-10T23:41:40.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-10T23:41:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-10T23:41:44.0Z,1,REGULAR,jumpball,recovered,[],1630534,,,1610612761,0,0,2024-04-10T23:41:44Z,40000,False,,,0,,Jump Ball M. Williams vs. N. Claxton: Tip to O. Agbaji,"[1630534, 1642013, 1629651]",1610612761.0,TOR,startperiod,O. Agbaji,1630534.0,Agbaji,O. Agbaji,Williams,1642013.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-04-10T23:42:06.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642013,82.7365308804205,42.15686274509804,1610612761,0,0,2024-04-10T23:42:11Z,70000,False,-39.0,110.0,1,right,MISS M. Williams 11' turnaround Hook,[1642013],1610612761.0,TOR,turnaround,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,11.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-04-10T23:42:09.3Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,0,0,2024-04-10T23:42:11Z,80000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-04-10T23:42:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,12.171484888304862,54.41176470588235,1610612751,0,0,2024-04-10T23:44:23Z,90000,False,-22.0,62.0,1,left,MISS D. Schroder 6' driving finger roll Layup,[203471],1610612751.0,BKN,driving finger roll,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-04-10T23:42:22.6Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2024-04-10T23:42:31Z,100000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-04-10T23:42:32.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630560,6.915243101182654,77.94117647058823,1610612751,0,0,2024-04-10T23:42:36Z,110000,False,-140.0,13.0,1,left,MISS C. Thomas 14' fadeaway Shot,[1630560],1610612751.0,BKN,fadeaway,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,14.03,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-04-10T23:42:35.4Z,1,REGULAR,rebound,offensive,[],203471,,,1610612751,0,0,2024-04-10T23:47:37Z,120000,False,,,0,,D. Schroder REBOUND (Off:1 Def:0),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Left,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M56.00S,2024-04-10T23:42:43.4Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612751,0,0,2024-04-10T23:42:46Z,130000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1642013]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Williams,1642013.0,,,,,,,,,,,
14,PT10M56.00S,2024-04-10T23:42:43.4Z,1,REGULAR,steal,,[],1642013,,,1610612761,0,0,2024-04-10T23:42:44Z,140000,False,,,0,,M. Williams STEAL (1 STL),[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2024-04-10T23:42:52.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641711,92.59198423127464,3.431372549019608,1610612761,0,0,2024-04-10T23:43:00Z,150000,False,-233.0,17.0,1,right,MISS G. Dick 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2024-04-10T23:42:55.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-04-10T23:43:00Z,160000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Left Corner 3,24+ Left,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M36.00S,2024-04-10T23:43:03.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,20.581471747700395,89.70588235294117,1610612751,0,0,2024-04-10T23:43:07Z,170000,False,-199.0,141.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.35,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2024-04-10T23:43:05.5Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,0,0,2024-04-10T23:43:07Z,180000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M27.00S,2024-04-10T23:43:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,92.72339027595268,46.32352941176471,1610612761,0,0,2024-04-10T23:43:48Z,190000,False,-18.0,16.0,1,right,MISS O. Agbaji driving Layup,[1630534],1610612761.0,TOR,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2024-04-10T23:43:14.8Z,1,REGULAR,rebound,offensive,[],1642013,,,1610612761,0,0,2024-04-10T23:44:18Z,200000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M25.00S,2024-04-10T23:43:15.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642013,94.40999984741211,50.0,1610612761,0,0,2024-04-10T23:45:06Z,210000,False,0.0,0.0,1,right,MISS M. Williams tip DUNK,[1642013],1610612761.0,TOR,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M23.00S,2024-04-10T23:43:17.9Z,1,REGULAR,rebound,offensive,[],1642013,,,1610612761,0,0,2024-04-10T23:44:33Z,220000,False,,,0,,M. Williams REBOUND (Off:2 Def:0),[1642013],1610612761.0,TOR,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,21.0,2.0,0.0,2.0,,,,,,,,,,,,,,
23,PT10M20.00S,2024-04-10T23:43:19.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642013,94.40999984741211,50.0,1610612761,0,0,2024-04-10T23:44:05Z,230000,False,0.0,0.0,1,right,MISS M. Williams putback Layup - blocked,"[1642013, 1629651]",1610612761.0,TOR,putback,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,Claxton,1629651.0,,,,,,,,,
