actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-17T00:45:42.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T00:45:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2022-02-17T00:45:50.6Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-02-17T00:45:50Z,40000,,,0,,Jump Ball M. Robinson vs. A. Drummond: Tip to J. Randle,"[203944, 1629011, 203083]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-02-17T00:46:09.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,0,0,2022-02-17T00:46:16Z,70000,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-02-17T00:46:38.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201988,29.38567674113009,17.647058823529413,1610612751,0,0,2022-02-17T00:46:45Z,80000,162.0,224.0,1,left,MISS P. Mills 27' 3PT - blocked,"[201988, 1629011]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,,27.61,Missed,Robinson,1629011.0,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-02-17T00:46:38.3Z,1,REGULAR,block,,[],1629011,,,1610612751,0,0,2022-02-17T00:47:16Z,85000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-02-17T00:46:40.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-02-17T00:46:45Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M06.00S,2022-02-17T00:46:52.7Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612752,0,0,2022-02-17T00:47:58Z,100000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Walker 2 FT),"[203083, 202689]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,1627541.0,,,,,,,,,1.0,0.0,Walker,202689.0,,,,,,,,
13,PT11M06.00S,2022-02-17T00:47:24.7Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612752,1,0,2022-02-17T00:47:24Z,120000,,,0,,K. Walker Free Throw 1 of 2 (1 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
14,PT11M06.00S,2022-02-17T00:47:42.3Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612752,2,0,2022-02-17T00:47:42Z,130000,,,0,,K. Walker Free Throw 2 of 2 (2 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
15,PT10M50.00S,2022-02-17T00:47:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,8.09789750328515,53.18627450980392,1610612751,2,2,2022-02-17T00:48:08Z,140000,-16.0,24.0,1,left,J. Johnson cutting Layup (2 PTS) (S. Curry 1 AST),"[201949, 203552]",1610612751.0,BKN,cutting,,,Johnson,J. Johnson,,,,,,2.85,Made,,,,,,,,,,,2.0,S. Curry,203552.0,1.0,,,,
17,PT10M42.00S,2022-02-17T00:48:07.7Z,1,REGULAR,3pt,Jump Shot,[],203944,90.22667542706965,3.1862745098039214,1610612752,5,2,2022-02-17T00:48:59Z,160000,-234.0,39.0,1,right,J. Randle 3PT pullup (3 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,23.74,Made,,,,,,,,,,,3.0,,,,,,,
