actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-19T00:41:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-19T00:41:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-19T00:41:37.4Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2022-01-19T00:41:37Z,40000,,,0,,Jump Ball K. Towns vs. M. Robinson: Tip to A. Edwards,"[1630162, 1626157, 1629011]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Towns,1626157.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-19T00:41:51.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,0,0,2022-01-19T00:41:51Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-19T00:42:07.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.517082785808146,71.56862745098039,1610612750,0,3,2022-01-19T00:42:14Z,80000,-108.0,225.0,1,left,D. Russell 24' 3PT  (3 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.95,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-19T00:42:24.8Z,1,REGULAR,3pt,Jump Shot,[],203944,69.07030223390277,64.4607843137255,1610612752,0,3,2022-01-19T00:42:32Z,90000,72.0,238.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-01-19T00:42:26.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,3,2022-01-19T00:42:32Z,100000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M09.00S,2022-01-19T00:42:37.3Z,1,REGULAR,2pt,Jump Shot,[],1626156,21.76412614980289,54.41176470588235,1610612750,0,3,2022-01-19T00:42:44Z,110000,-22.0,152.0,1,left,MISS D. Russell 15' fadeaway Shot,[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,15.37,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-01-19T00:42:39.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,3,2022-01-19T00:42:44Z,120000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M00.00S,2022-01-19T00:42:45.1Z,1,REGULAR,3pt,Jump Shot,[],203095,95.22010512483574,4.6568627450980395,1610612752,3,3,2022-01-19T00:43:49Z,130000,-227.0,-8.0,1,right,E. Fournier 3PT  (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,22.68,Made,3.0,,,,,J. Randle,203944.0,1.0,,,,,,,,,,
15,PT10M48.00S,2022-01-19T00:42:58.0Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,3,3,2022-01-19T00:43:03Z,150000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 203095]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,
