actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-04-10T23:12:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T23:12:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-10T23:12:02.8Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-04-10T23:12:02Z,40000,,,0,,Jump Ball J. Sims vs. S. Barnes: Tip to A. Burks,"[202692, 1630579, 1630567]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Sims,1630579.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-04-10T23:12:17.3Z,1,REGULAR,3pt,Jump Shot,[],203095,67.23061760840999,38.970588235294116,1610612752,0,0,2022-04-10T23:12:22Z,70000,-55.0,256.0,1,right,MISS E. Fournier 26' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-04-10T23:12:21.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-04-10T23:12:22Z,80000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-04-10T23:12:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,13.61695137976347,56.372549019607845,1610612761,0,0,2022-04-10T23:12:47Z,90000,-32.0,75.0,1,left,MISS G. Trent Jr. 8' turnaround Shot - blocked,"[1629018, 203095]",1610612761.0,TOR,turnaround,,,Trent Jr.,G. Trent Jr.,,,,,8.2,Missed,,,,,Fournier,203095.0,,,,,,,,,,,,
10,PT11M18.00S,2022-04-10T23:12:40.9Z,1,REGULAR,block,,[],203095,,,1610612761,0,0,2022-04-10T23:12:44Z,100000,,,0,,E. Fournier BLOCK (1 BLK),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-04-10T23:12:44.9Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,0,0,2022-04-10T23:12:47Z,110000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2022-04-10T23:12:47.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202692,67.62483574244416,56.372549019607845,1610612752,3,0,2022-04-10T23:13:33Z,120000,32.0,252.0,1,right,A. Burks 25' 3PT running (3 PTS) (E. Fournier 1 AST),"[202692, 203095]",1610612752.0,NYK,running,,,Burks,A. Burks,,,,,25.38,Made,,,,,,,3.0,E. Fournier,203095.0,1.0,,,,,,,,
14,PT10M50.00S,2022-04-10T23:13:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,6.258212877792378,47.549019607843135,1610612761,3,2,2022-04-10T23:13:16Z,140000,12.0,6.0,1,left,S. Barnes Layup (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1.38,Made,,,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,
16,PT10M35.00S,2022-04-10T23:13:23.9Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612752,3,2,2022-04-10T23:13:27Z,160000,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 1630567]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,,,,,
