actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-01T00:41:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:41:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-01T00:41:18.4Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612758,0,0,2022-02-01T00:41:18Z,40000,,,0,,Jump Ball R. Holmes vs. M. Robinson: Tip to D. Mitchell,"[1630558, 1626158, 1629011]",1610612758.0,SAC,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Holmes,1626158.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-01T00:41:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630558,9.017739816031538,5.88235294117647,1610612758,0,3,2022-02-01T00:41:38Z,70000,221.0,32.0,1,left,D. Mitchell 3PT  (3 PTS) (H. Barnes 1 AST),"[1630558, 203084]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,22.3,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
9,PT11M13.00S,2022-02-01T00:42:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,88.64980289093299,40.44117647058824,1610612752,0,3,2022-02-01T00:42:10Z,90000,-48.0,54.0,1,right,MISS K. Walker 7' driving floating Shot - blocked,"[202689, 1630558]",1610612752.0,NYK,driving floating,,,Walker,K. Walker,,,,,7.23,Missed,,,,,Mitchell,1630558.0,,,,,,,,,,,,
10,PT11M13.00S,2022-02-01T00:42:02.3Z,1,REGULAR,block,,[],1630558,,,1610612752,0,3,2022-02-01T00:42:05Z,100000,,,0,,D. Mitchell BLOCK (1 BLK),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-02-01T00:42:04.3Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,0,3,2022-02-01T00:42:10Z,110000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT10M57.00S,2022-02-01T00:42:18.7Z,1,REGULAR,3pt,Jump Shot,[],203084,32.276609724047304,54.90196078431373,1610612758,0,3,2022-02-01T00:42:28Z,120000,-25.0,251.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2022-02-01T00:42:20.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,0,3,2022-02-01T00:42:28Z,130000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M49.00S,2022-02-01T00:42:26.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203095,81.2910643889619,85.04901960784314,1610612752,2,3,2022-02-01T00:42:56Z,140000,175.0,123.0,1,right,E. Fournier 21' running Jump Shot (2 PTS) (K. Walker 1 AST),"[203095, 202689]",1610612752.0,NYK,running,,,Fournier,E. Fournier,,,,,21.43,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
16,PT10M33.00S,2022-02-01T00:42:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630558,29.517082785808146,25.0,1610612758,2,3,2022-02-01T00:42:47Z,160000,125.0,225.0,1,left,MISS D. Mitchell 25' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2022-02-01T00:42:44.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,3,2022-02-01T00:42:47Z,170000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M23.00S,2022-02-01T00:42:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.9060446780552,53.431372549019606,1610612752,2,3,2022-02-01T00:43:03Z,180000,17.0,5.0,1,right,MISS R. Barrett reverse Layup,[1629628],1610612752.0,NYK,reverse,,,Barrett,R. Barrett,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2022-02-01T00:42:56.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,2,3,2022-02-01T00:43:03Z,190000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,
20,PT10M21.00S,2022-02-01T00:42:59.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,2,3,2022-02-01T00:43:00Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M00.00S,2022-02-01T00:43:24.3Z,1,REGULAR,turnover,bad pass,[],203084,,,1610612758,2,3,2022-02-01T00:43:27Z,210000,,,0,,H. Barnes bad pass TURNOVER (1 TO),"[203084, 202689]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,,,
22,PT10M00.00S,2022-02-01T00:43:24.3Z,1,REGULAR,steal,,[],202689,,,1610612752,2,3,2022-02-01T00:43:25Z,220000,,,0,,K. Walker STEAL (1 STL),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M46.00S,2022-02-01T00:43:38.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,73.80091984231275,66.42156862745098,1610612752,2,3,2022-02-01T00:44:01Z,230000,82.0,194.0,1,right,MISS J. Randle 21' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,21.05,Missed,,,,,,,,,,,,,,,,,,
24,PT09M44.00S,2022-02-01T00:43:40.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,2,3,2022-02-01T00:43:45Z,240000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M41.00S,2022-02-01T00:43:45.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203090,6.176084099868594,46.978400735294116,1610612758,2,5,2022-02-01T00:44:36Z,250000,15.0,6.0,1,left,M. Harkless running Layup (2 PTS) (T. Haliburton 1 AST),"[203090, 1630169]",1610612758.0,SAC,running,,,Harkless,M. Harkless,,,,,1.61,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
27,PT09M19.00S,2022-02-01T00:44:05.0Z,1,REGULAR,2pt,Jump Shot,[],203095,79.188567674113,46.568627450980394,1610612752,4,5,2022-02-01T00:44:16Z,270000,-17.0,143.0,1,right,E. Fournier 14' floating Jump Shot (4 PTS),[203095],1610612752.0,NYK,floating,,,Fournier,E. Fournier,,,,,14.41,Made,4.0,,,,,,,,,,,,,,,,,
28,PT08M59.00S,2022-02-01T00:44:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630558,31.882391590013142,39.21568627450981,1610612758,4,5,2022-02-01T00:44:30Z,280000,54.0,247.0,1,left,MISS D. Mitchell 25' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
29,PT08M57.00S,2022-02-01T00:44:27.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,4,5,2022-02-01T00:44:30Z,290000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT08M45.00S,2022-02-01T00:44:38.9Z,1,REGULAR,3pt,Jump Shot,[],203095,83.65637319316689,4.411764705882353,1610612752,7,5,2022-02-01T00:44:43Z,300000,-228.0,101.0,1,right,E. Fournier 24' 3PT  (7 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.93,Made,7.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
32,PT08M33.00S,2022-02-01T00:44:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,16.507884362680684,49.754901960784316,1610612758,7,7,2022-02-01T00:44:57Z,320000,1.0,103.0,1,left,R. Holmes 10' floating Jump Shot (2 PTS) (T. Haliburton 2 AST),"[1626158, 1630169]",1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,10.27,Made,2.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
34,PT08M14.00S,2022-02-01T00:45:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,92.19776609724047,55.14705882352941,1610612752,7,7,2022-02-01T00:45:41Z,340000,26.0,21.0,1,right,MISS K. Walker driving floating bank Shot,[202689],1610612752.0,NYK,driving floating bank,,,Walker,K. Walker,,,,,3.31,Missed,,,,,,,,,,,,,,,,,,
35,PT08M12.00S,2022-02-01T00:45:13.6Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,7,7,2022-02-01T00:45:27Z,350000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT08M05.00S,2022-02-01T00:45:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,8.623521681997373,46.32352941176471,1610612758,7,7,2022-02-01T00:45:31Z,360000,18.0,29.0,1,left,MISS T. Haliburton driving Layup,[1630169],1610612758.0,SAC,driving,,,Haliburton,T. Haliburton,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,
37,PT08M03.00S,2022-02-01T00:45:21.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,7,7,2022-02-01T00:45:31Z,370000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,
38,PT07M55.00S,2022-02-01T00:45:29.9Z,1,REGULAR,3pt,Jump Shot,[],203095,71.17279894875165,75.0,1610612752,10,7,2022-02-01T00:45:34Z,380000,125.0,218.0,1,right,E. Fournier 25' 3PT  (10 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.17,Made,10.0,,,,,,,,,,,,,,,,,
39,PT07M43.00S,2022-02-01T00:45:41.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,25.837713534822605,83.82352941176471,1610612758,10,10,2022-02-01T00:45:45Z,390000,-169.0,190.0,1,left,T. Haliburton 25' 3PT  (3 PTS),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,25.47,Made,3.0,,,,,,,,,,,,,,,,,
40,PT07M22.00S,2022-02-01T00:46:02.1Z,1,REGULAR,3pt,Jump Shot,[],203944,86.15308804204993,3.9215686274509802,1610612752,13,10,2022-02-01T00:46:06Z,400000,-230.0,78.0,1,right,J. Randle 24' 3PT  (3 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.31,Made,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,
42,PT07M04.00S,2022-02-01T00:46:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,6.521024967148489,62.99019607843137,1610612758,13,12,2022-02-01T00:46:28Z,420000,-65.0,9.0,1,left,D. Mitchell 6' fadeaway Jump Shot (5 PTS),[1630558],1610612758.0,SAC,fadeaway,,,Mitchell,D. Mitchell,,,,,6.56,Made,5.0,,,,,,,,,,,,,,,,,
43,PT06M54.00S,2022-02-01T00:46:31.7Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,13,12,2022-02-01T00:46:38Z,430000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1.0,,,202027.0,,,,
44,PT06M54.00S,2022-02-01T00:46:35.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,13,12,2022-02-01T00:54:12Z,440000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT06M54.00S,2022-02-01T00:46:35.6Z,1,REGULAR,substitution,out,[],203090,,,1610612758,13,12,2022-02-01T00:49:37Z,450000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M54.00S,2022-02-01T00:46:35.6Z,1,REGULAR,substitution,out,[],1630558,,,1610612758,13,12,2022-02-01T00:49:37Z,460000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M54.00S,2022-02-01T00:46:35.6Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,13,12,2022-02-01T00:49:37Z,470000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M54.00S,2022-02-01T00:46:35.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,13,12,2022-02-01T00:49:37Z,480000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M35.00S,2022-02-01T00:49:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,3.3672798948751645,97.79411764705883,1610612758,13,12,2022-02-01T00:50:06Z,490000,-239.0,-21.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,
50,PT06M33.00S,2022-02-01T00:50:01.8Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,13,12,2022-02-01T00:50:06Z,500000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,
51,PT06M18.00S,2022-02-01T00:50:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,92.06636005256242,3.9215686274509802,1610612752,13,12,2022-02-01T00:50:26Z,510000,-230.0,22.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,
52,PT06M16.00S,2022-02-01T00:50:18.5Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,13,12,2022-02-01T00:50:26Z,520000,,,0,,M. Robinson REBOUND (Off:1 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,51.0,3.0,2.0,1.0,,,,,,,,
53,PT06M16.00S,2022-02-01T00:50:21.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,94.40999984741211,50.0,1610612752,15,12,2022-02-01T00:50:32Z,530000,0.0,0.0,1,right,M. Robinson tip Layup (2 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
54,PT05M52.00S,2022-02-01T00:50:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,28.465834428383708,21.568627450980394,1610612758,15,12,2022-02-01T00:50:48Z,540000,142.0,215.0,1,left,MISS T. Haliburton 25' step back 3PT,[1630169],1610612758.0,SAC,step back,,,Haliburton,T. Haliburton,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,
55,PT05M50.00S,2022-02-01T00:50:44.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,15,12,2022-02-01T00:50:48Z,550000,,,0,,M. Robinson REBOUND (Off:1 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,54.0,4.0,3.0,1.0,,,,,,,,
56,PT05M40.00S,2022-02-01T00:50:54.8Z,1,REGULAR,3pt,Jump Shot,[],203944,73.9323258869908,85.04901960784314,1610612752,15,12,2022-02-01T00:51:00Z,560000,175.0,193.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
57,PT05M38.00S,2022-02-01T00:50:56.8Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,15,12,2022-02-01T00:51:00Z,570000,,,0,,R. Holmes REBOUND (Off:0 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,
