actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoverdPersonId,playerName,playerNameI,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-02-03T00:46:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T00:46:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT12M00.00S,2022-02-03T00:46:26.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2022-02-03T00:55:26Z,25000,,,0,,Jump Ball S. Adams vs. M. Robinson: Tip to Team (MEM),"[203500, 1629011]",1610612763.0,MEM,startperiod,Team (MEM),Adams,203500.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2022-02-03T00:46:43.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-02-03T00:56:48Z,40000,,,0,,Jump Ball J. Jackson Jr. vs. M. Robinson: Tip to J. Morant,"[1629630, 1628991, 1629011]",1610612763.0,MEM,heldball,J. Morant,Jackson Jr.,1628991.0,Robinson,1629011.0,1629630.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-02-03T00:46:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.32917214191852,49.01960784313725,1610612763,0,0,2022-02-03T00:47:06Z,70000,-5.0,20.0,1,right,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1629011]",1610612763.0,MEM,driving,,,,,,,Jackson Jr.,J. Jackson Jr.,2.02,Missed,Robinson,1629011.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-03T00:46:56.9Z,1,REGULAR,block,,[],1629011,,,1610612763,0,0,2022-02-03T00:47:01Z,80000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-02-03T00:46:58.9Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,0,0,2022-02-03T00:47:06Z,90000,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,,,,,Bane,D. Bane,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M31.00S,2022-02-03T00:47:02.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630217,84.70762155059133,38.48039215686275,1610612763,0,0,2022-02-03T00:47:53Z,100000,-58.0,91.0,1,right,MISS D. Bane 10' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,,,,,Bane,D. Bane,10.79,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-02-03T00:47:03.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-02-03T00:47:11Z,110000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,,,,,Randle,J. Randle,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M25.00S,2022-02-03T00:47:11.3Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612752,0,0,2022-02-03T00:47:33Z,120000,,,0,,S. Adams shooting personal FOUL (1 PF) (Barrett 2 FT),"[203500, 1629628]",1610612763.0,MEM,shooting,,,,,,,Adams,S. Adams,,,,,,,,,204059.0,1.0,0.0,Barrett,1629628.0,,,,,,,,
14,PT11M25.00S,2022-02-03T00:47:41.2Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,0,2022-02-03T00:47:41Z,140000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,,,,,Barrett,R. Barrett,,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M25.00S,2022-02-03T00:47:41.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,0,2022-02-03T00:47:41Z,150000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,
16,PT11M25.00S,2022-02-03T00:47:47.2Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,1,0,2022-02-03T00:47:47Z,160000,,,0,,R. Barrett Free Throw 2 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,,,,,Barrett,R. Barrett,,Made,,,,,,,,,,,,1.0,,,,,,,
17,PT11M06.00S,2022-02-03T00:48:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,85.75886990801577,48.529411764705884,1610612763,1,2,2022-02-03T00:48:13Z,170000,-7.0,81.0,1,right,J. Morant 8' floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,floating,,,,,,,Morant,J. Morant,8.17,Made,,,,,,,,,,,,2.0,,,,,,,
18,PT10M52.00S,2022-02-03T00:48:21.4Z,1,REGULAR,3pt,Jump Shot,[],203944,32.53942181340342,61.029411764705884,1610612752,1,2,2022-02-03T00:48:27Z,180000,-55.0,253.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,,,,,Randle,J. Randle,25.93,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2022-02-03T00:48:23.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,1,2,2022-02-03T00:48:27Z,190000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,,,,,Adams,S. Adams,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M45.00S,2022-02-03T00:48:28.3Z,1,REGULAR,3pt,Jump Shot,[],1630533,74.98357424441524,83.57843137254902,1610612763,1,2,2022-02-03T00:48:39Z,200000,168.0,183.0,1,right,MISS Z. Williams 24' 3PT,[1630533],1610612763.0,MEM,,,,,,,,Williams,Z. Williams,24.81,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2022-02-03T00:48:32.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,1,2,2022-02-03T00:48:32Z,210000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
22,PT10M43.00S,2022-02-03T00:48:34.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,1,2,2022-02-03T00:48:34Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M40.00S,2022-02-03T00:48:54.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630217,95.87713534822602,70.09803921568627,1610612763,1,2,2022-02-03T00:49:02Z,230000,100.0,-14.0,1,right,MISS D. Bane 10' floating Shot,[1630217],1610612763.0,MEM,floating,,,,,,,Bane,D. Bane,10.14,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M38.00S,2022-02-03T00:48:56.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,1,2,2022-02-03T00:49:02Z,240000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,,,,,Walker,K. Walker,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M26.00S,2022-02-03T00:49:08.1Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,1,2,2022-02-03T00:49:11Z,250000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1629630]",1610612752.0,NYK,,,,,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,1.0,Morant,1629630.0,,,,
26,PT10M26.00S,2022-02-03T00:49:08.1Z,1,REGULAR,steal,,[],1629630,,,1610612763,1,2,2022-02-03T00:49:09Z,260000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,
27,PT10M21.00S,2022-02-03T00:49:13.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630533,94.95729303547962,48.77450980392157,1610612763,1,4,2022-02-03T00:49:22Z,270000,-6.0,-5.0,1,right,Z. Williams alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1630533, 1629630]",1610612763.0,MEM,alley-oop,,,,,,,Williams,Z. Williams,0.8,Made,,,,,,,,,,,,2.0,,,,J. Morant,1629630.0,1.0,
29,PT10M02.00S,2022-02-03T00:49:32.0Z,1,REGULAR,3pt,Jump Shot,[],202689,25.706307490144546,81.12745098039215,1610612752,1,4,2022-02-03T00:49:37Z,290000,-156.0,189.0,1,left,MISS K. Walker 24' 3PT,[202689],1610612752.0,NYK,,,,,,,,Walker,K. Walker,24.49,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M00.00S,2022-02-03T00:49:34.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,1,4,2022-02-03T00:49:37Z,300000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M49.00S,2022-02-03T00:49:45.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,86.5473061760841,40.931372549019606,1610612763,1,6,2022-02-03T00:49:51Z,310000,-45.0,74.0,1,right,J. Jackson Jr. 8' turnaround Hook (2 PTS),[1628991],1610612763.0,MEM,turnaround,,,,,,,Jackson Jr.,J. Jackson Jr.,8.68,Made,,,,,,,,,,,,2.0,,,,,,,
32,PT09M30.00S,2022-02-03T00:50:05.2Z,1,REGULAR,3pt,Jump Shot,[],203944,18.74178712220762,92.64705882352942,1610612752,1,6,2022-02-03T00:50:13Z,320000,-213.0,124.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,,,,,Randle,J. Randle,24.65,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M28.00S,2022-02-03T00:50:07.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,1,6,2022-02-03T00:50:13Z,330000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,
34,PT09M28.00S,2022-02-03T00:50:12.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,1,6,2022-02-03T00:50:12Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2022-02-03T00:50:32.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,66.5735873850197,51.470588235294116,1610612763,1,6,2022-02-03T00:50:38Z,350000,7.0,262.0,1,right,MISS J. Morant 26' step back 3PT,[1629630],1610612763.0,MEM,step back,,,,,,,Morant,J. Morant,26.18,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M13.00S,2022-02-03T00:50:34.9Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612763,1,6,2022-02-03T00:50:38Z,360000,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612763.0,MEM,,,,,,,,Williams,Z. Williams,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,
37,PT09M10.00S,2022-02-03T00:50:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,93.64323258869908,51.9607843137255,1610612763,1,6,2022-02-03T00:50:44Z,370000,10.0,7.0,1,right,MISS S. Adams Layup,[203500],1610612763.0,MEM,,,,,,,,Adams,S. Adams,1.22,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2022-02-03T00:50:40.3Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,1,6,2022-02-03T00:50:44Z,380000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,,,,,Adams,S. Adams,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,
39,PT09M08.00S,2022-02-03T00:50:41.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203500,94.40999984741211,50.0,1610612763,1,8,2022-02-03T00:50:47Z,390000,0.0,0.0,1,right,S. Adams tip Layup (2 PTS),[203500],1610612763.0,MEM,tip,,,,,,,Adams,S. Adams,0.0,Made,,,,,,,,,,,,2.0,,,,,,,
40,PT08M48.00S,2022-02-03T00:51:01.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629628,7.5722733245729295,57.84313725490197,1610612752,1,8,2022-02-03T00:51:11Z,400000,-39.0,19.0,1,left,MISS R. Barrett driving Hook,[1629628],1610612752.0,NYK,driving,,,,,,,Barrett,R. Barrett,4.34,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M46.00S,2022-02-03T00:51:03.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,1,8,2022-02-03T00:51:11Z,410000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,,,,,Robinson,M. Robinson,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,
58,PT08M46.00S,2022-02-03T00:51:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,6.389618922470433,50.49019607843137,1610612752,1,8,2022-02-03T00:53:53Z,415000,-2.0,8.0,1,left,MISS M. Robinson tip Layup,[1629011],1610612752.0,NYK,tip,,,,,,,Robinson,M. Robinson,0.8,Missed,,,,,,,,,,,,,,,,,,,
59,PT08M44.00S,2022-02-03T00:51:05.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,1,8,2022-02-03T00:59:25Z,417500,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,,,,,Robinson,M. Robinson,,,,,58.0,2.0,0.0,2.0,,,,,,,,,,,,,
