actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-01T23:40:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T23:40:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-01T23:40:50.8Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-11-01T23:40:50Z,40000,,,0,,Jump Ball M. Robinson vs. P. Achiuwa: Tip to K. Walker,"[202689, 1629011, 1630173]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-11-01T23:41:13.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2021-11-01T23:41:13Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-11-01T23:41:30.6Z,1,REGULAR,3pt,Jump Shot,[],203095,68.41327201051249,29.65686274509804,1610612752,0,0,2021-11-01T23:41:35Z,80000,-102.0,244.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-01T23:41:32.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,0,2021-11-01T23:41:32Z,90000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M07.00S,2021-11-01T23:41:56.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,7.5722733245729295,95.83333333333334,1610612761,0,0,2021-11-01T23:42:00Z,100000,-229.0,19.0,1,left,MISS O. Anunoby 3PT - blocked,"[1628384, 203944]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,23.0,Missed,,,,,Randle,203944.0,,,,,,,,,,,,,
11,PT11M07.00S,2021-11-01T23:41:56.1Z,1,REGULAR,block,,[],203944,,,1610612761,0,0,2021-11-01T23:41:58Z,110000,,,0,,J. Randle BLOCK (1 BLK),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2021-11-01T23:41:58.1Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2021-11-01T23:42:00Z,120000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-11-01T23:42:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,84.1819973718791,63.48039215686274,1610612752,0,0,2021-11-01T23:42:13Z,130000,67.0,96.0,1,right,MISS R. Barrett 11' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,11.75,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-11-01T23:42:08.6Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,0,2021-11-01T23:42:13Z,140000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
15,PT10M49.00S,2021-11-01T23:42:13.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627832,19.136005256241788,63.23529411764706,1610612761,0,2,2021-11-01T23:42:19Z,150000,-66.0,127.0,1,left,F. VanVleet 14' pullup Jump Shot (2 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,14.36,Made,,,,,,,2.0,,,,,,,,,,,,
16,PT10M27.00S,2021-11-01T23:42:35.7Z,1,REGULAR,3pt,Jump Shot,[],203944,94.56307490144546,1.715686274509804,1610612752,3,2,2021-11-01T23:42:43Z,160000,-241.0,-1.0,1,right,J. Randle 24' 3PT  (3 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.14,Made,,,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,,,
18,PT10M03.00S,2021-11-01T23:42:59.0Z,1,REGULAR,2pt,Jump Shot,[],1627832,21.23850197109067,67.8921568627451,1610612761,3,2,2021-11-01T23:43:05Z,180000,-89.0,147.0,1,left,MISS F. VanVleet 17' fadeaway Shot,[1627832],1610612761.0,TOR,fadeaway,,,VanVleet,F. VanVleet,,,,,17.22,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M01.00S,2021-11-01T23:43:01.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,3,2,2021-11-01T23:43:05Z,190000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT09M53.00S,2021-11-01T23:43:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,94.30026281208936,95.09803921568627,1610612752,6,2,2021-11-01T23:43:15Z,200000,225.0,1.0,1,right,R. Barrett 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.55,Made,,,,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,,
