actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,value
2,PT12M00.00S,2022-04-06T23:45:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T23:45:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-06T23:45:25.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612751,0,0,2022-04-06T23:45:25Z,40000,,,0,,Jump Ball A. Drummond vs. J. Sims: Tip to Team (BKN),"[203083, 1630579]",1610612751.0,BKN,startperiod,Team (BKN),Drummond,203083.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-04-06T23:45:42.8Z,1,REGULAR,3pt,Jump Shot,[],203552,31.61957950065703,33.57843137254902,1610612751,0,3,2022-04-06T23:45:47Z,70000,82.0,245.0,1,left,S. Curry 25' 3PT  (3 PTS) (K. Durant 1 AST),"[203552, 201142]",1610612751.0,BKN,,,,,,,25.81,Made,3.0,Curry,S. Curry,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-04-06T23:46:00.0Z,1,REGULAR,3pt,Jump Shot,[],203095,67.88764783180025,53.18627450980392,1610612752,0,3,2022-04-06T23:46:06Z,90000,16.0,249.0,1,right,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,,,,24.99,Missed,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-04-06T23:46:02.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,3,2022-04-06T23:46:06Z,100000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,,,,,,,Drummond,A. Drummond,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M09.00S,2022-04-06T23:46:20.3Z,1,REGULAR,2pt,Jump Shot,[],201142,5.601182654402102,25.245098039215684,1610612751,0,5,2022-04-06T23:46:50Z,110000,124.0,0.0,1,left,K. Durant 12' fadeaway Jump Shot (2 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,fadeaway,,,,,,12.38,Made,2.0,Durant,K. Durant,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-04-06T23:46:35.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,67.88764783180025,54.90196078431373,1610612752,3,5,2022-04-06T23:46:40Z,130000,25.0,249.0,1,right,R. Barrett 25' 3PT  (3 PTS) (J. Sims 1 AST),"[1629628, 1630579]",1610612752.0,NYK,,,,,,,25.06,Made,3.0,Barrett,R. Barrett,J. Sims,1630579.0,1.0,,,,,,,,,,,,,,,,
15,PT10M26.00S,2022-04-06T23:47:03.4Z,1,REGULAR,2pt,Jump Shot,[],203083,7.835085413929041,73.2843137254902,1610612751,3,5,2022-04-06T23:47:09Z,150000,-116.0,21.0,1,left,MISS A. Drummond 11' turnaround Shot,[203083],1610612751.0,BKN,turnaround,,,,,,11.83,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2022-04-06T23:47:05.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,3,5,2022-04-06T23:47:09Z,160000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M13.00S,2022-04-06T23:47:19.2Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612752,3,5,2022-04-06T23:47:26Z,170000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Burks 2 FT),"[203083, 202692]",1610612751.0,BKN,shooting,,,,,,,,,Drummond,A. Drummond,,,,,,,,200832.0,1.0,0.0,Burks,202692.0,,,,,,,
19,PT10M13.00S,2022-04-06T23:47:39.3Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612752,4,5,2022-04-06T23:47:56Z,190000,,,0,,A. Burks Free Throw 1 of 2 (1 PTS),[202692],1610612752.0,NYK,,,,,,,,Made,1.0,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2022-04-06T23:47:39.3Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612752,4,5,2022-04-06T23:47:56Z,200000,,,0,,MISS A. Burks Free Throw 2 of 2,[202692],1610612752.0,NYK,,,,,,,,Missed,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2022-04-06T23:47:41.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,5,2022-04-06T23:47:56Z,210000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,,,,,,,Drummond,A. Drummond,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,
22,PT09M59.00S,2022-04-06T23:48:07.3Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,4,5,2022-04-06T23:48:10Z,220000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630579]",1610612751.0,BKN,,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,1.0,Sims,1630579.0,,,,
23,PT09M59.00S,2022-04-06T23:48:07.3Z,1,REGULAR,steal,,[],1630579,,,1610612752,4,5,2022-04-06T23:48:09Z,230000,,,0,,J. Sims STEAL (1 STL),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-04-06T23:48:15.8Z,1,REGULAR,foul,personal,['2freethrow'],202681,,,1610612752,4,5,2022-04-06T23:48:30Z,240000,,,0,,K. Irving shooting personal FOUL (1 PF) (Toppin 2 FT),"[202681, 1630167]",1610612751.0,BKN,shooting,,,,,,,,,Irving,K. Irving,,,,,,,,1626301.0,1.0,0.0,Toppin,1630167.0,,,,,,,
26,PT09M53.00S,2022-04-06T23:48:41.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630167,,,1610612752,5,5,2022-04-06T23:48:41Z,260000,,,0,,O. Toppin Free Throw 1 of 2 (1 PTS),[1630167],1610612752.0,NYK,,,,,,,,Made,1.0,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2022-04-06T23:48:41.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630167,,,1610612752,5,5,2022-04-06T23:48:59Z,270000,,,0,,MISS O. Toppin Free Throw 2 of 2,[1630167],1610612752.0,NYK,,,,,,,,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,
28,PT09M51.00S,2022-04-06T23:48:43.6Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,5,5,2022-04-06T23:48:59Z,280000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,,,,,,,Curry,S. Curry,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT09M34.00S,2022-04-06T23:49:15.8Z,1,REGULAR,2pt,Jump Shot,[],203552,17.821944809461236,26.715686274509803,1610612751,5,7,2022-04-06T23:49:57Z,290000,116.0,115.0,1,left,S. Curry 16' pullup Jump Shot (5 PTS),[203552],1610612751.0,BKN,pullup,,,,,,16.36,Made,5.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2022-04-06T23:49:35.1Z,1,REGULAR,3pt,Jump Shot,[],202692,67.36202365308804,51.225490196078425,1610612752,8,7,2022-04-06T23:49:39Z,300000,6.0,254.0,1,right,A. Burks 25' 3PT  (4 PTS) (E. Fournier 1 AST),"[202692, 203095]",1610612752.0,NYK,,,,,,,25.44,Made,4.0,Burks,A. Burks,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,,
32,PT09M00.00S,2022-04-06T23:49:48.6Z,1,REGULAR,2pt,Jump Shot,[],202681,20.71287779237845,32.84313725490196,1610612751,8,9,2022-04-06T23:49:53Z,320000,86.0,142.0,1,left,K. Irving 16' pullup Jump Shot (2 PTS),[202681],1610612751.0,BKN,pullup,,,,,,16.61,Made,2.0,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2022-04-06T23:49:59.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,8,9,2022-04-06T23:49:59Z,330000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M47.00S,2022-04-06T23:53:31.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,94.30026281208936,48.77450980392157,1610612752,10,9,2022-04-06T23:53:35Z,340000,-6.0,1.0,1,right,J. Sims alley-oop DUNK (2 PTS) (R. Barrett 1 AST),"[1630579, 1629628]",1610612752.0,NYK,alley-oop,,,,,,0.62,Made,2.0,Sims,J. Sims,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,,
36,PT08M36.00S,2022-04-06T23:53:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,7.5722733245729295,53.67647058823529,1610612751,10,9,2022-04-06T23:53:48Z,360000,-18.0,19.0,1,left,MISS A. Drummond driving Layup,[203083],1610612751.0,BKN,driving,,,,,,2.62,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,
38,PT08M34.00S,2022-04-06T23:53:45.5Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,10,9,2022-04-06T23:53:48Z,380000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612751.0,BKN,,,,,,,,,,Drummond,A. Drummond,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,
39,PT08M33.00S,2022-04-06T23:53:47.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203083,7.440867279894875,53.92156862745098,1610612751,10,9,2022-04-06T23:57:11Z,390000,-20.0,17.0,1,left,MISS A. Drummond DUNK - blocked,"[203083, 1630579]",1610612751.0,BKN,,,,,,,2.62,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,Sims,1630579.0,,
40,PT08M33.00S,2022-04-06T23:53:47.2Z,1,REGULAR,block,,[],1630579,,,1610612751,10,9,2022-04-06T23:53:49Z,400000,,,0,,J. Sims BLOCK (1 BLK),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,
44,PT08M31.00S,2022-04-06T23:53:49.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,10,9,2022-04-06T23:54:30Z,410000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,
41,PT08M26.00S,2022-04-06T23:54:28.3Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,10,9,2022-04-06T23:54:28Z,420000,,,0,,Jump Ball O. Toppin vs. B. Brown: Tip to A. Burks,"[202692, 1630167, 1628971]",1610612752.0,NYK,heldball,A. Burks,Toppin,1630167.0,Brown,1628971.0,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,202692.0,
45,PT08M14.00S,2022-04-06T23:54:41.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,10,9,2022-04-06T23:54:41Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M11.00S,2022-04-06T23:54:57.5Z,1,REGULAR,2pt,Jump Shot,[],1630167,88.51839684625493,18.627450980392158,1610612752,10,9,2022-04-06T23:55:03Z,460000,-157.0,55.0,1,right,MISS O. Toppin 16' pullup Shot,[1630167],1610612752.0,NYK,pullup,,,,,,16.64,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,
47,PT08M09.00S,2022-04-06T23:54:59.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,10,9,2022-04-06T23:55:03Z,470000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,
48,PT08M09.00S,2022-04-06T23:55:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,10,9,2022-04-06T23:55:04Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M54.00S,2022-04-06T23:55:21.8Z,1,REGULAR,3pt,Jump Shot,[],202681,29.77989487516426,72.05882352941177,1610612751,10,9,2022-04-06T23:55:27Z,490000,-110.0,227.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,,,,25.27,Missed,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
50,PT07M52.00S,2022-04-06T23:55:23.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,10,9,2022-04-06T23:55:27Z,500000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT07M35.00S,2022-04-06T23:55:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.64323258869908,54.166666666666664,1610612752,10,9,2022-04-06T23:55:47Z,510000,21.0,7.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 203083]",1610612752.0,NYK,driving,,,,,,2.2,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,Drummond,203083.0,,
52,PT07M35.00S,2022-04-06T23:55:40.9Z,1,REGULAR,block,,[],203083,,,1610612752,10,9,2022-04-06T23:55:43Z,520000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612751.0,BKN,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,
53,PT07M33.00S,2022-04-06T23:55:42.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,10,9,2022-04-06T23:55:47Z,530000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,,,,,,,Irving,K. Irving,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
54,PT07M28.00S,2022-04-06T23:55:47.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,29.25427069645204,25.49019607843137,1610612751,10,12,2022-04-06T23:55:51Z,540000,123.0,222.0,1,left,S. Curry 25' 3PT  (8 PTS) (B. Brown 2 AST),"[203552, 1628971]",1610612751.0,BKN,,,,,,,25.4,Made,8.0,Curry,S. Curry,B. Brown,1628971.0,2.0,,,,,,,,,,,,,,,,
56,PT07M21.00S,2022-04-06T23:55:58.5Z,1,REGULAR,foul,personal,[],203552,,,1610612752,10,12,2022-04-06T23:56:05Z,560000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 202692]",1610612751.0,BKN,,,,,,,,,,Curry,S. Curry,,,,,,,,200832.0,1.0,0.0,Burks,202692.0,,,,,,,
58,PT07M14.00S,2022-04-06T23:56:21.4Z,1,REGULAR,3pt,Jump Shot,[],202692,70.12155059132719,28.431372549019606,1610612752,10,12,2022-04-06T23:56:29Z,580000,-108.0,228.0,1,right,MISS A. Burks 25' 3PT,[202692],1610612752.0,NYK,,,,,,,25.26,Missed,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
59,PT07M12.00S,2022-04-06T23:56:23.4Z,1,REGULAR,rebound,offensive,[],1630167,,,1610612752,10,12,2022-04-06T23:56:29Z,590000,,,0,,O. Toppin REBOUND (Off:1 Def:0),[1630167],1610612752.0,NYK,,,,,,,,,,Toppin,O. Toppin,,,,58.0,1.0,0.0,1.0,,,,,,,,,,,,
60,PT07M10.00S,2022-04-06T23:56:26.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,94.43166885676742,2.941176470588235,1610612752,10,12,2022-04-06T23:56:41Z,600000,-235.0,0.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,,,,23.53,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2022-04-06T23:56:28.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,10,12,2022-04-06T23:56:41Z,610000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,
62,PT07M08.00S,2022-04-06T23:56:30.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,10,12,2022-04-06T23:56:30Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2022-04-06T23:56:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,16.376478318002626,62.745098039215684,1610612751,10,14,2022-04-06T23:56:51Z,630000,-64.0,101.0,1,left,K. Irving 11' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,,,,11.97,Made,4.0,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
64,PT06M38.00S,2022-04-06T23:57:03.0Z,1,REGULAR,3pt,Jump Shot,[],202692,93.64323258869908,4.411764705882353,1610612752,13,14,2022-04-06T23:57:06Z,640000,-228.0,7.0,1,right,A. Burks 3PT  (7 PTS) (E. Fournier 2 AST),"[202692, 203095]",1610612752.0,NYK,,,,,,,22.8,Made,7.0,Burks,A. Burks,E. Fournier,203095.0,2.0,,,,,,,,,,,,,,,,
66,PT06M21.00S,2022-04-06T23:57:19.5Z,1,REGULAR,3pt,Jump Shot,[],201142,32.14520367936925,62.254901960784316,1610612751,13,14,2022-04-06T23:57:24Z,660000,-61.0,250.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,,,,25.71,Missed,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2022-04-06T23:57:21.5Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,13,14,2022-04-06T23:57:24Z,670000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT06M17.00S,2022-04-06T23:57:24.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203095,74.32654402102497,83.08823529411765,1610612752,13,14,2022-04-06T23:57:29Z,680000,165.0,189.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,,,,25.1,Missed,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2022-04-06T23:57:26.2Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,13,14,2022-04-06T23:57:29Z,690000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,,,,,,,Brown,B. Brown,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,
