actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-27T00:11:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T00:11:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-27T00:11:38.4Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-11-27T00:11:38Z,40000,,,0,,Jump Ball D. Ayton vs. M. Robinson: Tip to C. Paul,"[101108, 1629028, 1629011]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-11-27T00:11:59.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,74.72076215505913,57.59803921568627,1610612756,0,2,2021-11-27T00:48:07Z,70000,38.0,185.0,1,right,D. Booker 18' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,18.9,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2021-11-27T00:12:19.8Z,1,REGULAR,3pt,Jump Shot,[],203095,25.837713534822605,90.68627450980392,1610612752,3,2,2021-11-27T00:12:24Z,80000,-203.0,190.0,1,left,E. Fournier 27' 3PT  (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,27.86,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,
10,PT11M03.00S,2021-11-27T00:12:31.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,80.50262812089356,72.54901960784314,1610612756,3,4,2021-11-27T00:12:38Z,100000,113.0,131.0,1,right,D. Booker 17' Jump Shot (4 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,17.27,Made,4.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
12,PT10M42.00S,2021-11-27T00:12:52.6Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,3,4,2021-11-27T00:12:56Z,120000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 203109]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,1.0,Crowder,203109.0,,,,,,,,,,,,
13,PT10M42.00S,2021-11-27T00:12:52.6Z,1,REGULAR,steal,,[],203109,,,1610612756,3,4,2021-11-27T00:12:54Z,130000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2021-11-27T00:12:55.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629028,94.56307490144546,51.225490196078425,1610612756,3,6,2021-11-27T00:13:01Z,140000,6.0,-1.0,1,right,D. Ayton cutting DUNK (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,0.63,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,,
16,PT10M20.00S,2021-11-27T00:13:43.3Z,1,REGULAR,jumpball,recovered,[],1629028,,,1610612752,3,6,2021-11-27T00:13:43Z,160000,,,0,,Jump Ball J. Crowder vs. E. Fournier: Tip to D. Ayton,"[1629028, 203109, 203095]",1610612756.0,PHX,heldball,D. Ayton,1629028.0,Ayton,D. Ayton,Crowder,203109.0,Fournier,203095.0,,,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2021-11-27T00:13:43.3Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,3,6,2021-11-27T00:13:43Z,190000,,,0,,E. Fournier lost ball TURNOVER (2 TO),"[203095, 203109]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,2.0,Crowder,203109.0,,,,,,,,,,,,
20,PT10M20.00S,2021-11-27T00:13:43.3Z,1,REGULAR,steal,,[],203109,,,1610612756,3,6,2021-11-27T00:13:43Z,200000,,,0,,J. Crowder STEAL (2 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2021-11-27T00:13:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629028,94.1688567674113,47.549019607843135,1610612756,3,8,2021-11-27T00:13:55Z,210000,-12.0,2.0,1,right,D. Ayton Layup (4 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,1.25,Made,4.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
23,PT10M00.00S,2021-11-27T00:14:04.7Z,1,REGULAR,2pt,Jump Shot,[],202689,12.040078843626807,16.42156862745098,1610612752,3,8,2021-11-27T00:16:58Z,230000,168.0,61.0,1,left,MISS K. Walker 17' pullup Shot,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,17.85,Missed,,,,,,,,,,,,,,,,,,,
