actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-26T00:45:55.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T00:45:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-26T00:46:00.3Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-02-26T00:46:00Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Robinson: Tip to P. Tucker,"[200782, 1628389, 1629011]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-26T00:46:19.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,0,0,2022-02-26T00:46:19Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-02-26T00:46:39.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,30.699737187910642,69.36274509803921,1610612748,0,0,2022-02-26T00:46:44Z,80000,-97.0,236.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-26T00:46:42.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-02-26T00:46:44Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-02-26T00:47:02.1Z,1,REGULAR,2pt,Jump Shot,[],203944,93.38042049934296,77.20588235294117,1610612752,2,0,2022-02-26T00:47:07Z,100000,136.0,10.0,1,right,J. Randle 13' Jump Shot (2 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,13.63,Made,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,
12,PT11M04.00S,2022-02-26T00:47:13.0Z,1,REGULAR,foul,offensive,[],200768,,,1610612748,2,0,2022-02-26T00:48:52Z,120000,,,0,,K. Lowry offensive FOUL (1 PF),"[200768, 203944]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,2715.0,1.0,0.0,Randle,203944.0,,,,,,
14,PT11M04.00S,2022-02-26T00:47:13.0Z,1,REGULAR,turnover,offensive foul,[],200768,,,1610612748,2,0,2022-02-26T00:48:52Z,140000,,,0,,K. Lowry offensive foul TURNOVER (1 TO),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,202026.0,,,,,1.0,,,,,
15,PT10M52.00S,2022-02-26T00:47:36.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,76.82325886990802,10.53921568627451,1610612752,2,0,2022-02-26T00:47:41Z,150000,-197.0,165.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2022-02-26T00:47:40.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2022-02-26T00:47:41Z,160000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M41.00S,2022-02-26T00:47:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.835085413929041,47.794117647058826,1610612748,2,0,2022-02-26T00:47:51Z,170000,11.0,21.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,2.38,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2022-02-26T00:47:49.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,0,2022-02-26T00:47:51Z,180000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M35.00S,2022-02-26T00:47:53.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203095,74.45795006570303,83.82352941176471,1610612752,2,0,2022-02-26T00:50:11Z,190000,169.0,188.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2022-02-26T00:47:59.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2022-02-26T00:48:01Z,200000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-02-26T00:48:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.30946123521682,47.30392156862745,1610612748,2,0,2022-02-26T00:48:22Z,210000,13.0,16.0,1,left,MISS K. Lowry Layup,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,2.11,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-02-26T00:48:14.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,2,0,2022-02-26T00:48:22Z,220000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M12.00S,2022-02-26T00:48:19.2Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612752,2,0,2022-02-26T00:48:46Z,230000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629130, 1629628]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,202026.0,1.0,0.0,Barrett,1629628.0,,,,,,
25,PT10M12.00S,2022-02-26T00:48:53.7Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,3,0,2022-02-26T00:48:53Z,250000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
26,PT10M12.00S,2022-02-26T00:49:08.1Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,4,0,2022-02-26T00:49:08Z,260000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M56.00S,2022-02-26T00:49:31.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,30.17411300919842,24.754901960784316,1610612748,4,0,2022-02-26T00:49:35Z,270000,126.0,231.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M53.00S,2022-02-26T00:49:34.9Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,0,2022-02-26T00:49:35Z,280000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M45.00S,2022-02-26T00:49:41.9Z,1,REGULAR,3pt,Jump Shot,[],202692,69.46452036793693,31.372549019607842,1610612752,4,0,2022-02-26T00:51:37Z,290000,-93.0,235.0,1,right,MISS A. Burks 25' pullup 3PT,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2022-02-26T00:49:44.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,4,0,2022-02-26T00:49:45Z,300000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
31,PT09M38.00S,2022-02-26T00:49:49.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,29.911300919842315,69.11764705882352,1610612748,4,0,2022-02-26T00:52:06Z,310000,-96.0,229.0,1,left,MISS D. Robinson 24' running 3PT,[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2022-02-26T00:49:52.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,4,0,2022-02-26T00:49:55Z,320000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
33,PT09M26.00S,2022-02-26T00:50:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,94.1688567674113,51.225490196078425,1610612752,6,0,2022-02-26T00:50:06Z,330000,6.0,2.0,1,right,E. Fournier driving Layup (2 PTS),[203095],1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,0.65,Made,,,,,2.0,,,,,,,,,,,,,,
34,PT09M11.00S,2022-02-26T00:50:18.4Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612748,6,0,2022-02-26T00:50:24Z,340000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629011, 1628389]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,,,,202026.0,1.0,0.0,Adebayo,1628389.0,,,,,,
36,PT09M11.00S,2022-02-26T00:50:46.8Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,6,0,2022-02-26T00:51:13Z,360000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M11.00S,2022-02-26T00:50:46.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,6,0,2022-02-26T00:51:13Z,370000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,
38,PT09M11.00S,2022-02-26T00:50:46.8Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,6,0,2022-02-26T00:51:13Z,380000,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
