actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-07T23:11:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T23:11:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-07T23:12:02.2Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612739,0,0,2021-11-07T23:12:02Z,40000,,,0,,Jump Ball J. Allen vs. M. Robinson: Tip to C. Sexton,"[1629012, 1628386, 1629011]",1610612739.0,CLE,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Allen,1628386.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-07T23:12:20.5Z,1,REGULAR,foul,personal,[],203944,,,1610612739,0,0,2021-11-07T23:12:38Z,70000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1630596]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,1627541.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,,
44,PT11M27.00S,2021-11-07T23:12:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,9.198423127463863,54.31219362745098,1610612739,0,0,2021-11-07T23:17:03Z,95000,-22.0,34.0,1,left,MISS D. Garland driving Layup,[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,,,,4.03,Missed,,,,,,,,,,,,,,
45,PT11M25.00S,2021-11-07T23:12:41.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2021-11-07T23:17:03Z,102500,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M18.00S,2021-11-07T23:12:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,93.77463863337714,53.92156862745098,1610612752,0,0,2021-11-07T23:16:31Z,110000,20.0,6.0,1,right,MISS D. Rose driving Layup,[201565],1610612752.0,NYK,driving,,,Rose,D. Rose,,,,,,,,,,2.05,Missed,,,,,,,,,,,,,,
12,PT11M16.00S,2021-11-07T23:13:01.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2021-11-07T23:13:04Z,120000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M10.00S,2021-11-07T23:13:07.0Z,1,REGULAR,3pt,Jump Shot,[],1629731,28.597240473061763,22.058823529411764,1610612739,0,3,2021-11-07T23:13:13Z,130000,140.0,216.0,1,left,D. Wade 25' 3PT  (3 PTS) (C. Sexton 1 AST),"[1629731, 1629012]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,25.75,Made,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,
17,PT10M44.00S,2021-11-07T23:13:32.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629628,93.77463863337714,50.0,1610612752,2,3,2021-11-07T23:23:15Z,170000,0.0,6.0,1,right,R. Barrett cutting DUNK (2 PTS) (M. Robinson 1 AST),"[1629628, 1629011]",1610612752.0,NYK,cutting,,,Barrett,R. Barrett,,,,,,,,,,0.6,Made,,,,,2.0,M. Robinson,1629011.0,1.0,,,,,,
19,PT10M34.00S,2021-11-07T23:13:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.258212877792378,49.50980392156863,1610612739,2,3,2021-11-07T23:13:49Z,190000,2.0,6.0,1,left,MISS J. Allen reverse Layup,[1628386],1610612739.0,CLE,reverse,,,Allen,J. Allen,,,,,,,,,,0.68,Missed,,,,,,,,,,,,,,
20,PT10M32.00S,2021-11-07T23:13:45.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,3,2021-11-07T23:13:49Z,200000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M26.00S,2021-11-07T23:13:51.4Z,1,REGULAR,3pt,Jump Shot,[],203944,92.85479632063075,95.09803921568627,1610612752,5,3,2021-11-07T23:14:02Z,210000,225.0,15.0,1,right,J. Randle 3PT step back (3 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,,,22.6,Made,,,,,3.0,,,,,,,,,
