actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-18T23:40:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-18T23:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-18T23:40:43.2Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-03-18T23:40:43Z,40000,,,0,,Jump Ball M. Robinson vs. K. Porzingis: Tip to J. Randle,"[203944, 1629011, 204001]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-18T23:40:56.0Z,1,REGULAR,3pt,Jump Shot,[],203095,67.7562417871222,59.31372549019608,1610612752,3,0,2022-03-18T23:41:01Z,70000,47.0,251.0,1,right,E. Fournier 25' 3PT  (3 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.49,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-18T23:41:10.9Z,1,REGULAR,3pt,Jump Shot,[],204001,30.436925098554536,30.637254901960787,1610612764,3,3,2022-03-18T23:41:16Z,90000,97.0,234.0,1,left,K. Porzingis 25' 3PT  (3 PTS) (K. Kuzma 1 AST),"[204001, 1628398]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,25.29,Made,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-03-18T23:41:25.4Z,1,REGULAR,3pt,Jump Shot,[],203095,67.88764783180025,37.254901960784316,1610612752,6,3,2022-03-18T23:41:30Z,110000,-64.0,249.0,1,right,E. Fournier 25' 3PT  (6 PTS) (A. Burks 1 AST),"[203095, 202692]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.74,Made,6.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,,
13,PT10M55.00S,2022-03-18T23:41:44.6Z,1,REGULAR,turnover,lost ball,[],203526,,,1610612764,6,3,2022-03-18T23:41:50Z,130000,,,0,,R. Neto lost ball TURNOVER (1 TO),"[203526, 203095]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,,
14,PT10M55.00S,2022-03-18T23:41:44.6Z,1,REGULAR,steal,,[],203095,,,1610612752,6,3,2022-03-18T23:41:47Z,140000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-03-18T23:41:56.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,67.36202365308804,54.166666666666664,1610612752,9,3,2022-03-18T23:42:01Z,150000,21.0,254.0,1,right,A. Burks 25' 3PT bank (3 PTS) (J. Randle 1 AST),"[202692, 203944]",1610612752.0,NYK,bank,,,Burks,A. Burks,,,,,25.51,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-03-18T23:42:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,7.30946123521682,51.470588235294116,1610612764,9,5,2022-03-18T23:42:28Z,170000,-7.0,16.0,1,left,R. Neto driving finger roll Layup (2 PTS),[203526],1610612764.0,WAS,driving finger roll,,,Neto,R. Neto,,,,,1.78,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2022-03-18T23:42:26.7Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,9,5,2022-03-18T23:42:37Z,180000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,,,,1.0,,,200833.0,,,,,,,,,,,
19,PT09M53.00S,2022-03-18T23:42:52.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,11.383048620236531,65.93137254901961,1610612764,9,5,2022-03-18T23:42:58Z,190000,-80.0,55.0,1,left,MISS K. Kuzma 9' turnaround fadeaway Shot,[1628398],1610612764.0,WAS,turnaround fadeaway,,,Kuzma,K. Kuzma,,,,,9.66,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M51.00S,2022-03-18T23:42:54.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,5,2022-03-18T23:42:58Z,200000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT09M42.00S,2022-03-18T23:43:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.11760840998686,47.549019607843135,1610612752,9,5,2022-03-18T23:43:10Z,210000,-12.0,12.0,1,right,MISS J. Randle driving Layup,[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,1.73,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M38.00S,2022-03-18T23:43:08.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,9,5,2022-03-18T23:43:10Z,220000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,,,,,
23,PT09M38.00S,2022-03-18T23:43:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,94.40999984741211,50.0,1610612752,11,5,2022-03-18T23:43:08Z,230000,0.0,0.0,1,right,M. Robinson tip Layup (2 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2022-03-18T23:43:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,10.726018396846255,39.21568627450981,1610612764,11,5,2022-03-18T23:43:29Z,240000,54.0,48.0,1,left,MISS K. Kuzma 7' driving Hook,[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,7.24,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2022-03-18T23:43:18.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,11,5,2022-03-18T23:43:29Z,250000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
26,PT09M28.00S,2022-03-18T23:43:22.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,11,5,2022-03-18T23:43:22Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M15.00S,2022-03-18T23:43:38.9Z,1,REGULAR,3pt,Jump Shot,[],203095,74.85216819973719,15.686274509803921,1610612752,11,5,2022-03-18T23:43:47Z,270000,-172.0,184.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M11.00S,2022-03-18T23:43:42.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,5,2022-03-18T23:43:47Z,280000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,
29,PT08M50.00S,2022-03-18T23:44:03.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,12.040078843626807,51.225490196078425,1610612764,11,7,2022-03-18T23:49:42Z,290000,-6.0,61.0,1,left,K. Porzingis 6' turnaround Hook (5 PTS),[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,6.1,Made,5.0,,,,,,,,,,,,,,,,,,
30,PT08M34.00S,2022-03-18T23:44:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,89.56964520367937,39.950980392156865,1610612752,11,7,2022-03-18T23:44:23Z,300000,-50.0,46.0,1,right,MISS R. Barrett 6' driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,6.78,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M31.00S,2022-03-18T23:44:22.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,11,7,2022-03-18T23:44:23Z,310000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
32,PT08M27.00S,2022-03-18T23:44:26.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,6.652431011826544,46.32352941176471,1610612764,11,9,2022-03-18T23:50:15Z,320000,18.0,10.0,1,left,K. Kuzma running Layup (2 PTS),[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,2.09,Made,2.0,,,,,,,,,,,,,,,,,,
33,PT08M10.00S,2022-03-18T23:44:43.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,95.6143232588699,95.09803921568627,1610612752,11,9,2022-03-18T23:44:50Z,330000,225.0,-11.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M07.00S,2022-03-18T23:44:46.8Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,11,9,2022-03-18T23:44:50Z,340000,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,33.0,2.0,0.0,2.0,,,,,,,
35,PT08M06.00S,2022-03-18T23:44:47.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,94.1688567674113,49.01960784313725,1610612752,13,9,2022-03-18T23:44:56Z,350000,-5.0,2.0,1,right,M. Robinson putback DUNK (4 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,0.54,Made,4.0,,,,,,,,,,,,,,,,,,
36,PT07M47.00S,2022-03-18T23:45:08.0Z,1,REGULAR,foul,personal,['2freethrow'],202692,,,1610612764,13,9,2022-03-18T23:45:13Z,360000,,,0,,A. Burks shooting personal FOUL (1 PF) (Kispert 2 FT),"[202692, 1630557]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,,,200833.0,,,,,1.0,0.0,Kispert,1630557.0,,,
38,PT07M47.00S,2022-03-18T23:45:35.1Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,13,10,2022-03-18T23:45:35Z,380000,,,0,,C. Kispert Free Throw 1 of 2 (1 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
39,PT07M47.00S,2022-03-18T23:45:48.1Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,13,11,2022-03-18T23:45:48Z,390000,,,0,,C. Kispert Free Throw 2 of 2 (2 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
40,PT07M38.00S,2022-03-18T23:45:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,81.553876478318,50.49019607843137,1610612752,13,11,2022-03-18T23:46:05Z,400000,2.0,121.0,1,right,MISS E. Fournier 12' driving floating Shot,[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,12.09,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M36.00S,2022-03-18T23:46:01.2Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,13,11,2022-03-18T23:46:05Z,410000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,
42,PT07M32.00S,2022-03-18T23:46:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203484,5.863994743758213,52.20588235294118,1610612764,13,13,2022-03-18T23:46:19Z,420000,-11.0,3.0,1,left,K. Caldwell-Pope driving Layup (2 PTS) (R. Neto 1 AST),"[203484, 203526]",1610612764.0,WAS,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1.13,Made,2.0,R. Neto,203526.0,1.0,,,,,,,,,,,,,,,
44,PT07M16.00S,2022-03-18T23:46:23.5Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,13,13,2022-03-18T23:46:32Z,440000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,,,,,,,1.0,,,1627963.0,,,,,,,,,,,
45,PT06M58.00S,2022-03-18T23:46:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203526,6.1268068331143235,50.245098039215684,1610612764,13,13,2022-03-18T23:46:52Z,450000,-1.0,5.0,1,left,MISS R. Neto driving reverse Layup,[203526],1610612764.0,WAS,driving reverse,,,Neto,R. Neto,,,,,0.52,Missed,,,,,,,,,,,,,,,,,,,
