actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-24T00:41:16.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T00:41:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-24T00:41:21.0Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-12-24T00:41:21Z,40000,,,0,,Jump Ball M. Robinson vs. D. Gafford: Tip to K. Walker,"[202689, 1629011, 1629655]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-24T00:41:34.5Z,1,REGULAR,3pt,Jump Shot,[],202692,71.43561103810775,78.67647058823529,1610612752,3,0,2021-12-24T00:42:03Z,70000,143.0,216.0,1,right,A. Burks 25' 3PT  (3 PTS) (K. Walker 1 AST),"[202692, 202689]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,25.93,Made,3.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-12-24T00:41:52.8Z,1,REGULAR,3pt,Jump Shot,[],1628988,11.645860709592641,98.52941176470588,1610612764,3,0,2021-12-24T00:45:39Z,90000,-243.0,57.0,1,left,MISS A. Holiday 24' step back 3PT,[1628988],1610612764.0,WAS,step back,,,Holiday,A. Holiday,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-12-24T00:41:56.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,3,0,2021-12-24T00:41:56Z,100000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M09.00S,2021-12-24T00:42:07.7Z,1,REGULAR,foul,personal,['2freethrow'],1630557,,,1610612752,3,0,2021-12-24T00:42:18Z,110000,,,0,,C. Kispert shooting personal FOUL (1 PF) (Fournier 2 FT),"[1630557, 203095]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,,,,,,,,,,,1628487.0,1.0,0.0,Fournier,203095.0,,,,,,
13,PT11M09.00S,2021-12-24T00:42:30.1Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612752,4,0,2021-12-24T00:42:30Z,130000,,,0,,E. Fournier Free Throw 1 of 2 (1 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-12-24T00:42:43.0Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612752,5,0,2021-12-24T00:42:43Z,140000,,,0,,E. Fournier Free Throw 2 of 2 (2 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2021-12-24T00:43:05.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,9.411957950065702,97.79411764705883,1610612764,5,0,2021-12-24T00:46:51Z,150000,-239.0,36.0,1,left,MISS K. Kuzma 24' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,24.17,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2021-12-24T00:43:09.4Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,5,0,2021-12-24T00:43:09Z,160000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,
