actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-20T23:40:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-20T23:40:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-20T23:40:33.4Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-03-20T23:40:33Z,40000,,,0,,Jump Ball M. Robinson vs. R. Gobert: Tip to J. Randle,"[203944, 1629011, 203497]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-20T23:40:55.6Z,1,REGULAR,3pt,Jump Shot,[],203095,31.35676741130092,61.274509803921575,1610612752,3,0,2022-03-20T23:41:40Z,70000,-56.0,242.0,1,left,E. Fournier 24' 3PT step back (3 PTS) (A. Burks 1 AST),"[203095, 202692]",1610612752.0,NYK,step back,,,Fournier,E. Fournier,,,,,24.88,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-03-20T23:41:16.9Z,1,REGULAR,3pt,Jump Shot,[],1627823,95.0886990801577,2.2058823529411766,1610612762,3,3,2022-03-20T23:41:25Z,100000,-239.0,-6.0,1,right,J. Hernangomez 3PT  (3 PTS) (D. Mitchell 1 AST),"[1627823, 1628378]",1610612762.0,UTA,,,,Hernangomez,J. Hernangomez,,,,,23.91,Made,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,,
12,PT10M56.00S,2022-03-20T23:41:33.6Z,1,REGULAR,3pt,Jump Shot,[],203095,31.61957950065703,47.794117647058826,1610612752,3,3,2022-03-20T23:41:41Z,120000,11.0,245.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.49,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-03-20T23:41:36.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,3,2022-03-20T23:41:41Z,130000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M39.00S,2022-03-20T23:41:51.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.99014454664915,73.0392156862745,1610612762,3,3,2022-03-20T23:41:59Z,140000,115.0,230.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-03-20T23:41:54.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,3,3,2022-03-20T23:41:59Z,150000,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,
16,PT10M34.00S,2022-03-20T23:41:57.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,80.50262812089356,4.411764705882353,1610612762,3,3,2022-03-20T23:42:21Z,160000,-228.0,131.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,26.28,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2022-03-20T23:41:58.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,3,3,2022-03-20T23:42:21Z,170000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
18,PT10M33.00S,2022-03-20T23:42:07.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,3,3,2022-03-20T23:42:17Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M15.00S,2022-03-20T23:42:24.4Z,1,REGULAR,3pt,Jump Shot,[],203944,29.911300919842315,26.225490196078432,1610612752,3,3,2022-03-20T23:42:28Z,190000,119.0,229.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.78,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2022-03-20T23:42:28.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,3,2022-03-20T23:42:28Z,200000,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,19.0,3.0,2.0,1.0,,,,,,,,,,,
21,PT10M05.00S,2022-03-20T23:42:34.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,67.23061760840999,55.88235294117647,1610612762,3,6,2022-03-20T23:42:38Z,210000,29.0,256.0,1,right,D. Mitchell 25' 3PT  (3 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.72,Made,3.0,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2022-03-20T23:42:50.4Z,1,REGULAR,2pt,Jump Shot,[],203944,22.28975032851511,66.91176470588235,1610612752,3,6,2022-03-20T23:43:14Z,220000,-85.0,157.0,1,left,MISS J. Randle 17' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,17.83,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M45.00S,2022-03-20T23:42:53.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,3,6,2022-03-20T23:42:59Z,230000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M38.00S,2022-03-20T23:43:00.9Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612762,3,6,2022-03-20T23:43:04Z,240000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1629011]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,1.0,Robinson,1629011.0,,,,,,,,
25,PT09M38.00S,2022-03-20T23:43:00.9Z,1,REGULAR,steal,,[],1629011,,,1610612752,3,6,2022-03-20T23:48:25Z,250000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2022-03-20T23:43:06.2Z,1,REGULAR,foul,personal,[],1627823,,,1610612752,3,6,2022-03-20T23:44:19Z,260000,,,0,,J. Hernangomez take personal FOUL (1 PF),"[1627823, 203944]",1610612762.0,UTA,take,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Randle,203944.0,,,
28,PT09M27.00S,2022-03-20T23:43:28.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629628,18.610381077529567,63.725490196078425,1610612752,3,6,2022-03-20T23:43:33Z,280000,-69.0,122.0,1,left,MISS R. Barrett 14' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,14.03,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2022-03-20T23:43:33.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,3,6,2022-03-20T23:43:33Z,290000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M10.00S,2022-03-20T23:43:44.5Z,1,REGULAR,3pt,Jump Shot,[],1629638,67.49342969776609,48.77450980392157,1610612762,3,6,2022-03-20T23:43:48Z,300000,-6.0,253.0,1,right,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M07.00S,2022-03-20T23:43:47.5Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,3,6,2022-03-20T23:43:48Z,310000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT09M04.00S,2022-03-20T23:43:50.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202692,24.26084099868594,85.04901960784314,1610612752,6,6,2022-03-20T23:45:42Z,320000,-175.0,176.0,1,left,A. Burks 24' 3PT running pullup (3 PTS),[202692],1610612752.0,NYK,running pullup,,,Burks,A. Burks,,,,,24.81,Made,3.0,,,,,,,,,,,,,,,,,,
