actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-17T18:12:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T18:12:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-17T18:12:04.5Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-01-17T18:12:04Z,40000,,,0,,Jump Ball M. Robinson vs. M. Plumlee: Tip to A. Burks,"[202692, 1629011, 203486]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-17T18:12:16.5Z,1,REGULAR,3pt,Jump Shot,[],203095,70.90998685939553,25.98039215686275,1610612752,0,0,2022-01-17T18:12:22Z,70000,-120.0,221.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-01-17T18:12:18.5Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-01-17T18:12:22Z,80000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-17T18:12:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,9.280551905387648,45.588235294117645,1610612766,0,0,2022-01-17T18:12:44Z,90000,22.0,35.0,1,left,MISS C. Martin Layup - blocked,"[1628998, 1629011]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,4.11,Missed,,,,,Robinson,1629011.0,,,,,,,,,,,,
10,PT11M21.00S,2022-01-17T18:12:38.0Z,1,REGULAR,block,,[],1629011,,,1610612766,0,0,2022-01-17T18:12:40Z,100000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-01-17T18:12:40.0Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,0,0,2022-01-17T18:12:44Z,110000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-17T18:12:49.0Z,1,REGULAR,3pt,Jump Shot,[],203944,77.21747700394218,88.48039215686273,1610612752,0,0,2022-01-17T18:12:54Z,120000,192.0,162.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-01-17T18:12:51.0Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-01-17T18:12:54Z,130000,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M58.00S,2022-01-17T18:13:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,7.046649145860711,48.28431372549019,1610612766,0,2,2022-01-17T18:13:07Z,140000,9.0,14.0,1,left,M. Bridges driving Layup (2 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,1.62,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M40.00S,2022-01-17T18:13:19.3Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,0,2,2022-01-17T18:13:22Z,150000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1626179]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,,,
16,PT10M40.00S,2022-01-17T18:13:19.3Z,1,REGULAR,steal,,[],1626179,,,1610612766,0,2,2022-01-17T18:13:21Z,160000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2022-01-17T18:13:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1626179,6.521024967148489,48.03921568627451,1610612766,0,4,2022-01-17T18:13:37Z,170000,10.0,9.0,1,left,T. Rozier driving Layup (2 PTS) (C. Martin 1 AST),"[1626179, 1628998]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,1.32,Made,,,,,,,2.0,,,,C. Martin,1628998.0,1.0,,,,,
19,PT10M33.00S,2022-01-17T18:13:31.9Z,1,REGULAR,violation,defensive goaltending,[],1629011,,,1610612766,0,4,2022-01-17T18:13:37Z,190000,,,0,,M. Robinson defensive goaltending VIOLATION,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,202037.0,,,,
20,PT10M09.00S,2022-01-17T18:14:02.4Z,1,REGULAR,2pt,Jump Shot,[],1629628,78.26872536136662,26.96078431372549,1610612752,0,4,2022-01-17T18:14:38Z,200000,-115.0,152.0,1,right,MISS R. Barrett 19' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,19.06,Missed,,,,,,,,,,,,,,,,,,
21,PT10M07.00S,2022-01-17T18:14:04.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,4,2022-01-17T18:14:08Z,210000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M56.00S,2022-01-17T18:14:15.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,3.4986859395532193,97.30392156862744,1610612766,0,4,2022-01-17T18:14:20Z,220000,-237.0,-20.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2022-01-17T18:14:17.6Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,0,4,2022-01-17T18:14:20Z,230000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M46.00S,2022-01-17T18:14:25.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,30.17411300919842,24.509803921568626,1610612766,0,7,2022-01-17T18:14:28Z,240000,127.0,231.0,1,left,M. Bridges 26' 3PT  (5 PTS) (G. Hayward 1 AST),"[1628970, 202330]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.39,Made,,,,,,,5.0,,,,G. Hayward,202330.0,1.0,,,,,
