actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-05T00:41:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-05T00:41:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-05T00:41:51.5Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-01-05T00:41:51Z,40000,,,0,,Jump Ball T. Gibson vs. M. Turner: Tip to J. Randle,"[203944, 201959, 1626167]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Gibson,201959.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-05T00:42:10.4Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612752,0,0,2022-01-05T00:42:21Z,70000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Barrett 2 FT),"[203200, 1629628]",1610612754.0,IND,shooting,,,Holiday,J. Holiday,,,,,1626301.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-01-05T00:42:30.8Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,1,0,2022-01-05T00:42:30Z,90000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M39.00S,2022-01-05T00:42:41.6Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,2,0,2022-01-05T00:42:41Z,100000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M24.00S,2022-01-05T00:43:00.1Z,1,REGULAR,3pt,Jump Shot,[],1626208,6.389618922470433,97.54901960784314,1610612754,2,3,2022-01-05T00:43:06Z,110000,-238.0,8.0,1,left,K. Sykes 3PT  (3 PTS) (J. Holiday 1 AST),"[1626208, 203200]",1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,Made,3.0,23.78,J. Holiday,203200.0,1.0,,,,,,,,,,
13,PT11M05.00S,2022-01-05T00:43:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.9060446780552,47.794117647058826,1610612752,4,3,2022-01-05T00:43:23Z,130000,-11.0,5.0,1,right,R. Barrett driving Layup (4 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,,,,,Made,4.0,1.2,E. Fournier,203095.0,1.0,,,,,,,,,,
15,PT10M51.00S,2022-01-05T00:43:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.783837056504599,50.98039215686274,1610612754,4,5,2022-01-05T00:43:37Z,150000,-5.0,11.0,1,left,D. Sabonis cutting Layup (2 PTS) (K. Sykes 1 AST),"[1627734, 1626208]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,,,,,,Made,2.0,1.23,K. Sykes,1626208.0,1.0,,,,,,,,,,
17,PT10M27.00S,2022-01-05T00:43:57.1Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,4,5,2022-01-05T00:44:01Z,170000,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1626208]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,1.0,Sykes,1626208.0,,,,,,,
18,PT10M27.00S,2022-01-05T00:43:57.1Z,1,REGULAR,steal,,[],1626208,,,1610612754,4,5,2022-01-05T00:43:58Z,180000,,,0,,K. Sykes STEAL (1 STL),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2022-01-05T00:44:01.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626208,10.988830486202366,95.58823529411765,1610612754,4,8,2022-01-05T00:44:06Z,190000,-228.0,51.0,1,left,K. Sykes 3PT step back (6 PTS),[1626208],1610612754.0,IND,step back,,,Sykes,K. Sykes,,,,,,,,,,Made,6.0,23.35,,,,,,,,,,,,,
20,PT09M54.00S,2022-01-05T00:44:29.7Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,4,8,2022-01-05T00:44:34Z,200000,,,0,,J. Randle bad pass TURNOVER (2 TO),"[203944, 1630613]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,2.0,Washington Jr.,1630613.0,,,,,,,
