actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-15T00:41:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T00:41:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-15T00:41:51.2Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2022-02-15T00:41:51Z,40000,,,0,,Jump Ball M. Robinson vs. I. Roby: Tip to K. Walker,"[202689, 1629011, 1629676]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-15T00:42:03.3Z,1,REGULAR,3pt,Jump Shot,[],202689,72.61826544021025,18.38235294117647,1610612752,3,0,2022-02-15T00:42:08Z,70000,-158.0,205.0,1,right,K. Walker 25' 3PT  (3 PTS) (E. Fournier 1 AST),"[202689, 203095]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.88,Made,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-02-15T00:42:20.7Z,1,REGULAR,3pt,Jump Shot,[],1630544,14.931011826544022,4.166666666666666,1610612760,3,3,2022-02-15T00:42:25Z,90000,229.0,88.0,1,left,T. Mann 24' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630544, 1630581]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,24.55,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-02-15T00:42:45.9Z,1,REGULAR,3pt,Jump Shot,[],203095,81.15965834428384,6.127450980392156,1610612752,3,3,2022-02-15T00:43:20Z,110000,-219.0,125.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-02-15T00:42:47.9Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,3,3,2022-02-15T00:42:53Z,120000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT10M59.00S,2022-02-15T00:42:50.6Z,1,REGULAR,foul,personal,['2freethrow'],1629676,,,1610612752,3,3,2022-02-15T00:44:11Z,130000,,,0,,I. Roby shooting personal FOUL (1 PF) (Robinson 2 FT),"[1629676, 1629011]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,,,,202049.0,1.0,0.0,Robinson,1629011.0,,,,,,
15,PT10M59.00S,2022-02-15T00:43:11.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,4,3,2022-02-15T00:43:29Z,150000,,,0,,M. Robinson Free Throw 1 of 2 (1 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-02-15T00:43:11.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629011,,,1610612752,4,3,2022-02-15T00:43:29Z,160000,,,0,,MISS M. Robinson Free Throw 2 of 2,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2022-02-15T00:43:13.4Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,4,3,2022-02-15T00:43:29Z,170000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
