actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-16T00:41:16.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T00:41:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-11-16T00:41:18.0Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2021-11-16T00:41:18Z,40000,,,0,,Jump Ball M. Robinson vs. M. Turner: Tip to R. Barrett,"[1629628, 1629011, 1626167]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Robinson,1629011.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-16T00:41:34.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,86.28449408672799,46.07843137254902,1610612752,2,0,2021-11-16T00:41:43Z,70000,-20.0,76.0,1,right,K. Walker 7' driving floating Jump Shot (2 PTS),[202689],1610612752.0,NYK,driving floating,,,Walker,K. Walker,,,,,7.89,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2021-11-16T00:41:59.1Z,1,REGULAR,2pt,Jump Shot,[],1627747,24.52365308804205,67.8921568627451,1610612754,2,2,2021-11-16T01:26:04Z,80000,-89.0,178.0,1,left,C. LeVert 19' step back Jump Shot (2 PTS),[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,19.92,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT10M49.00S,2021-11-16T00:42:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,92.59198423127464,48.03921568627451,1610612752,2,2,2021-11-16T00:42:29Z,90000,-10.0,17.0,1,right,MISS E. Fournier driving Layup,[203095],1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
10,PT10M47.00S,2021-11-16T00:42:25.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,2,2,2021-11-16T00:42:29Z,100000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT10M42.00S,2021-11-16T00:42:31.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203200,32.40801576872536,48.03921568627451,1610612754,2,2,2021-11-16T01:26:23Z,110000,10.0,252.0,1,left,MISS J. Holiday 25' pullup 3PT,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M40.00S,2021-11-16T00:42:33.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,2,2,2021-11-16T00:42:40Z,120000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M28.00S,2021-11-16T00:42:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.03745072273325,50.245098039215684,1610612752,4,2,2021-11-16T00:42:50Z,130000,1.0,4.0,1,right,K. Walker driving Layup (4 PTS),[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,0.37,Made,4.0,,,,,,,,,,,,,,,,,,
14,PT10M16.00S,2021-11-16T00:42:59.5Z,1,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612754,4,2,2021-11-16T00:43:04Z,140000,,,0,,M. Brogdon bad pass out-of-bounds TURNOVER (1 TO),[1627763],1610612754.0,IND,bad pass,,,Brogdon,M. Brogdon,,,,,,,,,,,,1151.0,1.0,,,,,,,,,,,,
15,PT10M00.00S,2021-11-16T00:43:21.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,69.20170827858082,31.372549019607842,1610612752,4,2,2021-11-16T00:43:27Z,150000,-93.0,237.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
16,PT09M58.00S,2021-11-16T00:43:23.6Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,4,2,2021-11-16T00:43:27Z,160000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT09M50.00S,2021-11-16T00:43:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,6.389618922470433,46.07843137254902,1610612754,4,4,2021-11-16T00:43:36Z,170000,20.0,8.0,1,left,C. LeVert driving Layup (4 PTS),[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,2.1,Made,4.0,,,,,,,,,,,,,,,,,,
18,PT09M34.00S,2021-11-16T00:43:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,93.11760840998686,45.34313725490196,1610612752,6,4,2021-11-16T01:27:37Z,180000,-23.0,12.0,1,right,K. Walker driving bank Jump Shot (6 PTS),[202689],1610612752.0,NYK,driving bank,,,Walker,K. Walker,,,,,2.63,Made,6.0,,,,,,,,,,,,,,,,,,
19,PT09M14.00S,2021-11-16T00:44:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,6.521024967148489,48.28431372549019,1610612754,6,4,2021-11-16T00:44:12Z,190000,9.0,9.0,1,left,MISS M. Brogdon driving finger roll Layup - blocked,"[1627763, 1629011]",1610612754.0,IND,driving finger roll,,,Brogdon,M. Brogdon,,,,,1.23,Missed,,,,,,,,Robinson,1629011.0,,,,,,,,,,
20,PT09M14.00S,2021-11-16T00:44:07.5Z,1,REGULAR,block,,[],1629011,,,1610612754,6,4,2021-11-16T00:44:09Z,200000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M12.00S,2021-11-16T00:44:09.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,4,2021-11-16T00:44:12Z,210000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M08.00S,2021-11-16T00:44:13.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,72.09264126149803,22.54901960784314,1610612752,6,4,2021-11-16T00:44:19Z,220000,-137.0,210.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M06.00S,2021-11-16T00:44:16.6Z,1,REGULAR,rebound,offensive,[],202689,,,1610612752,6,4,2021-11-16T00:44:16Z,230000,,,0,,K. Walker REBOUND (Off:1 Def:0),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M00.00S,2021-11-16T00:44:24.6Z,1,REGULAR,foul,personal,[],203200,,,1610612752,6,4,2021-11-16T01:28:26Z,240000,,,0,,J. Holiday personal FOUL (1 PF),"[203200, 1629628]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,203177.0,,,,1.0,0.0,Barrett,1629628.0,,,,,,
26,PT08M49.00S,2021-11-16T00:44:52.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,91.67214191852825,3.431372549019608,1610612752,6,4,2021-11-16T00:45:01Z,260000,-233.0,26.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,,
27,PT08M47.00S,2021-11-16T00:44:54.9Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,6,4,2021-11-16T00:45:01Z,270000,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT08M39.00S,2021-11-16T00:45:01.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,28.597240473061763,74.75490196078431,1610612754,6,4,2021-11-16T00:45:14Z,280000,-124.0,216.0,1,left,MISS M. Turner 24' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M38.00S,2021-11-16T00:45:02.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,6,4,2021-11-16T00:45:14Z,290000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
30,PT08M38.00S,2021-11-16T00:45:06.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,6,4,2021-11-16T00:45:06Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M27.00S,2021-11-16T00:45:23.9Z,1,REGULAR,3pt,Jump Shot,[],203944,93.38042049934296,3.1862745098039214,1610612752,6,4,2021-11-16T00:45:30Z,310000,-234.0,10.0,1,right,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M25.00S,2021-11-16T00:45:25.9Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,6,4,2021-11-16T00:45:30Z,320000,,,0,,M. Brogdon REBOUND (Off:0 Def:3),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,,
33,PT08M08.00S,2021-11-16T00:45:41.6Z,1,REGULAR,3pt,Jump Shot,[],1627734,12.565703022339028,2.450980392156863,1610612754,6,7,2021-11-16T00:45:45Z,330000,238.0,66.0,1,left,D. Sabonis 24' 3PT  (3 PTS) (M. Brogdon 1 AST),"[1627734, 1627763]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,24.66,Made,3.0,,,,,,,,,,,,,M. Brogdon,1627763.0,1.0,,,
35,PT07M44.00S,2021-11-16T00:46:05.9Z,1,REGULAR,2pt,Jump Shot,[],1629628,78.13731931668858,43.13725490196079,1610612752,6,7,2021-11-16T01:11:46Z,350000,-34.0,153.0,1,right,MISS R. Barrett 15' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,15.68,Missed,,,,,,,,,,,,,,,,,,,
36,PT07M42.00S,2021-11-16T00:46:07.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,6,7,2021-11-16T00:46:11Z,360000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT07M36.00S,2021-11-16T00:46:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.835085413929041,47.794117647058826,1610612754,6,9,2021-11-16T00:46:17Z,370000,11.0,21.0,1,left,D. Sabonis Layup (5 PTS) (C. LeVert 1 AST),"[1627734, 1627747]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.38,Made,5.0,,,,,,,,,,,,,C. LeVert,1627747.0,1.0,,,
