actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-13T00:46:04.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T00:46:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-01-13T00:46:09.4Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-01-13T00:46:09Z,40000,,,0,,Jump Ball M. Robinson vs. D. Powell: Tip to J. Randle,"[203944, 1629011, 203939]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-13T00:46:17.5Z,1,REGULAR,3pt,Jump Shot,[],203095,71.56701708278581,24.509803921568626,1610612752,3,0,2022-01-13T00:46:25Z,70000,-127.0,215.0,1,right,E. Fournier 24' 3PT  (3 PTS) (A. Burks 1 AST),"[203095, 202692]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.98,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-13T00:46:40.8Z,1,REGULAR,3pt,Jump Shot,[],1628467,31.225361366622867,69.11764705882352,1610612742,3,0,2022-01-13T00:46:46Z,90000,-96.0,241.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-13T00:46:42.8Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,0,2022-01-13T00:46:46Z,100000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2022-01-13T00:46:55.6Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,3,0,2022-01-13T00:46:59Z,110000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1629029]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,1.0,Doncic,1629029.0,,,,,,,
12,PT11M08.00S,2022-01-13T00:46:55.6Z,1,REGULAR,steal,,[],1629029,,,1610612742,3,0,2022-01-13T00:46:57Z,120000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-01-13T00:47:10.2Z,1,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,3,0,2022-01-13T00:54:04Z,130000,,,0,,D. Powell lost ball out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,lost ball,,,Powell,D. Powell,,,,,,,,,,,,,,,1.0,,,,,,,,,
14,PT10M50.00S,2022-01-13T00:47:20.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203095,84.83902759526939,46.81372549019608,1610612752,3,0,2022-01-13T00:52:20Z,140000,-16.0,90.0,1,right,MISS E. Fournier 9' driving floating Shot,[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,9.14,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-01-13T00:47:22.5Z,1,REGULAR,rebound,offensive,[],203095,,,1610612752,3,0,2022-01-13T00:47:28Z,150000,,,0,,E. Fournier REBOUND (Off:1 Def:0),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
