actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-24T00:33:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-24T00:33:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-24T00:33:55.6Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-11-24T00:33:55Z,40000,,,0,,Jump Ball N. Noel vs. D. Jordan: Tip to K. Walker,"[202689, 203457, 201599]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Noel,203457.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-24T00:34:06.4Z,1,REGULAR,3pt,Jump Shot,[],202689,67.88764783180025,51.71568627450981,1610612752,0,0,2021-11-24T00:34:37Z,70000,9.0,249.0,1,right,MISS K. Walker 24' pullup 3PT,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-24T00:34:08.4Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,0,0,2021-11-24T00:34:15Z,80000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-24T00:34:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,8.09789750328515,52.94117647058824,1610612747,0,0,2021-11-24T00:34:32Z,90000,-15.0,24.0,1,left,MISS T. Horton-Tucker driving Layup,[1629659],1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,2.78,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-24T00:34:25.1Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,0,0,2021-11-24T00:34:32Z,100000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M28.00S,2021-11-24T00:34:27.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",201599,5.590000152587891,50.0,1610612747,0,0,2021-11-24T00:35:04Z,110000,0.0,0.0,1,left,MISS D. Jordan putback DUNK,[201599],1610612747.0,LAL,putback,,,Jordan,D. Jordan,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-11-24T00:34:29.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-11-24T00:35:04Z,120000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-24T00:34:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.82588699080158,46.07843137254902,1610612752,2,0,2021-11-24T00:34:51Z,130000,-20.0,-4.0,1,right,J. Randle Layup (2 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,2.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M11.00S,2021-11-24T00:34:46.8Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,2,0,2021-11-24T00:34:56Z,140000,,,0,,R. Westbrook step out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,step,,,Westbrook,R. Westbrook,,,,,,,,,,,,1198.0,1.0,,,,,,,,,,,
15,PT11M00.00S,2021-11-24T00:35:05.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,69.85873850197109,32.35294117647059,1610612752,5,0,2021-11-24T00:35:10Z,150000,-88.0,231.0,1,right,E. Fournier 24' 3PT  (3 PTS) (K. Walker 1 AST),"[203095, 202689]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.71,Made,,,,,3.0,,,K. Walker,202689.0,1.0,,,,,,,,
17,PT10M44.00S,2021-11-24T00:35:21.7Z,1,REGULAR,3pt,Jump Shot,[],202340,7.178055190538765,96.07843137254902,1610612747,5,0,2021-11-24T00:35:27Z,170000,-230.0,15.0,1,left,MISS A. Bradley 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,23.09,Missed,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2021-11-24T00:35:23.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,5,0,2021-11-24T00:35:27Z,180000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M36.00S,2021-11-24T00:35:29.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,94.43166885676742,51.9607843137255,1610612752,7,0,2021-11-24T00:35:34Z,190000,10.0,0.0,1,right,K. Walker driving Layup (2 PTS),[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,0.98,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M26.00S,2021-11-24T00:35:39.7Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612747,7,0,2021-11-24T00:35:50Z,210000,,,0,,R. Westbrook lost ball TURNOVER (2 TO),"[201566, 203457]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,2.0,,,,Noel,203457.0,,,,,,
22,PT10M26.00S,2021-11-24T00:35:39.7Z,1,REGULAR,steal,,[],203457,,,1610612752,7,0,2021-11-24T00:35:48Z,220000,,,0,,N. Noel STEAL (1 STL),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2021-11-24T00:35:51.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,93.9060446780552,19.607843137254903,1610612752,7,0,2021-11-24T00:35:57Z,230000,-152.0,5.0,1,right,MISS J. Randle 15' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,15.21,Missed,,,,,,,,,,,,,,,,,,
