actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-07T00:32:56.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-07T00:32:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-07T00:33:01.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-01-07T00:33:01Z,40000,,,0,,Jump Ball R. Williams III vs. M. Robinson: Tip to M. Smart,"[203935, 1629057, 1629011]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-01-07T00:33:07.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,94.69448094612353,50.98039215686274,1610612738,0,2,2022-01-07T00:33:13Z,70000,5.0,-3.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.55,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-07T00:33:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,7.835085413929041,46.32352941176471,1610612752,0,2,2022-01-07T00:33:35Z,90000,18.0,21.0,1,left,MISS A. Burks driving Layup - blocked,"[202692, 1629057]",1610612752.0,NYK,driving,,,Burks,A. Burks,,,,,2.8,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,,
10,PT11M27.00S,2022-01-07T00:33:29.8Z,1,REGULAR,block,,[],1629057,,,1610612752,0,2,2022-01-07T00:33:32Z,100000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-01-07T00:33:31.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2022-01-07T00:33:35Z,110000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M14.00S,2022-01-07T00:33:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,94.82588699080158,52.450980392156865,1610612738,0,4,2022-01-07T00:33:46Z,120000,12.0,-4.0,1,right,R. Williams III Layup (4 PTS) (J. Tatum 1 AST),"[1629057, 1628369]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.29,Made,4.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-01-07T00:33:58.5Z,1,REGULAR,3pt,Jump Shot,[],203095,31.09395532194481,73.77450980392157,1610612752,3,4,2022-01-07T00:34:02Z,140000,-119.0,240.0,1,left,E. Fournier 26' 3PT  (3 PTS) (A. Burks 1 AST),"[203095, 202692]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.77,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-01-07T00:34:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,95.48291721419186,52.94117647058824,1610612738,3,6,2022-01-07T00:34:22Z,160000,15.0,-10.0,1,right,J. Brown driving Layup (2 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.78,Made,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
18,PT10M24.00S,2022-01-07T00:34:32.8Z,1,REGULAR,turnover,out-of-bounds,[],1629011,,,1610612752,3,6,2022-01-07T00:34:41Z,180000,,,0,,M. Robinson bad pass out-of-bounds TURNOVER (1 TO),[1629011],1610612752.0,NYK,bad pass,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,1628172.0,1.0,,,,,,,
19,PT10M16.00S,2022-01-07T00:34:56.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,72.7496714848883,81.86274509803921,1610612738,3,9,2022-01-07T00:35:02Z,190000,159.0,204.0,1,right,J. Brown 25' 3PT  (5 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.86,Made,5.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
21,PT09M57.00S,2022-01-07T00:35:14.9Z,1,REGULAR,3pt,Jump Shot,[],203944,30.17411300919842,69.11764705882352,1610612752,3,9,2022-01-07T00:35:46Z,210000,-96.0,231.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2022-01-07T00:35:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,9,2022-01-07T00:35:19Z,220000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,
23,PT09M56.00S,2022-01-07T00:35:21.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,3,9,2022-01-07T00:35:21Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2022-01-07T00:35:34.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,74.72076215505913,57.59803921568627,1610612738,3,9,2022-01-07T00:36:18Z,240000,38.0,185.0,1,right,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,18.9,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2022-01-07T00:35:36.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,3,9,2022-01-07T00:35:41Z,250000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
26,PT09M37.00S,2022-01-07T00:35:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,8.360709592641262,54.41176470588235,1610612752,3,9,2022-01-07T00:35:47Z,260000,-22.0,26.0,1,left,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,3.42,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2022-01-07T00:35:44.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,3,9,2022-01-07T00:35:47Z,270000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT09M29.00S,2022-01-07T00:35:50.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,77.21747700394218,13.23529411764706,1610612738,3,12,2022-01-07T00:35:54Z,280000,-184.0,162.0,1,right,J. Brown 24' 3PT  (8 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.48,Made,8.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
30,PT09M29.00S,2022-01-07T00:35:56.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,3,12,2022-01-07T00:35:56Z,300000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2022-01-07T00:39:41.0Z,1,REGULAR,3pt,Jump Shot,[],203944,6.915243101182654,98.0392156862745,1610612752,3,12,2022-01-07T00:39:48Z,310000,-240.0,13.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M09.00S,2022-01-07T00:39:43.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,12,2022-01-07T00:39:48Z,320000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,
33,PT09M01.00S,2022-01-07T00:39:50.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.62483574244416,42.64705882352941,1610612738,3,12,2022-01-07T00:40:23Z,330000,-37.0,252.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M59.00S,2022-01-07T00:39:52.7Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,3,12,2022-01-07T00:39:57Z,340000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M51.00S,2022-01-07T00:40:03.4Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612752,3,12,2022-01-07T00:40:14Z,350000,,,0,,M. Smart shooting personal FOUL (1 PF) (Fournier 2 FT),"[203935, 203095]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1628172.0,,1.0,0.0,Fournier,203095.0,,,
37,PT08M51.00S,2022-01-07T00:40:24.6Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612752,3,12,2022-01-07T00:40:24Z,370000,,,0,,MISS E. Fournier Free Throw 1 of 2,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2022-01-07T00:40:24.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,3,12,2022-01-07T00:40:24Z,380000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,
39,PT08M51.00S,2022-01-07T00:40:34.8Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612752,4,12,2022-01-07T00:40:34Z,390000,,,0,,E. Fournier Free Throw 2 of 2 (4 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
40,PT08M41.00S,2022-01-07T00:40:47.8Z,1,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,4,12,2022-01-07T00:40:55Z,400000,,,0,,A. Horford bad pass out-of-bounds TURNOVER (1 TO),[201143],1610612738.0,BOS,bad pass,,,Horford,A. Horford,,,,,,,,,,,,,,,,,1628172.0,1.0,,,,,,,
41,PT08M30.00S,2022-01-07T00:41:03.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,29.6484888304862,75.73529411764706,1610612752,4,12,2022-01-07T00:41:09Z,410000,-129.0,226.0,1,left,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2022-01-07T00:41:05.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,12,2022-01-07T00:41:09Z,420000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,
