actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-15T00:33:03.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-15T00:33:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-15T00:33:06.3Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-12-15T00:33:06Z,40000,,,0,,Jump Ball K. Looney vs. N. Noel: Tip to D. Green,"[203110, 1626172, 203457]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-12-15T00:33:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,6.521024967148489,49.754901960784316,1610612744,0,0,2021-12-15T00:33:22Z,70000,1.0,9.0,1,left,MISS D. Green driving Layup,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,0.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-12-15T00:33:16.8Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,0,0,2021-12-15T00:33:22Z,80000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-12-15T00:33:26.0Z,1,REGULAR,2pt,Jump Shot,[],203457,79.45137976346912,49.26470588235294,1610612752,2,0,2021-12-15T00:33:29Z,90000,-4.0,141.0,1,right,N. Noel 14' Jump Shot (2 PTS) (J. Randle 1 AST),"[203457, 203944]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,14.07,Made,,,,,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2021-12-15T00:33:43.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,11.383048620236531,52.20588235294118,1610612744,2,0,2021-12-15T00:33:49Z,110000,-11.0,55.0,1,left,MISS A. Wiggins driving Hook - blocked,"[203952, 203095]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.56,Missed,,,,,,,,,Fournier,203095.0,,,,,,,,,
12,PT11M18.00S,2021-12-15T00:33:43.7Z,1,REGULAR,block,,[],203095,,,1610612744,2,0,2021-12-15T00:33:46Z,120000,,,0,,E. Fournier BLOCK (1 BLK),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2021-12-15T00:33:45.7Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,2,0,2021-12-15T00:33:49Z,130000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
14,PT11M16.00S,2021-12-15T00:33:47.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203952,9.280551905387648,54.166666666666664,1610612744,2,2,2021-12-15T00:34:21Z,140000,-21.0,35.0,1,left,A. Wiggins bank Jump Shot (2 PTS),[203952],1610612744.0,GSW,bank,,,Wiggins,A. Wiggins,,,,,4.05,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT11M05.00S,2021-12-15T00:33:57.8Z,1,REGULAR,3pt,Jump Shot,[],203944,66.44218134034165,58.82352941176471,1610612752,2,2,2021-12-15T00:34:03Z,150000,44.0,263.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
