actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-10-20T23:46:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-20T23:46:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-20T23:46:20.9Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-10-20T23:46:20Z,40000,,,0,,Jump Ball M. Robinson vs. R. Williams III: Tip to K. Walker,"[202689, 1629011, 1629057]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-10-20T23:46:41.8Z,1,REGULAR,3pt,Jump Shot,[],203944,26.10052562417871,18.627450980392158,1610612752,3,0,2021-10-20T23:47:22Z,70000,157.0,193.0,1,left,J. Randle 24' 3PT step back (3 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,24.86,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2021-10-20T23:46:59.3Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612738,3,0,2021-10-20T23:47:05Z,80000,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 202689]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,1.0,Walker,202689.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-10-20T23:46:59.3Z,1,REGULAR,steal,,[],202689,,,1610612752,3,0,2021-10-20T23:47:01Z,90000,,,0,,K. Walker STEAL (1 STL),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-10-20T23:47:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202689,5.863994743758213,49.50980392156863,1610612752,3,0,2021-10-20T23:47:12Z,100000,2.0,3.0,1,left,MISS K. Walker driving Layup,[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,0.36,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2021-10-20T23:47:07.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,3,0,2021-10-20T23:47:12Z,110000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
12,PT11M11.00S,2021-10-20T23:47:08.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629011,5.590000152587891,50.0,1610612752,5,0,2021-10-20T23:47:56Z,120000,0.0,0.0,1,left,M. Robinson tip DUNK (2 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2021-10-20T23:47:22.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,79.188567674113,91.17647058823529,1610612738,5,0,2021-10-20T23:47:27Z,130000,206.0,143.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2021-10-20T23:47:24.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,5,0,2021-10-20T23:47:24Z,140000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M51.00S,2021-10-20T23:47:32.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,89.04402102496715,94.36274509803921,1610612738,5,0,2021-10-20T23:47:37Z,150000,222.0,50.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.75,Missed,,,,,,,,,,,,,,,,,,,
