actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-23T18:11:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-23T18:11:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-23T18:11:29.3Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-01-23T18:11:29Z,40000,,,0,,Jump Ball M. Robinson vs. I. Zubac: Tip to J. Randle,"[203944, 1629011, 1627826]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-23T18:11:39.6Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,0,0,2022-01-23T18:11:45Z,70000,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 202694]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,1.0,Morris Sr.,202694.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-01-23T18:11:39.6Z,1,REGULAR,steal,,[],202694,,,1610612746,0,0,2022-01-23T18:11:43Z,80000,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-23T18:11:48.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,88.91261498028909,70.34313725490196,1610612746,0,0,2022-01-23T18:11:53Z,90000,102.0,52.0,1,right,MISS M. Morris Sr. 11' fadeaway Shot,[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,,,,11.41,Missed,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-01-23T18:11:50.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-01-23T18:11:53Z,100000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M28.00S,2022-01-23T18:12:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,8.360709592641262,44.11764705882353,1610612752,0,0,2022-01-23T18:12:08Z,110000,29.0,26.0,1,left,MISS E. Fournier driving Layup - blocked,"[203095, 1627826]",1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,,,,3.93,Missed,,,,,Zubac,1627826.0,,,,,,,,,
12,PT11M28.00S,2022-01-23T18:12:01.2Z,1,REGULAR,block,,[],1627826,,,1610612752,0,0,2022-01-23T18:12:04Z,120000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2022-01-23T18:12:03.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2022-01-23T18:12:08Z,130000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
14,PT11M26.00S,2022-01-23T18:12:06.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2022-01-23T18:12:06Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M23.00S,2022-01-23T18:12:20.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2022-01-23T18:12:20Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M17.00S,2022-01-23T18:12:35.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,25.706307490144546,16.42156862745098,1610612752,3,0,2022-01-23T18:12:54Z,160000,168.0,189.0,1,left,J. Randle 25' 3PT step back (3 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,25.29,Made,,,,,,,3.0,,,,,,,,
17,PT10M59.00S,2022-01-23T18:12:53.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,95.74572930354796,56.61764705882353,1610612746,3,2,2022-01-23T18:12:57Z,170000,33.0,-13.0,1,right,I. Zubac Hook (2 PTS) (N. Batum 1 AST),"[1627826, 201587]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,3.54,Made,,,,,,,2.0,N. Batum,201587.0,1.0,,,,,
19,PT10M48.00S,2022-01-23T18:13:04.5Z,1,REGULAR,3pt,Jump Shot,[],203095,31.09395532194481,69.11764705882352,1610612752,6,2,2022-01-23T18:13:08Z,190000,-96.0,240.0,1,left,E. Fournier 25' 3PT  (3 PTS) (M. Robinson 1 AST),"[203095, 1629011]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,25.82,Made,,,,,,,3.0,M. Robinson,1629011.0,1.0,,,,,
21,PT10M30.00S,2022-01-23T18:13:22.4Z,1,REGULAR,3pt,Jump Shot,[],201587,68.9388961892247,69.85294117647058,1610612746,6,2,2022-01-23T18:13:28Z,210000,99.0,239.0,1,right,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,25.93,Missed,,,,,,,,,,,,,,,
22,PT10M28.00S,2022-01-23T18:13:24.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,6,2,2022-01-23T18:13:28Z,220000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M18.00S,2022-01-23T18:13:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,14.273981603153747,47.30392156862745,1610612752,6,2,2022-01-23T18:13:41Z,230000,13.0,82.0,1,left,MISS R. Barrett 8' floating Shot,[1629628],1610612752.0,NYK,floating,,,Barrett,R. Barrett,,,,,,,,8.28,Missed,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-01-23T18:13:36.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,6,2,2022-01-23T18:13:36Z,240000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT10M15.00S,2022-01-23T18:13:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,7.966491458607096,50.73529411764706,1610612752,6,2,2022-01-23T18:14:06Z,250000,-4.0,22.0,1,left,MISS M. Robinson putback Layup,[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,,,,2.27,Missed,,,,,,,,,,,,,,,
26,PT10M13.00S,2022-01-23T18:13:39.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,2,2022-01-23T18:13:43Z,260000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M03.00S,2022-01-23T18:13:49.4Z,1,REGULAR,3pt,Jump Shot,[],202704,70.25295663600527,26.96078431372549,1610612746,6,2,2022-01-23T18:14:26Z,270000,-115.0,227.0,1,right,MISS R. Jackson 25' pullup 3PT,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,25.46,Missed,,,,,,,,,,,,,,,
28,PT10M00.00S,2022-01-23T18:13:52.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,6,2,2022-01-23T18:14:18Z,280000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M47.00S,2022-01-23T18:14:04.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,27.808804204993432,18.872549019607842,1610612752,9,2,2022-01-23T18:14:11Z,290000,156.0,209.0,1,left,R. Barrett 26' 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,26.05,Made,,,,,,,3.0,J. Randle,203944.0,1.0,,,,,
31,PT09M31.00S,2022-01-23T18:14:25.4Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,9,2,2022-01-23T18:14:29Z,310000,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,1.0,,,,,,,,,,,,,,,201639.0,,,,
32,PT09M20.00S,2022-01-23T18:14:40.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,26.231931668856767,55.392156862745104,1610612752,11,2,2022-01-23T18:15:23Z,320000,-27.0,194.0,1,left,J. Randle 19' pullup Jump Shot (5 PTS) (M. Robinson 2 AST),"[203944, 1629011]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,,19.6,Made,,,,,,,5.0,M. Robinson,1629011.0,2.0,,,,,
34,PT09M02.00S,2022-01-23T18:15:00.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,90.22667542706965,49.26470588235294,1610612746,11,4,2022-01-23T18:15:03Z,340000,-4.0,39.0,1,right,I. Zubac Hook (4 PTS) (A. Coffey 1 AST),"[1627826, 1629599]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,3.96,Made,,,,,,,4.0,A. Coffey,1629599.0,1.0,,,,,
