actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-27T18:10:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T18:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-27T18:11:03.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2022-02-27T18:11:03Z,40000,,,0,,Jump Ball M. Robinson vs. J. Embiid: Tip to Team (NYK),"[1629011, 203954]",1610612752.0,NYK,startperiod,Team (NYK),Robinson,1629011.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2022-02-27T18:11:07.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2022-02-27T18:11:07Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-02-27T18:11:20.9Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612752,0,0,2022-02-27T18:11:26Z,80000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629680, 1629628]",1610612755.0,PHI,shooting,,,,,,201245.0,1.0,0.0,Thybulle,M. Thybulle,Barrett,1629628.0,,,,,,,,,,,,,,,,
10,PT11M47.00S,2022-02-27T18:11:47.0Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,1,0,2022-02-27T18:11:47Z,100000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M47.00S,2022-02-27T18:11:59.5Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,2,0,2022-02-27T18:11:59Z,110000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Made,2.0,,,,,,,,,,,,,,
12,PT11M32.00S,2022-02-27T18:12:15.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,12.302890932982917,50.0,1610612755,2,0,2022-02-27T18:12:20Z,120000,0.0,63.0,1,left,MISS J. Embiid 6' turnaround Hook,[203954],1610612755.0,PHI,turnaround,,,,,,,,,Embiid,J. Embiid,,,Missed,,6.31,,,,,,,,,,,,,
13,PT11M30.00S,2022-02-27T18:12:17.1Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,2,0,2022-02-27T18:12:20Z,130000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M25.00S,2022-02-27T18:12:24.3Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,2,0,2022-02-27T18:12:30Z,140000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,,,,201245.0,,,Barrett,R. Barrett,,,,,,,,,,1.0,,,,,,,,
15,PT11M11.00S,2022-02-27T18:12:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,2,0,2022-02-27T18:12:48Z,150000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629011, 203954]",1610612752.0,NYK,shooting,,,,,,201245.0,1.0,0.0,Robinson,M. Robinson,Embiid,203954.0,,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-02-27T18:13:07.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,2,1,2022-02-27T18:13:07Z,170000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,1.0,,,,,,,,,,,,,,
18,PT11M11.00S,2022-02-27T18:13:25.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,2,2,2022-02-27T18:13:25Z,180000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,2.0,,,,,,,,,,,,,,
19,PT11M01.00S,2022-02-27T18:13:39.5Z,1,REGULAR,2pt,Jump Shot,[],203944,77.08607095926413,36.27450980392157,1610612752,4,2,2022-02-27T18:13:44Z,190000,-69.0,163.0,1,right,J. Randle 17' pullup Jump Shot (2 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,pullup,,,,,,,,,Randle,J. Randle,,,Made,2.0,17.68,,,,,,R. Barrett,1629628.0,1.0,,,,,
20,PT10M47.00S,2022-02-27T18:13:55.0Z,1,REGULAR,foul,personal,['3freethrow'],203944,,,1610612755,4,2,2022-02-27T18:14:02Z,200000,,,0,,J. Randle shooting personal FOUL (1 PF) (Harden 3 FT),"[203944, 201935]",1610612752.0,NYK,shooting,,,,,,202058.0,1.0,0.0,Randle,J. Randle,Harden,201935.0,,,,,,,,,,,,,,,,
