actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-16T23:41:00.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T23:41:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-16T23:41:03.4Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-03-16T23:41:03Z,40000,,,0,,Jump Ball M. Robinson vs. D. Eubanks: Tip to A. Burks,"[202692, 1629011, 1629234]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-16T23:41:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,92.19776609724047,65.68627450980392,1610612752,2,0,2022-03-16T23:41:25Z,70000,78.0,21.0,1,right,A. Burks 8' turnaround fadeaway Jump Shot (2 PTS),[202692],1610612752.0,NYK,turnaround fadeaway,,,Burks,A. Burks,,,,,8.11,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-03-16T23:41:38.4Z,1,REGULAR,3pt,Jump Shot,[],1630314,23.73521681997372,85.29411764705883,1610612757,2,0,2022-03-16T23:41:42Z,80000,-176.0,171.0,1,left,MISS B. Williams 24' 3PT,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-03-16T23:41:40.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,0,2022-03-16T23:41:42Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M15.00S,2022-03-16T23:41:45.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202692,67.23061760840999,39.46078431372549,1610612752,2,0,2022-03-16T23:42:00Z,100000,-53.0,256.0,1,right,MISS A. Burks 26' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-16T23:41:48.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,0,2022-03-16T23:42:00Z,110000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-03-16T23:41:52.9Z,1,REGULAR,foul,personal,[],1630570,,,1610612752,2,0,2022-03-16T23:41:58Z,120000,,,0,,T. Watford loose ball personal FOUL (1 PF),"[1630570, 1629011]",1610612757.0,POR,loose ball,,,Watford,T. Watford,,,,,,,,,,,,1179.0,1.0,0.0,Robinson,1629011.0,,,,,,,,
14,PT11M06.00S,2022-03-16T23:42:11.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,73.53810775295663,82.35294117647058,1610612752,2,0,2022-03-16T23:42:20Z,140000,162.0,196.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2022-03-16T23:42:13.2Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,2,0,2022-03-16T23:42:20Z,150000,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M53.00S,2022-03-16T23:42:24.7Z,1,REGULAR,3pt,Jump Shot,[],1630314,3.1044678055190538,2.941176470588235,1610612757,2,0,2022-03-16T23:42:32Z,160000,235.0,-23.0,1,left,MISS B. Williams 3PT,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,23.65,Missed,,,,,,,,,,,,,,,,,,
