actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-11T00:41:51.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-11T00:41:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-11T00:41:54.3Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-01-11T00:41:54Z,40000,,,0,,Jump Ball M. Robinson vs. J. Poeltl: Tip to A. Burks,"[202692, 1629011, 1627751]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-11T00:42:10.1Z,1,REGULAR,2pt,Jump Shot,[],203944,87.86136662286465,75.98039215686273,1610612752,2,0,2022-01-11T00:42:42Z,70000,130.0,62.0,1,right,J. Randle 14' step back Jump Shot (2 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,14.38,Made,2.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-11T00:42:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629022,18.873193166885677,50.0,1610612759,2,2,2022-01-11T00:43:25Z,90000,0.0,125.0,1,left,L. Walker IV 12' pullup Jump Shot (2 PTS) (D. Murray 1 AST),"[1629022, 1627749]",1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,12.49,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-01-11T00:42:43.4Z,1,REGULAR,2pt,Jump Shot,[],203944,79.97700394218134,66.91176470588235,1610612752,2,2,2022-01-11T00:43:58Z,110000,85.0,136.0,1,right,MISS J. Randle 15' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,15.99,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-01-11T00:42:45.4Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,2,2,2022-01-11T00:42:51Z,120000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M02.00S,2022-01-11T00:42:47.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,94.03745072273325,53.18627450980392,1610612752,4,2,2022-01-11T00:42:55Z,130000,16.0,4.0,1,right,M. Robinson Layup (2 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1.63,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2022-01-11T00:43:00.1Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612759,4,2,2022-01-11T00:43:04Z,140000,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 1629011]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,1.0,Robinson,1629011.0,,,,,,,,
15,PT10M50.00S,2022-01-11T00:43:00.1Z,1,REGULAR,steal,,[],1629011,,,1610612752,4,2,2022-01-11T00:43:02Z,150000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-01-11T00:43:04.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,92.72339027595268,50.98039215686274,1610612752,4,2,2022-01-11T00:43:10Z,160000,5.0,16.0,1,right,MISS R. Barrett cutting DUNK - blocked,"[1629628, 1627751]",1610612752.0,NYK,cutting,,,Barrett,R. Barrett,,,,,1.66,Missed,,,,,,,,,,,,Poeltl,1627751.0,,,,,,
