actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-03T00:41:00.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-03T00:41:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-03T00:41:03.9Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2021-12-03T00:41:03Z,40000,,,0,,Jump Ball N. Vucevic vs. M. Robinson: Tip to J. Green,"[1629750, 202696, 1629011]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-03T00:41:13.3Z,1,REGULAR,2pt,Jump Shot,[],202696,73.27529566360053,52.20588235294118,1610612741,0,0,2021-12-03T00:41:17Z,70000,11.0,199.0,1,right,MISS N. Vucevic 19' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,19.9,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-03T00:41:15.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,0,0,2021-12-03T00:41:17Z,80000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-03T00:41:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,15.062417871222076,51.71568627450981,1610612752,2,0,2021-12-03T00:41:37Z,90000,-9.0,89.0,1,left,J. Randle 8' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,8.95,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M09.00S,2021-12-03T00:41:50.3Z,1,REGULAR,2pt,Jump Shot,[],202696,80.89684625492772,19.852941176470587,1610612741,2,2,2021-12-03T00:41:54Z,100000,-151.0,127.0,1,right,N. Vucevic 19' Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,19.71,Made,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,
12,PT10M46.00S,2021-12-03T00:42:13.2Z,1,REGULAR,3pt,Jump Shot,[],203095,31.35676741130092,60.78431372549019,1610612752,2,2,2021-12-03T00:42:17Z,120000,-54.0,242.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2021-12-03T00:42:15.2Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,2,2,2021-12-03T00:42:17Z,130000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M38.00S,2021-12-03T00:42:23.7Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,2,2,2021-12-03T00:42:29Z,140000,,,0,,N. Vucevic lost ball out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,lost ball,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,1627541.0,1.0,,,,,,,,,
15,PT10M20.00S,2021-12-03T00:42:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203944,7.178055190538765,43.872549019607845,1610612752,2,2,2021-12-03T00:42:52Z,150000,31.0,15.0,1,left,MISS J. Randle Layup - blocked,"[203944, 1628366]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,3.41,Missed,,,,,,,,,,,Ball,1628366.0,,,,,,,
