actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-24T23:11:58.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T23:11:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-24T23:12:02.2Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2021-10-24T23:12:02Z,40000,,,0,,Jump Ball M. Bamba vs. M. Robinson: Tip to W. Carter Jr.,"[1628976, 1628964, 1629011]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-24T23:12:15.9Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,0,0,2021-10-24T23:12:22Z,70000,,,0,,W. Carter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,lost ball,,,Carter Jr.,W. Carter Jr.,,,,,1628951.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2021-10-24T23:12:41.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203095,93.47897503285151,63.72549019607843,1610612752,0,0,2021-10-24T23:12:55Z,80000,69.0,9.0,1,right,MISS E. Fournier 6' driving bank Shot,[203095],1610612752.0,NYK,driving bank,,,Fournier,E. Fournier,,,,,,,6.92,Missed,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-10-24T23:12:47.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2021-10-24T23:12:47Z,90000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-10-24T23:12:49.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2021-10-24T23:12:49Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-10-24T23:12:59.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629628,94.00459921156373,20.833333333333343,1610612752,0,0,2021-10-24T23:13:07Z,110000,-146.0,4.0,1,right,MISS R. Barrett 14' running Shot,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,,,14.59,Missed,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-10-24T23:13:03.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2021-10-24T23:13:07Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M10.00S,2021-10-24T23:13:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,26.987516425755587,16.911764705882348,1610612753,0,3,2021-10-24T23:13:16Z,130000,165.0,201.0,1,left,J. Suggs 26' 3PT  (3 PTS) (C. Anthony 1 AST),"[1630591, 1630175]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,26.05,Made,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,
15,PT10M51.00S,2021-10-24T23:13:29.4Z,1,REGULAR,3pt,Jump Shot,[],202689,95.05584756898817,95.58823529411765,1610612752,3,3,2021-10-24T23:13:34Z,150000,228.0,-6.0,1,right,K. Walker 3PT  (3 PTS) (R. Barrett 1 AST),"[202689, 1629628]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,22.8,Made,,,,,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,
17,PT10M40.00S,2021-10-24T23:13:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,9.773324572930349,37.99019607843137,1610612753,3,5,2021-10-24T23:13:47Z,170000,60.0,39.0,1,left,C. Anthony 7' driving floating Jump Shot (2 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,,,7.18,Made,,,,,2.0,,,,,,,,,,,,
18,PT10M29.00S,2021-10-24T23:13:51.8Z,1,REGULAR,3pt,Jump Shot,[],203095,84.4119579500657,4.411764705882348,1610612752,3,5,2021-10-24T23:13:56Z,180000,-228.0,94.0,1,right,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,24.65,Missed,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2021-10-24T23:13:54.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,5,2021-10-24T23:13:56Z,190000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,
20,PT10M18.00S,2021-10-24T23:14:03.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,27.38173455978975,20.09803921568627,1610612753,3,5,2021-10-24T23:14:08Z,200000,150.0,205.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,25.36,Missed,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2021-10-24T23:14:07.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,3,5,2021-10-24T23:14:08Z,210000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M09.00S,2021-10-24T23:14:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,68.51182654402103,46.32352941176471,1610612752,3,5,2021-10-24T23:14:18Z,220000,-18.0,243.0,1,right,MISS J. Randle 24' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,24.42,Missed,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2021-10-24T23:14:15.0Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,3,5,2021-10-24T23:14:18Z,230000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M02.00S,2021-10-24T23:14:19.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,22.38830486202366,91.42156862745098,1610612753,3,5,2021-10-24T23:14:24Z,240000,-207.0,158.0,1,left,MISS J. Suggs 26' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,,,26.05,Missed,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2021-10-24T23:14:22.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,5,2021-10-24T23:14:24Z,250000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT09M47.00S,2021-10-24T23:14:34.8Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,3,5,2021-10-24T23:14:38Z,260000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 1630532]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,1.0,,,,,,,,,,,Wagner,1630532.0,,,,,,,
27,PT09M47.00S,2021-10-24T23:14:34.8Z,1,REGULAR,steal,,[],1630532,,,1610612753,3,5,2021-10-24T23:14:36Z,270000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2021-10-24T23:14:39.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630175,29.747043363994734,76.7156862745098,1610612753,3,8,2021-10-24T23:15:27Z,280000,-134.0,227.0,1,left,C. Anthony 26' 3PT running pullup (5 PTS) (F. Wagner 1 AST),"[1630175, 1630532]",1610612753.0,ORL,running pullup,,,Anthony,C. Anthony,,,,,,,26.35,Made,,,,,5.0,F. Wagner,1630532.0,1.0,,,,,,,,,
30,PT09M32.00S,2021-10-24T23:14:51.6Z,1,REGULAR,foul,personal,[],1630175,,,1610612752,3,8,2021-10-24T23:14:57Z,300000,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1629628]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,1662.0,,,,,,,,,,,,,,1.0,0.0,Barrett,1629628.0,,,
32,PT09M27.00S,2021-10-24T23:15:16.2Z,1,REGULAR,3pt,Jump Shot,[],202689,68.38042049934297,37.99019607843137,1610612752,3,8,2021-10-24T23:16:12Z,320000,-60.0,245.0,1,right,MISS K. Walker 25' pullup 3PT,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,,,25.19,Missed,,,,,,,,,,,,,,,,,
33,PT09M25.00S,2021-10-24T23:15:18.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,3,8,2021-10-24T23:15:19Z,330000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,
34,PT09M21.00S,2021-10-24T23:15:24.7Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612753,3,8,2021-10-24T23:15:31Z,340000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629628, 1630532]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,1662.0,,,,,,,,,,,,,,1.0,0.0,Wagner,1630532.0,,,
36,PT09M21.00S,2021-10-24T23:15:47.5Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,3,9,2021-10-24T23:16:03Z,360000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
37,PT09M21.00S,2021-10-24T23:15:47.5Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,3,9,2021-10-24T23:16:03Z,370000,,,0,,MISS F. Wagner Free Throw 2 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,
38,PT09M18.00S,2021-10-24T23:15:50.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,9,2021-10-24T23:16:03Z,380000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,
39,PT09M04.00S,2021-10-24T23:16:16.9Z,1,REGULAR,3pt,Jump Shot,[],203944,94.00459921156373,95.34313725490196,1610612752,6,9,2021-10-24T23:16:21Z,390000,227.0,4.0,1,right,J. Randle 3PT step back (3 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,22.67,Made,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,,,
41,PT08M48.00S,2021-10-24T23:16:35.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,19.8915900131406,50.49019607843137,1610612753,6,11,2021-10-24T23:17:43Z,410000,-2.0,134.0,1,left,J. Suggs 13' driving floating Jump Shot (5 PTS),[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,,,13.45,Made,,,,,5.0,,,,,,,,,,,,
42,PT08M48.00S,2021-10-24T23:16:39.1Z,1,REGULAR,foul,personal,['1freethrow'],203095,,,1610612753,6,11,2021-10-24T23:16:49Z,420000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Suggs 1 FT),"[203095, 1630591]",1610612752.0,NYK,shooting,,,Fournier,E. Fournier,,,,,1628951.0,,,,,,,,,,,,,,1.0,0.0,Suggs,1630591.0,,,
44,PT08M48.00S,2021-10-24T23:16:58.3Z,1,REGULAR,freethrow,1 of 1,[],1630591,,,1610612753,6,12,2021-10-24T23:16:58Z,440000,,,0,,J. Suggs Free Throw 1 of 1 (6 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
45,PT08M31.00S,2021-10-24T23:17:15.8Z,1,REGULAR,3pt,Jump Shot,[],203944,68.38042049934297,40.68627450980392,1610612752,6,12,2021-10-24T23:17:19Z,450000,-47.0,245.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,24.91,Missed,,,,,,,,,,,,,,,,,
46,PT08M28.00S,2021-10-24T23:17:18.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,6,12,2021-10-24T23:17:19Z,460000,,,0,,C. Anthony REBOUND (Off:0 Def:3),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,
47,PT08M24.00S,2021-10-24T23:17:23.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,29.61563731931669,19.85294117647058,1610612753,6,12,2021-10-24T23:18:35Z,470000,151.0,226.0,1,left,MISS J. Suggs 27' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,,,27.16,Missed,,,,,,,,,,,,,,,,,
48,PT08M20.00S,2021-10-24T23:17:27.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,6,12,2021-10-24T23:17:30Z,480000,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,,
