actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-25T17:08:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-25T17:08:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-25T17:08:15.1Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-12-25T17:08:15Z,40000,,,0,,Jump Ball M. Robinson vs. C. Capela: Tip to K. Walker,"[202689, 1629011, 203991]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-25T17:08:26.3Z,1,REGULAR,3pt,Jump Shot,[],202689,31.192509855453352,63.23529411764706,1610612752,3,0,2021-12-25T17:08:38Z,70000,-66.0,241.0,1,left,K. Walker 24' 3PT pullup (3 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,24.96,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-12-25T17:08:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,93.74178712220763,52.205882352941174,1610612737,3,2,2021-12-25T17:08:50Z,80000,11.0,6.0,1,right,C. Reddish cutting Layup (2 PTS) (B. Bogdanovic 1 AST),"[1629629, 203992]",1610612737.0,ATL,cutting,,,Reddish,C. Reddish,,,,,1.27,Made,2.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-25T17:08:56.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,5.305519053876466,48.28431372549019,1610612752,5,2,2021-12-25T17:09:02Z,100000,9.0,-3.0,1,left,M. Robinson cutting DUNK (2 PTS) (K. Walker 1 AST),"[1629011, 202689]",1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,0.9,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
12,PT10M59.00S,2021-12-25T17:09:12.2Z,1,REGULAR,2pt,Jump Shot,[],1628381,75.73915900131406,36.76470588235294,1610612737,5,2,2021-12-25T17:09:19Z,120000,-66.0,176.0,1,right,MISS J. Collins 18' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,18.77,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-12-25T17:09:15.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,5,2,2021-12-25T17:09:19Z,130000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M49.00S,2021-12-25T17:09:22.9Z,1,REGULAR,3pt,Jump Shot,[],203095,27.644546649145866,82.35294117647058,1610612752,8,2,2021-12-25T17:09:26Z,140000,-162.0,207.0,1,left,E. Fournier 26' 3PT  (3 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.3,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
16,PT10M27.00S,2021-12-25T17:09:45.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,69.1688567674113,61.51960784313725,1610612737,8,2,2021-12-25T17:09:50Z,160000,58.0,237.0,1,right,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2021-12-25T17:09:47.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,8,2,2021-12-25T17:09:50Z,170000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M22.00S,2021-12-25T17:09:51.9Z,1,REGULAR,foul,personal,['2freethrow'],1626153,,,1610612752,8,2,2021-12-25T17:09:59Z,180000,,,0,,D. Wright shooting personal FOUL (1 PF) (Barrett 2 FT),"[1626153, 1629628]",1610612737.0,ATL,shooting,,,Wright,D. Wright,,,,,,,,,,,,,,,200833.0,1.0,0.0,Barrett,1629628.0,,,,,,
20,PT10M22.00S,2021-12-25T17:10:16.5Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,8,2,2021-12-25T17:10:31Z,200000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M22.00S,2021-12-25T17:10:16.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,8,2,2021-12-25T17:10:31Z,210000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
22,PT10M22.00S,2021-12-25T17:10:16.5Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,8,2,2021-12-25T17:10:31Z,220000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2021-12-25T17:10:18.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,8,2,2021-12-25T17:10:31Z,230000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M09.00S,2021-12-25T17:10:44.0Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612737,8,2,2021-12-25T17:10:52Z,240000,,,0,,J. Randle shooting personal FOUL (1 PF) (Capela 2 FT),"[203944, 203991]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,200833.0,1.0,0.0,Capela,203991.0,,,,,,
