actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-22T23:32:07.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T23:32:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-22T23:32:12.1Z,1,REGULAR,jumpball,recovered,[],201568,,,1610612737,0,0,2022-03-22T23:32:12Z,40000,,,0,,Jump Ball C. Capela vs. M. Robinson: Tip to D. Gallinari,"[201568, 203991, 1629011]",1610612737.0,ATL,startperiod,D. Gallinari,201568.0,Gallinari,D. Gallinari,Capela,203991.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-22T23:32:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,7.046649145860711,51.71568627450981,1610612737,0,2,2022-03-22T23:32:31Z,70000,-9.0,14.0,1,left,K. Huerter driving Layup (2 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,driving,,,Huerter,K. Huerter,,,,,1.62,Made,2.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-22T23:32:43.8Z,1,REGULAR,foul,offensive,[],1629011,,,1610612752,0,2,2022-03-22T23:32:50Z,90000,,,0,,M. Robinson offensive FOUL (1 PF),"[1629011, 1629631]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,1155.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,
11,PT11M27.00S,2022-03-22T23:32:43.8Z,1,REGULAR,turnover,offensive foul,[],1629011,,,1610612752,0,2,2022-03-22T23:32:43Z,110000,,,0,,M. Robinson offensive foul TURNOVER (1 TO),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,1155.0,,,,,1.0,,,,,,,,,
12,PT11M20.00S,2022-03-22T23:33:01.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,31.09395532194481,69.6078431372549,1610612737,0,2,2022-03-22T23:33:08Z,120000,-98.0,240.0,1,left,MISS T. Young 25' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-03-22T23:33:03.4Z,1,REGULAR,rebound,offensive,[],201568,,,1610612737,0,2,2022-03-22T23:33:08Z,130000,,,0,,D. Gallinari REBOUND (Off:1 Def:0),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,
14,PT11M10.00S,2022-03-22T23:33:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629027,5.601182654402102,49.50980392156863,1610612737,0,4,2022-03-22T23:33:14Z,140000,2.0,0.0,1,left,T. Young driving Layup (2 PTS) (D. Hunter 2 AST),"[1629027, 1629631]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,0.25,Made,2.0,D. Hunter,1629631.0,2.0,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-03-22T23:33:27.5Z,1,REGULAR,3pt,Jump Shot,[],203095,69.33311432325887,24.754901960784316,1610612752,0,4,2022-03-22T23:33:33Z,160000,-126.0,236.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2022-03-22T23:33:29.5Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,4,2022-03-22T23:33:33Z,170000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M43.00S,2022-03-22T23:33:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,32.14520367936925,75.0,1610612737,0,4,2022-03-22T23:33:42Z,180000,-125.0,250.0,1,left,MISS T. Young 27' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,27.92,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2022-03-22T23:33:41.0Z,1,REGULAR,rebound,offensive,[],1628989,,,1610612737,0,4,2022-03-22T23:33:41Z,190000,,,0,,K. Huerter REBOUND (Off:1 Def:0),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,
20,PT10M37.00S,2022-03-22T23:33:44.9Z,1,REGULAR,turnover,lost ball,[],201568,,,1610612737,0,4,2022-03-22T23:33:48Z,200000,,,0,,D. Gallinari lost ball TURNOVER (1 TO),"[201568, 1629011]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,1.0,,,,,Robinson,1629011.0,,,
21,PT10M37.00S,2022-03-22T23:33:44.9Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,4,2022-03-22T23:33:46Z,210000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M36.00S,2022-03-22T23:33:50.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,90.75229960578186,50.245098039215684,1610612752,0,4,2022-03-22T23:34:10Z,220000,1.0,34.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1628989]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,3.44,Missed,,,,,,,,,,,,,,,,,Huerter,1628989.0,
23,PT10M36.00S,2022-03-22T23:33:50.1Z,1,REGULAR,block,,[],1628989,,,1610612752,0,4,2022-03-22T23:33:52Z,230000,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M34.00S,2022-03-22T23:33:52.1Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,0,4,2022-03-22T23:33:59Z,240000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,
25,PT10M32.00S,2022-03-22T23:33:53.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629628,94.82588699080158,46.568627450980394,1610612752,2,4,2022-03-22T23:34:03Z,250000,-17.0,-4.0,1,right,R. Barrett Layup (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,1.76,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT10M32.00S,2022-03-22T23:33:56.6Z,1,REGULAR,foul,personal,['1freethrow'],1628989,,,1610612752,2,4,2022-03-22T23:34:04Z,260000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Barrett 1 FT),"[1628989, 1629628]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,201640.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,
28,PT10M32.00S,2022-03-22T23:34:11.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1629628,,,1610612752,3,4,2022-03-22T23:34:11Z,280000,,,0,,R. Barrett Free Throw 1 of 1 (3 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
29,PT10M18.00S,2022-03-22T23:34:27.7Z,1,REGULAR,2pt,Jump Shot,[],1629631,22.552562417871222,62.254901960784316,1610612737,3,4,2022-03-22T23:34:32Z,290000,-61.0,159.0,1,left,MISS D. Hunter 17' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,17.09,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M16.00S,2022-03-22T23:34:29.7Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,3,4,2022-03-22T23:34:32Z,300000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,
31,PT10M08.00S,2022-03-22T23:34:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,82.7365308804205,58.82352941176471,1610612752,3,4,2022-03-22T23:34:44Z,310000,44.0,110.0,1,right,MISS A. Burks 11' Jump Shot,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,11.83,Missed,,,,,,,,,,,,,,,,,,,
32,PT10M07.00S,2022-03-22T23:34:38.8Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,3,4,2022-03-22T23:34:44Z,320000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,
33,PT10M06.00S,2022-03-22T23:34:40.6Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612752,3,4,2022-03-22T23:34:49Z,330000,,,0,,C. Capela shooting personal FOUL (1 PF) (Robinson 2 FT),"[203991, 1629011]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,,,,,,,1201.0,1.0,0.0,Robinson,1629011.0,,,,,,,,,,
35,PT10M06.00S,2022-03-22T23:35:08.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,4,4,2022-03-22T23:35:33Z,350000,,,0,,M. Robinson Free Throw 1 of 2 (1 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
