actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-22T00:42:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-22T00:42:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-22T00:42:23.2Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2021-12-22T00:42:23Z,40000,,,0,,Jump Ball I. Stewart vs. N. Noel: Tip to C. Joseph,"[202709, 1630191, 203457]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Stewart,1630191.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-22T00:42:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,7.5722733245729295,54.90196078431373,1610612765,0,0,2021-12-22T00:42:45Z,70000,-25.0,19.0,1,left,MISS H. Diallo driving Layup,[1628977],1610612765.0,DET,driving,,,Diallo,H. Diallo,,,,,3.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-22T00:42:41.3Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2021-12-22T00:42:45Z,80000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2021-12-22T00:42:50.1Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612765,0,0,2021-12-22T00:43:00Z,90000,,,0,,J. Randle shooting personal FOUL (1 PF) (Stewart 2 FT),"[203944, 1630191]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,203177.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,
11,PT11M39.00S,2021-12-22T00:43:04.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630191,,,1610612765,0,0,2021-12-22T00:43:04Z,110000,,,0,,MISS I. Stewart Free Throw 1 of 2,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M39.00S,2021-12-22T00:43:04.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,0,0,2021-12-22T00:43:04Z,120000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M39.00S,2021-12-22T00:43:18.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630191,,,1610612765,0,1,2021-12-22T00:43:18Z,130000,,,0,,I. Stewart Free Throw 2 of 2 (1 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M23.00S,2021-12-22T00:43:38.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,1,2021-12-22T00:43:38Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2021-12-22T00:43:53.9Z,1,REGULAR,2pt,Jump Shot,[],203944,89.56964520367937,69.36274509803921,1610612752,2,1,2021-12-22T00:43:59Z,150000,97.0,46.0,1,right,J. Randle 10' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,10.7,Made,,,,,,,,,,2.0,,,,,,,,
