actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-12T17:11:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T17:11:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-12T17:11:35.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2021-12-12T17:11:35Z,40000,,,0,,Jump Ball B. Portis vs. N. Noel: Tip to G. Antetokounmpo,"[203507, 1626171, 203457]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-12T17:11:52.7Z,1,REGULAR,2pt,Jump Shot,[],201950,94.69448094612353,31.61764705882353,1610612749,0,0,2021-12-12T17:12:00Z,70000,-92.0,-3.0,1,right,MISS J. Holiday 9' turnaround Shot,[201950],1610612749.0,MIL,turnaround,,,Holiday,J. Holiday,,,,,9.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-12T17:11:54.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-12-12T17:12:00Z,80000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2021-12-12T17:12:14.5Z,1,REGULAR,3pt,Jump Shot,[],203095,6.521024967148489,98.52941176470588,1610612752,0,0,2021-12-12T17:12:19Z,90000,-243.0,9.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-12T17:12:16.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2021-12-12T17:12:19Z,100000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2021-12-12T17:12:25.7Z,1,REGULAR,3pt,Jump Shot,[],203114,82.47371879106439,94.85294117647058,1610612749,0,0,2021-12-12T17:12:32Z,110000,224.0,112.0,1,right,MISS K. Middleton 25' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2021-12-12T17:12:27.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-12-12T17:12:32Z,120000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2021-12-12T17:12:36.1Z,1,REGULAR,3pt,Jump Shot,[],203944,27.54599211563732,79.65686274509804,1610612752,0,0,2021-12-12T17:12:43Z,130000,-148.0,206.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-12-12T17:12:38.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,0,2021-12-12T17:12:43Z,140000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2021-12-12T17:12:40.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,0,0,2021-12-12T17:12:40Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2021-12-12T17:12:54.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,94.69448094612353,51.225490196078425,1610612749,0,2,2021-12-12T17:12:59Z,160000,6.0,-3.0,1,right,G. Antetokounmpo alley-oop DUNK (2 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,0.66,Made,,,,,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,
18,PT10M27.00S,2021-12-12T17:13:13.1Z,1,REGULAR,3pt,Jump Shot,[],203944,31.61957950065703,65.93137254901961,1610612752,0,2,2021-12-12T17:13:19Z,180000,-80.0,245.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2021-12-12T17:13:15.1Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,2,2021-12-12T17:13:19Z,190000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M15.00S,2021-12-12T17:13:25.8Z,1,REGULAR,2pt,Jump Shot,[],1626171,84.70762155059133,16.911764705882355,1610612749,0,2,2021-12-12T17:13:32Z,200000,-165.0,91.0,1,right,MISS B. Portis 18' Jump Shot,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,18.89,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2021-12-12T17:13:27.8Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,0,2,2021-12-12T17:13:32Z,210000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M02.00S,2021-12-12T17:13:38.8Z,1,REGULAR,2pt,Jump Shot,[],201565,20.844283837056505,72.30392156862744,1610612752,0,2,2021-12-12T17:13:46Z,220000,-112.0,143.0,1,left,MISS D. Rose 18' pullup Shot,[201565],1610612752.0,NYK,pullup,,,Rose,D. Rose,,,,,18.16,Missed,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2021-12-12T17:13:40.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,2,2021-12-12T17:13:46Z,230000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M47.00S,2021-12-12T17:13:53.4Z,1,REGULAR,2pt,Jump Shot,[],203507,87.72996057818659,31.862745098039213,1610612749,0,4,2021-12-12T17:13:58Z,240000,-91.0,63.0,1,right,G. Antetokounmpo 11' turnaround fadeaway Jump Shot (4 PTS),[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,11.03,Made,,,,,4.0,,,,,,,,,,,,,
25,PT09M28.00S,2021-12-12T17:14:13.7Z,1,REGULAR,turnover,out-of-bounds,[],1629656,,,1610612752,0,4,2021-12-12T17:14:23Z,250000,,,0,,Q. Grimes bad pass out-of-bounds TURNOVER (1 TO),[1629656],1610612752.0,NYK,bad pass,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,
26,PT09M10.00S,2021-12-12T17:14:39.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203507,78.0059132720105,23.03921568627451,1610612749,0,4,2021-12-12T17:14:47Z,260000,-135.0,154.0,1,right,MISS G. Antetokounmpo 20' Jump Shot,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,20.48,Missed,,,,,,,,,,,,,,,,,,
27,PT09M08.00S,2021-12-12T17:14:41.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,4,2021-12-12T17:14:47Z,270000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M05.00S,2021-12-12T17:14:43.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",203507,89.70105124835742,50.0,1610612749,0,4,2021-12-12T17:14:52Z,280000,0.0,44.0,1,right,MISS G. Antetokounmpo Hook,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,4.43,Missed,,,,,,,,,,,,,,,,,,
30,PT09M03.00S,2021-12-12T17:14:45.2Z,1,REGULAR,rebound,defensive,[],201565,,,1610612752,0,4,2021-12-12T17:14:52Z,300000,,,0,,D. Rose REBOUND (Off:0 Def:1),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT08M51.00S,2021-12-12T17:15:00.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,4,2021-12-12T17:15:00Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M45.00S,2021-12-12T17:15:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,15.193823915900131,50.49019607843137,1610612752,0,4,2021-12-12T17:15:24Z,320000,-2.0,90.0,1,left,MISS D. Rose 9' floating Shot,[201565],1610612752.0,NYK,floating,,,Rose,D. Rose,,,,,9.03,Missed,,,,,,,,,,,,,,,,,,
33,PT08M43.00S,2021-12-12T17:15:20.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,4,2021-12-12T17:15:24Z,330000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M32.00S,2021-12-12T17:15:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.43166885676742,46.81372549019608,1610612749,0,4,2021-12-12T17:15:38Z,340000,-16.0,0.0,1,right,MISS G. Antetokounmpo Layup - blocked,"[203507, 203457]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,1.59,Missed,,,,,,,,,,,Noel,203457.0,,,,,,
35,PT08M32.00S,2021-12-12T17:15:32.3Z,1,REGULAR,block,,[],203457,,,1610612749,0,4,2021-12-12T17:15:34Z,350000,,,0,,N. Noel BLOCK (1 BLK),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
