actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-28T23:42:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-28T23:42:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-28T23:42:07.2Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2022-03-28T23:42:07Z,40000,,,0,,Jump Ball M. Robinson vs. N. Vucevic: Tip to R. Barrett,"[1629628, 1629011, 202696]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Robinson,1629011.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-28T23:42:18.5Z,1,REGULAR,3pt,Jump Shot,[],203095,31.61957950065703,45.83333333333333,1610612752,0,0,2022-03-28T23:42:25Z,70000,21.0,245.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-28T23:42:20.5Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,0,2022-03-28T23:42:25Z,80000,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-28T23:42:36.9Z,1,REGULAR,2pt,Jump Shot,[],202696,72.88107752956637,43.627450980392155,1610612741,0,0,2022-03-28T23:42:42Z,90000,-32.0,202.0,1,right,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,20.49,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-03-28T23:42:38.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-03-28T23:42:42Z,100000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2022-03-28T23:42:56.6Z,1,REGULAR,3pt,Jump Shot,[],203944,30.831143232588698,24.264705882352942,1610612752,0,0,2022-03-28T23:43:01Z,110000,129.0,237.0,1,left,MISS J. Randle 27' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-28T23:42:57.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2022-03-28T23:43:01Z,120000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2022-03-28T23:43:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,94.03745072273325,59.31372549019608,1610612741,0,2,2022-03-28T23:43:35Z,130000,47.0,4.0,1,right,Z. LaVine turnaround fadeaway Jump Shot (2 PTS),[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,4.67,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M40.00S,2022-03-28T23:43:24.3Z,1,REGULAR,3pt,Jump Shot,[],203095,32.276609724047304,51.225490196078425,1610612752,0,2,2022-03-28T23:43:29Z,140000,-6.0,251.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
