actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-11T00:41:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T00:41:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-11T00:41:48.7Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2021-11-11T00:41:48Z,40000,,,0,,Jump Ball M. Robinson vs. B. Portis: Tip to R. Barrett,"[1629628, 1629011, 1626171]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Robinson,1629011.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-11T00:41:58.6Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,0,0,2021-11-11T00:42:02Z,70000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 201588]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,1.0,Hill,201588.0,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2021-11-11T00:41:58.6Z,1,REGULAR,steal,,[],201588,,,1610612749,0,0,2021-11-11T00:42:00Z,80000,,,0,,G. Hill STEAL (1 STL),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2021-11-11T00:42:03.3Z,1,REGULAR,foul,personal,[],1629011,,,1610612749,0,0,2021-11-11T00:42:09Z,90000,,,0,,M. Robinson personal FOUL (1 PF),"[1629011, 201588]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,101283.0,1.0,0.0,Hill,201588.0,,,,,,,,,,,,,
11,PT11M29.00S,2021-11-11T00:42:34.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626171,78.66294349540078,52.20588235294118,1610612749,0,0,2021-11-11T00:42:44Z,110000,11.0,148.0,1,right,MISS B. Portis 14' driving floating Shot,[1626171],1610612749.0,MIL,driving floating,,,Portis,B. Portis,,,,,,,,,,,,,14.85,Missed,,,,,,,,,,,
12,PT11M27.00S,2021-11-11T00:42:36.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,0,2021-11-11T00:42:44Z,120000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M27.00S,2021-11-11T00:42:40.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2021-11-11T00:42:40Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2021-11-11T00:43:01.9Z,1,REGULAR,3pt,Jump Shot,[],203944,30.56833114323259,30.14705882352941,1610612752,0,0,2021-11-11T00:43:08Z,140000,99.0,235.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,25.49,Missed,,,,,,,,,,,
15,PT11M08.00S,2021-11-11T00:43:03.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2021-11-11T00:43:08Z,150000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M59.00S,2021-11-11T00:43:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.64323258869908,47.05882352941176,1610612749,0,0,2021-11-11T00:43:18Z,160000,-15.0,7.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,,,,,,,,,1.64,Missed,,,,,,,,,,,
17,PT10M57.00S,2021-11-11T00:43:14.8Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2021-11-11T00:43:18Z,170000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M49.00S,2021-11-11T00:43:23.1Z,1,REGULAR,3pt,Jump Shot,[],203944,32.14520367936925,63.23529411764706,1610612752,3,0,2021-11-11T00:43:30Z,180000,-66.0,250.0,1,left,J. Randle 25' 3PT  (3 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,25.83,Made,,,,,3.0,E. Fournier,203095.0,1.0,,,
20,PT10M31.00S,2021-11-11T00:43:40.3Z,1,REGULAR,2pt,Jump Shot,[],203507,84.05059132720105,66.42156862745098,1610612749,3,0,2021-11-11T00:43:45Z,200000,82.0,97.0,1,right,MISS G. Antetokounmpo 12' Jump Shot,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,12.74,Missed,,,,,,,,,,,
21,PT10M30.00S,2021-11-11T00:43:41.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,0,2021-11-11T00:43:45Z,210000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,
22,PT10M23.00S,2021-11-11T00:43:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,7.703679369250986,45.34313725490196,1610612752,3,0,2021-11-11T00:43:54Z,220000,23.0,20.0,1,left,MISS R. Barrett driving Layup - blocked,"[1629628, 1628960]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,,,,,,,,3.06,Missed,,,,,,,,,Allen,1628960.0,
23,PT10M23.00S,2021-11-11T00:43:48.8Z,1,REGULAR,block,,[],1628960,,,1610612752,3,0,2021-11-11T00:43:51Z,230000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2021-11-11T00:43:50.8Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,3,0,2021-11-11T00:43:54Z,240000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
25,PT10M19.00S,2021-11-11T00:43:53.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,71.82982917214193,19.607843137254903,1610612749,3,3,2021-11-11T00:43:59Z,250000,-152.0,212.0,1,right,G. Allen 26' 3PT pullup (3 PTS) (G. Hill 1 AST),"[1628960, 201588]",1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,,,,,,,,,26.11,Made,,,,,3.0,G. Hill,201588.0,1.0,,,
27,PT10M02.00S,2021-11-11T00:44:09.6Z,1,REGULAR,2pt,Jump Shot,[],203944,27.414586070959263,47.794117647058826,1610612752,5,3,2021-11-11T00:44:13Z,270000,11.0,205.0,1,left,J. Randle 20' Jump Shot (5 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,20.55,Made,,,,,5.0,K. Walker,202689.0,1.0,,,
29,PT09M41.00S,2021-11-11T00:44:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,90.48948751642575,48.03921568627451,1610612749,5,3,2021-11-11T00:44:35Z,290000,-10.0,37.0,1,right,MISS J. Holiday Layup - blocked,"[201950, 1629011]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,3.82,Missed,,,,,,,,,Robinson,1629011.0,
30,PT09M41.00S,2021-11-11T00:44:30.7Z,1,REGULAR,block,,[],1629011,,,1610612749,5,3,2021-11-11T00:44:33Z,300000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M39.00S,2021-11-11T00:44:32.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,3,2021-11-11T00:44:35Z,310000,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,29.0,3.0,3.0,0.0,,,,,,,
32,PT09M27.00S,2021-11-11T00:44:45.7Z,1,REGULAR,2pt,Jump Shot,[],203944,25.04927726675427,69.36274509803921,1610612752,5,3,2021-11-11T00:44:56Z,320000,-97.0,183.0,1,left,MISS J. Randle 20' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,,,,,,20.7,Missed,,,,,,,,,,,
33,PT09M25.00S,2021-11-11T00:44:47.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,5,3,2021-11-11T00:44:56Z,330000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
34,PT09M16.00S,2021-11-11T00:44:56.4Z,1,REGULAR,3pt,Jump Shot,[],1626171,72.09264126149803,24.019607843137255,1610612749,5,6,2021-11-11T00:45:00Z,340000,-130.0,210.0,1,right,B. Portis 24' 3PT  (3 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,24.68,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,
36,PT08M53.00S,2021-11-11T00:45:18.2Z,1,REGULAR,2pt,Jump Shot,[],1629628,19.004599211563733,25.245098039215684,1610612752,7,6,2021-11-11T00:49:46Z,360000,124.0,126.0,1,left,R. Barrett 17' pullup Jump Shot (2 PTS),[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,,,,,,,,,17.67,Made,,,,,2.0,,,,,,
37,PT08M44.00S,2021-11-11T00:45:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,91.40932982917214,38.72549019607843,1610612749,7,8,2021-11-11T00:45:31Z,370000,-56.0,28.0,1,right,B. Portis 6' turnaround Jump Shot (5 PTS) (J. Holiday 2 AST),"[1626171, 201950]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,,,,,,,,,6.31,Made,,,,,5.0,J. Holiday,201950.0,2.0,,,
