actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-30T23:40:29.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T23:40:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-30T23:40:32.1Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-03-30T23:40:32Z,40000,,,0,,Jump Ball M. Robinson vs. M. Plumlee: Tip to J. Randle,"[203944, 1629011, 203486]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-30T23:40:48.6Z,1,REGULAR,turnover,backcourt,[],202692,,,1610612752,0,0,2022-03-30T23:41:40Z,70000,,,0,,A. Burks backcourt TURNOVER (1 TO),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,1.0,,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-03-30T23:41:19.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629023,6.389618922470433,50.49019607843137,1610612766,0,2,2022-03-30T23:41:25Z,80000,-2.0,8.0,1,left,P. Washington cutting Layup (2 PTS) (L. Ball 1 AST),"[1629023, 1630163]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,,0.8,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
10,PT11M06.00S,2022-03-30T23:41:41.2Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,0,2,2022-03-30T23:41:44Z,100000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 203486]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,1.0,,,,,,,Plumlee,203486.0,,,,,,,,,,,,
11,PT11M06.00S,2022-03-30T23:41:41.2Z,1,REGULAR,steal,,[],203486,,,1610612766,0,2,2022-03-30T23:41:42Z,110000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2022-03-30T23:41:46.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626179,6.521024967148489,52.20588235294118,1610612766,0,4,2022-03-30T23:43:24Z,120000,-11.0,9.0,1,left,T. Rozier cutting Layup (2 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,cutting,,,Rozier,T. Rozier,,,,,,1.41,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
14,PT10M47.00S,2022-03-30T23:42:03.1Z,1,REGULAR,foul,personal,[],203486,,,1610612752,0,4,2022-03-30T23:42:20Z,140000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 203095]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,201246.0,1.0,0.0,Fournier,203095.0,,,,,,,
16,PT10M42.00S,2022-03-30T23:42:27.6Z,1,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612752,0,4,2022-03-30T23:42:39Z,160000,,,0,,T. Rozier shooting personal FOUL (1 PF) (Robinson 2 FT),"[1626179, 1629011]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,,,,,,,,,,2534.0,1.0,0.0,Robinson,1629011.0,,,,,,,
18,PT10M42.00S,2022-03-30T23:42:55.0Z,1,REGULAR,freethrow,1 of 2,[],1629011,,,1610612752,0,4,2022-03-30T23:42:55Z,180000,,,0,,MISS M. Robinson Free Throw 1 of 2,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2022-03-30T23:42:55.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,4,2022-03-30T23:42:55Z,190000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,
20,PT10M42.00S,2022-03-30T23:43:12.2Z,1,REGULAR,freethrow,2 of 2,[],1629011,,,1610612752,1,4,2022-03-30T23:43:12Z,200000,,,0,,M. Robinson Free Throw 2 of 2 (1 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2022-03-30T23:43:22.8Z,1,REGULAR,foul,personal,[],203095,,,1610612766,1,4,2022-03-30T23:43:30Z,210000,,,0,,E. Fournier personal FOUL (1 PF),"[203095, 1630163]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,201246.0,1.0,0.0,Ball,1630163.0,,,,,,,
23,PT10M27.00S,2022-03-30T23:43:48.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,15.850854139290407,5.392156862745098,1610612766,1,7,2022-03-30T23:43:52Z,230000,223.0,96.0,1,left,T. Rozier 24' 3PT  (5 PTS) (L. Ball 2 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,24.3,Made,5.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
25,PT10M14.00S,2022-03-30T23:44:01.9Z,1,REGULAR,3pt,Jump Shot,[],203095,93.64323258869908,3.1862745098039214,1610612752,1,7,2022-03-30T23:44:06Z,250000,-234.0,7.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2022-03-30T23:44:03.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,1,7,2022-03-30T23:44:06Z,260000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,
27,PT10M06.00S,2022-03-30T23:44:12.4Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612766,1,7,2022-03-30T23:44:16Z,270000,,,0,,P. Washington bad pass out-of-bounds TURNOVER (1 TO),[1629023],1610612766.0,CHA,bad pass,,,Washington,P. Washington,,,,,1.0,,,,,,,,,201246.0,,,,,,,,,,,
28,PT09M56.00S,2022-03-30T23:44:31.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,72.7496714848883,20.833333333333336,1610612752,4,7,2022-03-30T23:44:35Z,280000,-146.0,204.0,1,right,J. Randle 25' 3PT  (3 PTS) (A. Burks 1 AST),"[203944, 202692]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,25.05,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,
30,PT09M41.00S,2022-03-30T23:44:45.5Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,4,7,2022-03-30T23:47:07Z,300000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1629628]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,1.0,,,,,,,Barrett,1629628.0,,,,,,,,,,,,
31,PT09M41.00S,2022-03-30T23:44:45.5Z,1,REGULAR,steal,,[],1629628,,,1610612752,4,7,2022-03-30T23:44:47Z,310000,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2022-03-30T23:44:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629628,92.85479632063075,49.50980392156863,1610612752,6,7,2022-03-30T23:44:57Z,320000,-2.0,15.0,1,right,R. Barrett driving finger roll Layup (2 PTS),[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,,1.49,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2022-03-30T23:45:03.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,23.99802890932983,84.80392156862744,1610612766,6,7,2022-03-30T23:45:10Z,330000,-174.0,173.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,
34,PT09M20.00S,2022-03-30T23:45:05.8Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,6,7,2022-03-30T23:45:10Z,340000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,
35,PT09M13.00S,2022-03-30T23:45:13.2Z,1,REGULAR,3pt,Jump Shot,[],203944,74.72076215505913,83.82352941176471,1610612752,9,7,2022-03-30T23:48:48Z,350000,169.0,185.0,1,right,J. Randle 25' 3PT pullup (6 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,25.07,Made,6.0,,,,,,,,,,,,,,,,,
36,PT09M00.00S,2022-03-30T23:45:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,6.783837056504599,49.50980392156863,1610612766,9,9,2022-03-30T23:45:30Z,360000,2.0,11.0,1,left,L. Ball driving Layup (2 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,,1.16,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M41.00S,2022-03-30T23:45:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,74.85216819973719,84.31372549019608,1610612752,9,9,2022-03-30T23:45:53Z,370000,172.0,184.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2022-03-30T23:45:47.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,9,9,2022-03-30T23:45:53Z,380000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,37.0,1.0,0.0,1.0,,,
39,PT08M36.00S,2022-03-30T23:45:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,90.75229960578186,47.05882352941176,1610612752,11,9,2022-03-30T23:49:42Z,390000,-15.0,34.0,1,right,M. Robinson putback Layup (3 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,,3.74,Made,3.0,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2022-03-30T23:46:02.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,12.828515111695138,47.794117647058826,1610612766,11,11,2022-03-30T23:46:04Z,400000,11.0,68.0,1,left,L. Ball 6' driving floating Jump Shot (4 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,,6.9,Made,4.0,,,,,,,,,,,,,,,,,
41,PT08M03.00S,2022-03-30T23:46:23.5Z,1,REGULAR,3pt,Jump Shot,[],202692,92.46057818659659,95.83333333333334,1610612752,11,11,2022-03-30T23:46:29Z,410000,229.0,18.0,1,right,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,22.99,Missed,,,,,,,,,,,,,,,,,,
42,PT08M01.00S,2022-03-30T23:46:25.5Z,1,REGULAR,rebound,offensive,[],202692,,,1610612752,11,11,2022-03-30T23:46:29Z,420000,,,0,,A. Burks REBOUND (Off:1 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,
43,PT07M56.00S,2022-03-30T23:46:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,94.03745072273325,51.71568627450981,1610612752,13,11,2022-03-30T23:46:33Z,430000,9.0,4.0,1,right,R. Barrett driving Layup (4 PTS) (A. Burks 2 AST),"[1629628, 202692]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,0.93,Made,4.0,A. Burks,202692.0,2.0,,,,,,,,,,,,,,
45,PT07M43.00S,2022-03-30T23:46:43.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,29.6484888304862,24.019607843137255,1610612766,13,11,2022-03-30T23:46:47Z,450000,130.0,226.0,1,left,MISS L. Ball 26' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
46,PT07M41.00S,2022-03-30T23:46:45.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,13,11,2022-03-30T23:46:47Z,460000,,,0,,A. Burks REBOUND (Off:1 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,45.0,3.0,2.0,1.0,,,
47,PT07M23.00S,2022-03-30T23:47:03.1Z,1,REGULAR,3pt,Jump Shot,[],202692,72.88107752956637,78.67647058823529,1610612752,13,11,2022-03-30T23:52:46Z,470000,143.0,202.0,1,right,MISS A. Burks 24' pullup 3PT,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,
48,PT07M21.00S,2022-03-30T23:47:05.1Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,13,11,2022-03-30T23:47:07Z,480000,,,0,,M. Robinson REBOUND (Off:2 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,47.0,2.0,0.0,2.0,,,
