actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-20T22:12:04.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T22:12:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-20T22:12:07.0Z,1,REGULAR,jumpball,recovered,[],203095,,,1610612752,0,0,2021-11-20T22:12:07Z,40000,,,0,,Jump Ball M. Robinson vs. C. Wood: Tip to E. Fournier,"[203095, 1629011, 1626174]",1610612752.0,NYK,startperiod,E. Fournier,203095.0,Fournier,E. Fournier,Robinson,1629011.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-20T22:12:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.03745072273325,46.81372549019608,1610612752,0,0,2021-11-20T22:12:32Z,70000,-16.0,4.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,1.63,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-20T22:12:22.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,0,0,2021-11-20T22:12:32Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-20T22:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],201569,31.225361366622867,58.82352941176471,1610612745,0,0,2021-11-20T22:12:46Z,90000,-44.0,241.0,1,left,MISS E. Gordon 24' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,24.5,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-11-20T22:12:42.0Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,0,0,2021-11-20T22:12:46Z,100000,,,0,,J. Green REBOUND (Off:1 Def:0),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M16.00S,2021-11-20T22:12:47.8Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,0,0,2021-11-20T22:12:50Z,110000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 203095]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,,
12,PT11M16.00S,2021-11-20T22:12:47.8Z,1,REGULAR,steal,,[],203095,,,1610612752,0,0,2021-11-20T22:12:49Z,120000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-11-20T22:12:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,86.94152431011827,62.745098039215684,1610612752,0,0,2021-11-20T22:13:01Z,130000,64.0,70.0,1,right,MISS J. Randle 9' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-11-20T22:12:56.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2021-11-20T22:13:01Z,140000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
