actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-12-24T03:41:15.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T03:41:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-24T03:41:18.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-12-24T03:41:18Z,40000,False,,,0,,Jump Ball T. Bryant vs. M. Plumlee: Tip to L. James,"[2544, 1628418, 203486]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Bryant,1628418.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-12-24T03:41:30.8Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612747,0,0,2022-12-24T03:41:35Z,70000,False,,,0,,M. Plumlee shooting personal FOUL (1 PF) (James 2 FT),"[203486, 2544]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,James,2544.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-12-24T03:41:54.8Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,0,0,2022-12-24T03:42:13Z,90000,False,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M46.00S,2022-12-24T03:41:54.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,0,0,2022-12-24T03:42:13Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M46.00S,2022-12-24T03:41:54.8Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,0,0,2022-12-24T03:42:13Z,110000,False,,,0,,MISS L. James Free Throw 2 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M42.00S,2022-12-24T03:41:58.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-12-24T03:42:13Z,120000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M33.00S,2022-12-24T03:42:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,32.90078843626807,54.90196078431372,1610612766,0,0,2022-12-24T03:42:26Z,130000,False,-25.0,257.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,25.8,,,,,,,,,
14,PT11M30.00S,2022-12-24T03:42:24.7Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,0,0,2022-12-24T03:42:26Z,140000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M28.00S,2022-12-24T03:42:31.2Z,1,REGULAR,violation,kicked ball,[],1629023,,,1610612747,0,0,2022-12-24T03:42:36Z,150000,False,,,0,,P. Washington kicked ball VIOLATION,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,202053.0,,,,,,,,,,,,,,,,,,,
