actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-21T02:02:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T02:02:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-21T02:03:00.7Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-10-21T02:03:00Z,40000,,,0,,Jump Ball I. Zubac vs. A. Davis: Tip to M. Morris Sr.,"[202694, 1627826, 203076]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-10-21T02:03:10.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,94.3988173455979,4.166666666666657,1610612746,0,0,2022-10-21T02:03:14Z,70000,-229.0,0.0,1,right,MISS N. Powell 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-10-21T02:03:13.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2022-10-21T02:03:14Z,80000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-10-21T02:03:30.0Z,1,REGULAR,3pt,Jump Shot,[],1629022,12.532851511169525,96.32352941176471,1610612747,3,0,2022-10-21T02:04:01Z,90000,-232.0,65.0,1,left,L. Walker IV 24' 3PT pullup (3 PTS) (L. James 1 AST),"[1629022, 2544]",1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Left Corner 3,24+ Left,24.06,Made,,,,,3.0,L. James,2544.0,1.0,,,,,,,,,,
11,PT11M08.00S,2022-10-21T02:03:50.4Z,1,REGULAR,2pt,Jump Shot,[],202704,77.05321944809461,34.803921568627445,1610612746,3,0,2022-10-21T02:03:55Z,110000,-76.0,163.0,1,right,MISS R. Jackson 18' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left Center,18.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-10-21T02:03:53.0Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,3,0,2022-10-21T02:03:53Z,120000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Mid-Range,16-24 Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2022-10-21T02:03:54.4Z,1,REGULAR,turnover,lost ball,[],201976,,,1610612747,3,0,2022-10-21T02:03:58Z,130000,,,0,,P. Beverley lost ball TURNOVER (1 TO),"[201976, 202704]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Jackson,202704.0,,,,,,,
14,PT11M03.00S,2022-10-21T02:03:54.4Z,1,REGULAR,steal,,[],202704,,,1610612746,3,0,2022-10-21T02:03:56Z,140000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-10-21T02:03:58.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202694,73.63666228646518,87.00980392156862,1610612746,3,3,2022-10-21T02:04:12Z,150000,185.0,195.0,1,right,M. Morris Sr. 26' 3PT running (3 PTS) (P. George 1 AST),"[202694, 202331]",1610612746.0,LAC,running,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,26.9,Made,,,,,3.0,P. George,202331.0,1.0,,,,,,,,,,
