actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-23T19:40:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T19:40:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-23T19:41:00.5Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2022-10-23T19:41:00Z,40000,,,0,,Jump Ball J. Nurkic vs. A. Davis: Tip to D. Lillard,"[203081, 203994, 203076]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-23T19:41:15.4Z,1,REGULAR,2pt,Jump Shot,[],203081,21.337056504599218,78.43137254901961,1610612757,0,0,2022-10-23T19:41:21Z,70000,-142.0,148.0,1,left,MISS D. Lillard 20' Jump Shot,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,20.53,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-10-23T19:41:19.4Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612757,0,0,2022-10-23T19:41:21Z,80000,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-10-23T19:41:21.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,25.016425755584763,82.59803921568627,1610612757,0,0,2022-10-23T19:41:26Z,90000,-163.0,183.0,1,left,MISS D. Lillard 24' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,24.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-10-23T19:41:24.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,0,2022-10-23T19:41:26Z,100000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2022-10-23T19:41:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629022,93.47897503285151,64.4607843137255,1610612747,2,0,2022-10-23T19:44:24Z,110000,72.0,9.0,1,right,L. Walker IV 7' step back Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1629022, 201566]",1610612747.0,LAL,step back,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,7.28,Made,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
13,PT11M07.00S,2022-10-23T19:41:49.5Z,1,REGULAR,3pt,Jump Shot,[],203081,8.984888304862025,3.67647058823529,1610612757,2,0,2022-10-23T19:41:55Z,130000,232.0,32.0,1,left,MISS D. Lillard 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,23.38,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-10-23T19:41:50.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,0,2022-10-23T19:41:55Z,140000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Right Corner 3,24+ Right,,,13.0,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-10-23T19:42:18.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.2161629434954,49.26470588235294,1610612747,4,0,2022-10-23T19:42:23Z,160000,-4.0,11.0,1,right,A. Davis cutting DUNK (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.19,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,,,
18,PT10M33.00S,2022-10-23T19:42:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,26.72470433639947,82.84313725490196,1610612757,4,0,2022-10-23T19:42:35Z,180000,-164.0,199.0,1,left,MISS A. Simons 25' 3PT - blocked,"[1629014, 203076]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,Davis,203076.0,,,,,,,,
19,PT10M33.00S,2022-10-23T19:42:30.1Z,1,REGULAR,block,,[],203076,,,1610612757,4,0,2022-10-23T19:42:33Z,190000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2022-10-23T19:42:34.1Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,4,0,2022-10-23T19:42:35Z,200000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M22.00S,2022-10-23T19:42:46.0Z,1,REGULAR,violation,kicked ball,[],203994,,,1610612747,4,0,2022-10-23T19:42:55Z,210000,,,0,,J. Nurkic kicked ball VIOLATION,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,2530.0,,,,,,,
22,PT10M07.00S,2022-10-23T19:43:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.37647831800263,47.79411764705882,1610612747,4,0,2022-10-23T19:43:23Z,220000,-11.0,29.0,1,right,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2022-10-23T19:43:21.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,4,0,2022-10-23T19:43:23Z,230000,,,0,,J. Hart REBOUND (Off:1 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT10M02.00S,2022-10-23T19:43:23.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,25.673455978975028,15.196078431372555,1610612757,4,0,2022-10-23T19:43:34Z,240000,174.0,189.0,1,left,MISS D. Lillard 25' running pullup 3PT,[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2022-10-23T19:43:28.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,0,2022-10-23T19:43:34Z,250000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M52.00S,2022-10-23T19:43:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,91.11366622864652,48.774509803921575,1610612747,4,0,2022-10-23T19:43:46Z,260000,-6.0,31.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,3.16,Missed,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2022-10-23T19:43:32.1Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,0,2022-10-23T19:43:46Z,270000,,,0,,L. James REBOUND (Off:1 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT09M52.00S,2022-10-23T19:43:35.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",2544,94.40999984741211,50.0,1610612747,4,0,2022-10-23T19:44:07Z,280000,0.0,0.0,1,right,MISS L. James tip Layup,[2544],1610612747.0,LAL,tip,,,James,L. James,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2022-10-23T19:43:35.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,4,0,2022-10-23T19:44:07Z,290000,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M52.00S,2022-10-23T19:43:38.8Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612747,4,0,2022-10-23T19:43:48Z,300000,,,0,,J. Grant shooting personal FOUL (1 PF) (Davis 2 FT),"[203924, 203076]",1610612757.0,POR,shooting,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1204.0,1.0,0.0,Davis,203076.0,,,
32,PT09M52.00S,2022-10-23T19:44:05.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203076,,,1610612747,5,0,2022-10-23T19:44:05Z,320000,,,0,,A. Davis Free Throw 1 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
33,PT09M52.00S,2022-10-23T19:44:25.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203076,,,1610612747,6,0,2022-10-23T19:44:25Z,330000,,,0,,A. Davis Free Throw 2 of 2 (4 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
34,PT09M42.00S,2022-10-23T19:44:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,7.670827858081481,51.71568627450981,1610612757,6,2,2022-10-23T19:44:42Z,340000,-9.0,20.0,1,left,D. Lillard driving Layup (2 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,2.0,,,,,,,,,,,,,
35,PT09M33.00S,2022-10-23T19:44:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,92.69053876478318,44.36274509803921,1610612747,8,2,2022-10-23T19:44:51Z,350000,-28.0,16.0,1,right,R. Westbrook floating Jump Shot (2 PTS),[201566],1610612747.0,LAL,floating,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.25,Made,,,,,2.0,,,,,,,,,,,,,
36,PT09M33.00S,2022-10-23T19:44:52.6Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612747,8,2,2022-10-23T19:44:56Z,360000,,,0,,A. Simons shooting personal FOUL (1 PF) (Westbrook 1 FT),"[1629014, 201566]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2005.0,1.0,0.0,Westbrook,201566.0,,,
38,PT09M33.00S,2022-10-23T19:45:16.7Z,1,REGULAR,freethrow,1 of 1,[],201566,,,1610612747,9,2,2022-10-23T19:45:16Z,380000,,,0,,R. Westbrook Free Throw 1 of 1 (3 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
40,PT09M10.00S,2022-10-23T19:45:53.1Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612757,9,2,2022-10-23T19:45:56Z,400000,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 201976]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Beverley,201976.0
41,PT09M10.00S,2022-10-23T19:45:53.1Z,1,REGULAR,steal,,[],201976,,,1610612747,9,2,2022-10-23T19:49:55Z,410000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
42,PT09M08.00S,2022-10-23T19:45:58.2Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612747,9,2,2022-10-23T19:46:02Z,420000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (James 2 FT),"[203994, 2544]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1204.0,1.0,0.0,James,2544.0,,,
44,PT09M08.00S,2022-10-23T19:46:28.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",2544,,,1610612747,9,2,2022-10-23T19:46:28Z,440000,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT09M08.00S,2022-10-23T19:46:28.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,9,2,2022-10-23T19:46:28Z,450000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT09M08.00S,2022-10-23T19:46:43.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",2544,,,1610612747,10,2,2022-10-23T19:46:43Z,460000,,,0,,L. James Free Throw 2 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
47,PT08M58.00S,2022-10-23T19:46:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,16.343626806833115,41.17647058823529,1610612757,10,2,2022-10-23T19:47:00Z,470000,44.0,101.0,1,left,MISS J. Grant 11' turnaround fadeaway Shot,[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,11.03,Missed,,,,,,,,,,,,,,,,,,
48,PT08M54.00S,2022-10-23T19:46:58.8Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,10,2,2022-10-23T19:47:00Z,480000,,,0,,L. Walker IV REBOUND (Off:0 Def:2),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),8-16 Center,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT08M45.00S,2022-10-23T19:47:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,90.8508541392904,56.127450980392155,1610612747,10,2,2022-10-23T19:47:12Z,490000,31.0,34.0,1,right,MISS A. Davis floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
51,PT08M41.00S,2022-10-23T19:47:11.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,10,2,2022-10-23T19:47:12Z,510000,,,0,,J. Hart REBOUND (Off:1 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,
52,PT08M33.00S,2022-10-23T19:47:19.1Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,10,2,2022-10-23T19:47:22Z,520000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629022]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Walker IV,1629022.0
53,PT08M33.00S,2022-10-23T19:47:19.1Z,1,REGULAR,steal,,[],1629022,,,1610612747,10,2,2022-10-23T19:47:20Z,530000,,,0,,L. Walker IV STEAL (1 STL),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
