actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T02:41:23.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T02:41:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2022-11-05T02:41:30.3Z,1,REGULAR,jumpball,recovered,[],1629022,,,1610612747,0,0,2022-11-05T02:41:30Z,40000,,,0,,Jump Ball A. Davis vs. K. Olynyk: Tip to L. Walker IV,"[1629022, 203076, 203482]",1610612747.0,LAL,startperiod,L. Walker IV,1629022.0,Walker IV,L. Walker IV,Davis,203076.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-05T02:41:40.7Z,1,REGULAR,3pt,Jump Shot,[],1628972,29.09001314060447,76.9607843137255,1610612747,3,0,2022-11-05T02:41:47Z,70000,-135.0,221.0,1,left,T. Brown Jr. 25' 3PT  (3 PTS) (L. Walker IV 1 AST),"[1628972, 1629022]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,25.88,Made,3.0,L. Walker IV,1629022.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-11-05T02:41:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,71.92838370565046,18.137254901960787,1610612762,3,0,2022-11-05T02:41:58Z,90000,-159.0,211.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-11-05T02:41:56.3Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,3,0,2022-11-05T02:41:58Z,100000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M21.00S,2022-11-05T02:42:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203076,5.699737187910642,48.0392156862745,1610612747,5,0,2022-11-05T02:42:11Z,110000,10.0,1.0,1,left,A. Davis running alley-oop Layup (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,running alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.99,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
13,PT11M02.00S,2022-11-05T02:42:19.5Z,1,REGULAR,3pt,Jump Shot,[],203482,90.8508541392904,4.656862745098039,1610612762,5,3,2022-11-05T02:42:26Z,130000,-227.0,34.0,1,right,K. Olynyk 3PT  (3 PTS) (L. Markkanen 1 AST),"[203482, 1628374]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Left Corner 3,24+ Left,22.92,Made,3.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,,,,
15,PT10M43.00S,2022-11-05T02:42:38.3Z,1,REGULAR,2pt,Jump Shot,[],1629022,19.8915900131406,29.166666666666657,1610612747,5,3,2022-11-05T02:42:42Z,150000,104.0,134.0,1,left,MISS L. Walker IV 17' pullup Shot,[1629022],1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Mid-Range,16-24 Right Center,17.01,Missed,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-11-05T02:42:40.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,5,3,2022-11-05T02:42:42Z,160000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Right Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M21.00S,2022-11-05T02:43:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.82194480946123,53.67647058823529,1610612762,5,3,2022-11-05T02:43:26Z,180000,18.0,15.0,1,right,MISS M. Conley driving Layup,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-11-05T02:43:21.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,5,3,2022-11-05T02:43:26Z,190000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M14.00S,2022-11-05T02:43:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628972,6.8823915900131425,51.96078431372549,1610612747,7,3,2022-11-05T02:43:34Z,200000,-10.0,12.0,1,left,T. Brown Jr. running reverse Layup (5 PTS),[1628972],1610612747.0,LAL,running reverse,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,1.56,Made,5.0,,,,,,,,,,,,,,,,,
