actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-25T03:07:33.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-25T03:07:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-25T03:07:35.7Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2023-01-25T03:07:35Z,40000,False,,,0,,Jump Ball I. Zubac vs. T. Bryant: Tip to T. Mann,"[1629611, 1627826, 1628418]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-25T03:07:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,90.98226018396846,52.94117647058824,1610612746,0,2,2023-01-25T03:07:57Z,70000,False,15.0,32.0,1,right,K. Leonard driving finger roll Layup (2 PTS),[202695],1610612746.0,LAC,driving finger roll,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,3.55,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2023-01-25T03:08:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,18.05190538764782,63.23529411764706,1610612747,0,2,2023-01-25T03:08:10Z,80000,False,-66.0,117.0,1,left,MISS L. James 13' fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,13.46,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-01-25T03:08:07.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,2,2023-01-25T03:08:10Z,90000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M15.00S,2023-01-25T03:08:17.9Z,1,REGULAR,2pt,Jump Shot,[],202695,84.93758212877792,68.62745098039215,1610612746,0,4,2023-01-25T03:08:21Z,100000,False,93.0,89.0,1,right,K. Leonard 12' pullup Jump Shot (4 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,12.89,Made,4.0,,,,,P. George,202331.0,1.0,,,,,,,,,,
11,PT10M58.00S,2023-01-25T03:08:34.9Z,1,REGULAR,2pt,Jump Shot,[],1628418,12.532851511169525,27.205882352941174,1610612747,0,4,2023-01-25T03:08:39Z,110000,False,114.0,65.0,1,left,MISS T. Bryant 13' Jump Shot,[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,8-16 Right,13.14,Missed,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2023-01-25T03:08:37.9Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,4,2023-01-25T03:08:39Z,120000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M36.00S,2023-01-25T03:08:56.4Z,1,REGULAR,2pt,Jump Shot,[],202694,84.80617608409987,23.284313725490193,1610612746,0,6,2023-01-25T03:08:59Z,130000,False,-134.0,90.0,1,right,M. Morris Sr. 16' pullup Jump Shot (2 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left,16.13,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M22.00S,2023-01-25T03:09:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628418,18.31471747700394,52.94117647058824,1610612747,0,6,2023-01-25T03:09:15Z,140000,False,-15.0,120.0,1,left,MISS T. Bryant 12' floating Shot,[1628418],1610612747.0,LAL,floating,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),8-16 Center,12.06,Missed,,,,,,,,,,,,,,,,,,
