actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-25T02:40:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-25T02:40:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-25T02:40:53.9Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612747,0,0,2023-03-25T02:40:54Z,40000,False,,,0,,Jump Ball A. Davis vs. J. Williams: Tip to J. Vanderbilt,"[1629020, 203076, 1631119]",1610612747.0,LAL,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Davis,203076.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-03-25T02:41:10.4Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,0,0,2023-03-25T02:41:15Z,70000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1631114]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,1.0,Williams,1631114.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-25T02:41:10.4Z,1,REGULAR,steal,,[],1631114,,,1610612760,0,0,2023-03-25T02:41:13Z,80000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-03-25T02:41:15.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,8.590670170827863,55.63725490196079,1610612760,0,0,2023-03-25T02:41:28Z,90000,False,-28.0,28.0,1,left,MISS J. Williams running Shot,[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,4.0,Missed,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-03-25T02:41:17.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612747,0,0,2023-03-25T02:41:28Z,100000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2023-03-25T02:41:35.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,67.85479632063075,71.32352941176471,1610612747,0,0,2023-03-25T02:42:20Z,110000,False,107.0,250.0,1,right,MISS A. Reaves 27' step back 3PT,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,27.15,Missed,,,,,,,,,,,,,,,
12,PT11M12.00S,2023-03-25T02:41:38.6Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,0,0,2023-03-25T02:41:41Z,120000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M01.00S,2023-03-25T02:41:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,10.036136662286467,58.82352941176471,1610612760,0,2,2023-03-25T02:41:54Z,130000,False,-44.0,42.0,1,left,J. Giddey 6' driving floating bank Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.08,Made,,,,,2.0,,,,,,,,,,
14,PT10M47.00S,2023-03-25T02:42:03.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,68.11760840998686,29.65686274509804,1610612747,3,2,2023-03-25T02:42:07Z,140000,False,-102.0,247.0,1,right,A. Reaves 26' 3PT pullup (3 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,26.73,Made,,,,,3.0,,,,,,,,,,
16,PT10M18.00S,2023-03-25T02:42:52.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,7.539421813403408,3.9215686274509807,1610612760,3,2,2023-03-25T02:42:55Z,160000,False,230.0,18.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,,,,23.11,Missed,,,,,,,,,,,,,,,
17,PT10M16.00S,2023-03-25T02:42:54.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,2,2023-03-25T02:42:54Z,170000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Right Corner 3,24+ Right,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M09.00S,2023-03-25T02:43:01.2Z,1,REGULAR,3pt,Jump Shot,[],1628972,72.45400788436268,19.362745098039213,1610612747,3,2,2023-03-25T02:43:09Z,180000,False,-153.0,206.0,1,right,MISS T. Brown Jr. 25' 3PT,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.7,Missed,,,,,,,,,,,,,,,
19,PT10M02.00S,2023-03-25T02:43:08.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,3,2,2023-03-25T02:43:09Z,190000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,
20,PT10M02.00S,2023-03-25T02:43:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612747,5,2,2023-03-25T02:43:08Z,200000,False,0.0,0.0,1,right,A. Davis putback Layup (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,2.0,,,,,,,,,,
21,PT09M47.00S,2023-03-25T02:43:23.0Z,1,REGULAR,2pt,Jump Shot,[],1631119,27.513140604467807,63.48039215686275,1610612760,5,4,2023-03-25T02:43:27Z,210000,False,-67.0,206.0,1,left,J. Williams 21' Jump Shot (2 PTS),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,,,,21.68,Made,,,,,2.0,,,,,,,,,,
22,PT09M25.00S,2023-03-25T02:43:46.1Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612747,5,4,2023-03-25T02:43:53Z,220000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Reaves 2 FT),"[1630581, 1630559]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2714.0,1.0,0.0,Reaves,1630559.0,,,,,
24,PT09M25.00S,2023-03-25T02:44:12.1Z,1,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,6,4,2023-03-25T02:44:12Z,240000,False,,,0,,A. Reaves Free Throw 1 of 2 (4 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
25,PT09M25.00S,2023-03-25T02:44:27.3Z,1,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,7,4,2023-03-25T02:44:27Z,250000,False,,,0,,A. Reaves Free Throw 2 of 2 (5 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,,
26,PT09M11.00S,2023-03-25T02:44:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,5.962549277266746,39.4607843137255,1610612760,7,6,2023-03-25T02:45:03Z,260000,False,53.0,4.0,1,left,J. Giddey turnaround Jump Shot (4 PTS),[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,5.28,Made,,,,,4.0,,,,,,,,,,
27,PT08M57.00S,2023-03-25T02:44:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,84.01773981603154,55.63725490196079,1610612747,9,6,2023-03-25T02:45:00Z,270000,False,28.0,98.0,1,right,A. Davis 10' turnaround fadeaway Jump Shot (4 PTS),[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,10.17,Made,,,,,4.0,,,,,,,,,,
28,PT08M36.00S,2023-03-25T02:45:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,8.722076215505908,60.294117647058826,1610612760,9,6,2023-03-25T02:45:22Z,280000,False,-51.0,29.0,1,left,MISS J. Giddey driving floating bank Shot,[1630581],1610612760.0,OKC,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,5.94,Missed,,,,,,,,,,,,,,,
29,PT08M34.00S,2023-03-25T02:45:20.4Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,9,6,2023-03-25T02:45:22Z,290000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT08M27.00S,2023-03-25T02:45:27.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,92.95335085413929,48.774509803921575,1610612747,11,6,2023-03-25T02:45:33Z,300000,False,-6.0,14.0,1,right,A. Davis driving DUNK (6 PTS) (D. Schroder 1 AST),"[203076, 203471]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,1.5,Made,,,,,6.0,,,,,,D. Schroder,203471.0,1.0,,
32,PT08M13.00S,2023-03-25T02:45:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,5.568331143232584,65.19607843137254,1610612760,11,6,2023-03-25T02:45:53Z,320000,False,-76.0,0.0,1,left,MISS S. Gilgeous-Alexander 7' fadeaway Shot,[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,7.6,Missed,,,,,,,,,,,,,,,
33,PT08M10.00S,2023-03-25T02:45:50.6Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,11,6,2023-03-25T02:45:53Z,330000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT07M59.00S,2023-03-25T02:46:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,85.72601839684626,45.34313725490197,1610612747,11,6,2023-03-25T02:46:05Z,340000,False,-23.0,82.0,1,right,MISS A. Reaves 8' driving floating Shot,[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,8.5,Missed,,,,,,,,,,,,,,,
35,PT07M56.00S,2023-03-25T02:46:04.5Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,11,6,2023-03-25T02:46:05Z,350000,False,,,0,,A. Davis REBOUND (Off:2 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,34.0,3.0,1.0,2.0,,,,,,,,,,,
36,PT07M56.00S,2023-03-25T02:46:05.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612747,13,6,2023-03-25T02:46:05Z,360000,False,0.0,0.0,1,right,A. Davis putback DUNK (8 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,8.0,,,,,,,,,,
37,PT07M44.00S,2023-03-25T02:46:16.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.227989487516425,9.068627450980387,1610612760,13,9,2023-03-25T02:46:21Z,370000,False,205.0,175.0,1,left,L. Dort 26' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,26.94,Made,,,,,3.0,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,
39,PT07M23.00S,2023-03-25T02:46:38.3Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612747,13,9,2023-03-25T02:46:43Z,390000,False,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1631119]",1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Right Center,1.0,Williams,1631119.0,,,,,,,,,,,,,,,,,
40,PT07M23.00S,2023-03-25T02:46:38.3Z,1,REGULAR,steal,,[],1631119,,,1610612760,13,9,2023-03-25T02:46:40Z,400000,False,,,0,,J. Williams STEAL (1 STL),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
