actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-08T03:13:04.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T03:13:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-08T03:13:06.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-02-08T03:13:07Z,40000,False,,,0,,Jump Ball A. Davis vs. J. Williams: Tip to L. James,"[2544, 203076, 1631119]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-02-08T03:13:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,87.30289093298292,50.49019607843137,1610612747,0,0,2023-02-08T03:22:38Z,70000,False,2.0,67.0,1,right,MISS L. James 6' driving floating Shot,[2544],1610612747.0,LAL,driving floating,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,6.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-02-08T03:13:26.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2023-02-08T03:13:29Z,80000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2023-02-08T03:13:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612747,0,0,2023-02-08T03:13:25Z,90000,False,0.0,0.0,1,right,MISS A. Davis tip Layup,[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2023-02-08T03:13:26.6Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2023-02-08T03:13:26Z,100000,False,,,0,,A. Davis REBOUND (Off:2 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M37.00S,2023-02-08T03:13:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612747,2,0,2023-02-08T03:13:26Z,110000,False,0.0,0.0,1,right,A. Davis tip Layup (2 PTS),[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M22.00S,2023-02-08T03:13:41.3Z,1,REGULAR,turnover,bad pass,[],1629026,,,1610612760,2,0,2023-02-08T03:13:47Z,120000,False,,,0,,K. Williams bad pass TURNOVER (1 TO),"[1629026, 2544]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,James,2544.0,,,,,,,,,,
13,PT11M22.00S,2023-02-08T03:13:41.3Z,1,REGULAR,steal,,[],2544,,,1610612747,2,0,2023-02-08T03:13:43Z,130000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2023-02-08T03:13:46.7Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,2,0,2023-02-08T03:13:51Z,140000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1631114]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Williams,1631114.0,,,,,,,,,,
