actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-13T03:02:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-13T03:02:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-13T03:02:49.3Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2023-01-13T03:02:49Z,40000,False,,,0,,Jump Ball T. Bryant vs. C. Wood: Tip to M. Christie,"[1631108, 1628418, 1626174]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Bryant,1628418.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-01-13T03:03:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.0335085413929,49.50980392156863,1610612747,2,0,2023-01-13T03:22:45Z,70000,False,-2.0,22.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.25,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2023-01-13T03:03:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,8.984888304862025,50.73529411764706,1610612742,2,2,2023-01-13T03:03:31Z,90000,False,-4.0,32.0,1,left,C. Wood alley-oop Layup (2 PTS) (L. Doncic 1 AST),"[1626174, 1629029]",1610612742.0,DAL,alley-oop,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,3.22,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
11,PT10M54.00S,2023-01-13T03:03:51.8Z,1,REGULAR,2pt,Jump Shot,[],203471,76.87253613666229,51.6812193627451,1610612747,2,2,2023-01-13T03:04:05Z,110000,False,8.0,165.0,1,right,MISS D. Schroder 16' pullup Shot,[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Center,16.51,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2023-01-13T03:03:51.8Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,2,2,2023-01-13T03:04:58Z,115000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M44.00S,2023-01-13T03:04:01.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,29.878449408672807,18.382352941176478,1610612742,2,2,2023-01-13T03:04:19Z,120000,False,158.0,228.0,1,left,MISS T. Hardaway Jr. 27' running pullup 3PT,[203501],1610612742.0,DAL,running pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,27.78,Missed,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2023-01-13T03:04:04.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,2,2023-01-13T03:04:04Z,130000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M37.00S,2023-01-13T03:04:09.3Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,2,2,2023-01-13T03:04:14Z,140000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 203493]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Bullock,203493.0,,,,,,,
16,PT10M37.00S,2023-01-13T03:04:09.3Z,1,REGULAR,steal,,[],203493,,,1610612742,2,2,2023-01-13T03:04:11Z,150000,False,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2023-01-13T03:04:20.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626174,7.013797634691201,49.50980392156863,1610612742,2,4,2023-01-13T03:04:23Z,160000,False,2.0,13.0,1,left,C. Wood cutting DUNK (4 PTS) (S. Dinwiddie 1 AST),"[1626174, 203915]",1610612742.0,DAL,cutting,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,1.36,Made,4.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
19,PT10M01.00S,2023-01-13T03:04:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,93.08475689881735,37.5,1610612747,2,4,2023-01-13T03:05:47Z,180000,False,-62.0,13.0,1,right,MISS L. James 6' driving floating bank Shot,[2544],1610612747.0,LAL,driving floating bank,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,,
20,PT10M00.00S,2023-01-13T03:04:47.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,2,4,2023-01-13T03:05:15Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,19.0,,,,,,,,,,,,,
21,PT10M00.00S,2023-01-13T03:04:54.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,2,4,2023-01-13T03:05:03Z,200000,False,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,201639.0,,,,,,
22,PT09M44.00S,2023-01-13T03:05:14.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,9.510512483574246,46.32352941176471,1610612742,2,4,2023-01-13T03:06:33Z,210000,False,18.0,37.0,1,left,MISS L. Doncic driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,4.12,Missed,,,,,,,,,,,,,,,,,,
23,PT09M38.00S,2023-01-13T03:05:20.7Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,2,4,2023-01-13T03:05:21Z,220000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M34.00S,2023-01-13T03:05:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,90.5880420499343,41.91176470588235,1610612747,2,4,2023-01-13T03:05:35Z,230000,False,-40.0,36.0,1,right,MISS L. James running Layup - blocked,"[2544, 203915]",1610612747.0,LAL,running,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,,,,,,,,,,,,,Dinwiddie,203915.0,,,,
