actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-21T02:41:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-21T02:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-21T02:41:04.5Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2022-11-21T02:41:04Z,40000,False,,,0,,Jump Ball G. Dieng vs. A. Davis: Tip to T. Jones,"[1630200, 203476, 203076]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Dieng,203476.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-21T02:41:14.9Z,1,REGULAR,2pt,Jump Shot,[],203476,23.4395532194481,73.52941176470588,1610612759,0,0,2022-11-21T02:41:19Z,70000,False,-118.0,168.0,1,left,MISS G. Dieng 20' pullup Shot,[203476],1610612759.0,SAS,pullup,,,Dieng,G. Dieng,,,,,Mid-Range,16-24 Left Center,20.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-11-21T02:41:17.9Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,0,0,2022-11-21T02:41:19Z,80000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-11-21T02:41:27.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628972,91.11366622864652,49.754901960784316,1610612747,0,0,2022-11-21T02:41:57Z,90000,False,-1.0,31.0,1,right,MISS T. Brown Jr. driving Hook,[1628972],1610612747.0,LAL,driving,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-11-21T02:41:27.8Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2022-11-21T02:41:32Z,100000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M32.00S,2022-11-21T02:41:31.8Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,0,0,2022-11-21T02:41:40Z,110000,False,,,0,,A. Davis lost ball out-of-bounds TURNOVER (1 TO),[203076],1610612747.0,LAL,lost ball,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,,,,,,,202058.0,1.0,,,,,,,,,,,,
12,PT11M17.00S,2022-11-21T02:41:54.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,21.468462549277262,49.754901960784316,1610612759,0,2,2022-11-21T02:41:59Z,120000,False,1.0,149.0,1,left,D. Vassell 14' pullup Jump Shot (2 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Center,14.93,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M52.00S,2022-11-21T02:42:19.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,90.45663600525624,54.65686274509804,1610612747,0,2,2022-11-21T02:42:23Z,130000,False,23.0,37.0,1,right,MISS A. Davis Hook,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.39,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-11-21T02:42:22.1Z,1,REGULAR,rebound,defensive,[],203476,,,1610612759,0,2,2022-11-21T02:42:23Z,140000,False,,,0,,G. Dieng REBOUND (Off:0 Def:1),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M42.00S,2022-11-21T02:42:29.8Z,1,REGULAR,2pt,Jump Shot,[],1630170,22.913929040735866,70.83333333333333,1610612759,0,2,2022-11-21T02:42:34Z,150000,False,-104.0,163.0,1,left,MISS D. Vassell 19' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,19.34,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-11-21T02:42:32.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2022-11-21T02:42:34Z,160000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M27.00S,2022-11-21T02:42:44.3Z,1,REGULAR,3pt,Jump Shot,[],1629022,70.74572930354796,20.34313725490196,1610612747,0,2,2022-11-21T02:42:48Z,170000,False,-148.0,222.0,1,right,MISS L. Walker IV 26' 3PT,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2022-11-21T02:42:47.3Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,2,2022-11-21T02:42:48Z,180000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M19.00S,2022-11-21T02:42:51.9Z,1,REGULAR,3pt,Jump Shot,[],203476,32.50657030223391,60.049019607843135,1610612759,0,2,2022-11-21T02:42:57Z,190000,False,-50.0,253.0,1,left,MISS G. Dieng 25' 3PT,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2022-11-21T02:42:54.5Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,2,2022-11-21T02:42:54Z,200000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M07.00S,2022-11-21T02:43:04.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630170,18.7089356110381,25.0,1610612759,0,2,2022-11-21T02:45:58Z,210000,False,125.0,123.0,1,left,MISS D. Vassell 17' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,17.56,Missed,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2022-11-21T02:43:07.1Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,0,2,2022-11-21T02:43:10Z,220000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M48.00S,2022-11-21T02:43:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628972,93.5611038107753,46.08226102941176,1610612747,2,2,2022-11-21T02:43:27Z,230000,False,-20.0,8.0,1,right,T. Brown Jr. Layup (2 PTS) (L. Walker IV 1 AST),"[1628972, 1629022]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,2.12,Made,,,,,,,2.0,L. Walker IV,1629022.0,1.0,,,,,,,,
25,PT09M36.00S,2022-11-21T02:43:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,16.475032851511173,50.73529411764706,1610612759,2,4,2022-11-21T02:43:39Z,250000,False,-4.0,102.0,1,left,T. Jones 10' driving floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,10.25,Made,,,,,,,2.0,,,,,,,,,,,
