shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-14T03:11:25.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-14T03:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58,4,PT11M58.00S,2022-12-14T03:11:27.3Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-12-14T03:11:27Z,40000,False,,,0,,Jump Ball A. Davis vs. B. Griffin: Tip to L. James,"[2544, 203076, 201933]",6,1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,,
11:38,7,PT11M38.00S,2022-12-14T03:11:46.5Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,0,0,2022-12-14T03:11:50Z,70000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1627759]",6,1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,
11:38,8,PT11M38.00S,2022-12-14T03:11:46.5Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2022-12-14T03:11:48Z,80000,False,,,0,,J. Brown STEAL (1 STL),[1627759],7,1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11:33,9,PT11M33.00S,2022-12-14T03:11:51.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201933,6.8823915900131425,48.0392156862745,1610612738,0,2,2022-12-14T03:11:58Z,90000,False,10.0,12.0,1,left,B. Griffin running Layup (2 PTS) (J. Brown 1 AST),"[201933, 1627759]",91,1610612738.0,BOS,running,,,Griffin,B. Griffin,,,,,Restricted Area,0-8 Center,,,,1.56,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
11:14,11,PT11M14.00S,2022-12-14T03:12:10.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,91.90210249671485,57.84313725490196,1610612747,0,2,2022-12-14T04:18:38Z,110000,False,39.0,24.0,1,right,MISS A. Davis turnaround Hook,[203076],3,1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,4.58,Missed,,,,,,,,,,,,,,,
11:12,12,PT11M12.00S,2022-12-14T03:12:12.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2022-12-14T03:12:14Z,120000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],7,1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
11:02,13,PT11M02.00S,2022-12-14T03:12:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.619579500657039,48.28431372549019,1610612738,0,4,2022-12-14T03:12:27Z,130000,False,9.0,10.0,1,left,J. Brown cutting finger roll Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",7,1610612738.0,BOS,cutting finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,1.3,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
10:47,15,PT10M47.00S,2022-12-14T03:12:40.3Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612747,0,4,2022-12-14T03:12:47Z,150000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Davis 2 FT),"[203935, 203076]",36,1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202901.0,1.0,0.0,Davis,203076.0,,
10:47,17,PT10M47.00S,2022-12-14T03:13:16.2Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,1,4,2022-12-14T03:13:16Z,170000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],3,1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10:47,18,PT10M47.00S,2022-12-14T03:13:41.8Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,2,4,2022-12-14T03:13:41Z,180000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],3,1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
10:31,19,PT10M31.00S,2022-12-14T03:14:00.9Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,2,4,2022-12-14T03:14:06Z,190000,False,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],7,1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,,,,,101284.0,,,,,,
