actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-21T03:10:56.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-21T03:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-21T03:10:59.6Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-01-21T03:10:59Z,40000,False,,,0,,Jump Ball T. Bryant vs. S. Adams: Tip to L. James,"[2544, 1628418, 203500]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Bryant,1628418.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-21T03:11:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628972,16.475032851511173,54.90196078431372,1610612747,0,0,2023-01-21T03:11:22Z,70000,False,-25.0,102.0,1,left,MISS T. Brown Jr. 10' floating Shot,[1628972],1610612747.0,LAL,floating,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.53,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-01-21T03:11:19.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2023-01-21T03:11:22Z,80000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-01-21T03:11:28.9Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,0,2023-01-21T03:11:32Z,90000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 203471]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Schroder,203471.0,,,,,,,,,,,
10,PT11M26.00S,2023-01-21T03:11:28.9Z,1,REGULAR,steal,,[],203471,,,1610612747,0,0,2023-01-21T03:11:30Z,100000,False,,,0,,D. Schroder STEAL (1 STL),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2023-01-21T03:11:37.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,31.45532194480947,75.73529411764706,1610612747,0,0,2023-01-21T03:11:42Z,110000,False,-129.0,243.0,1,left,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,27.52,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-01-21T03:11:40.7Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,0,0,2023-01-21T03:11:42Z,120000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2023-01-21T03:11:46.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,70.3515111695138,21.568627450980387,1610612763,0,0,2023-01-21T03:11:53Z,130000,False,-142.0,226.0,1,right,MISS D. Brooks 26' running pullup 3PT,[1628415],1610612763.0,MEM,running pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,26.72,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2023-01-21T03:11:49.1Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,0,0,2023-01-21T03:11:53Z,140000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
