actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-29T03:40:50.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T03:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-29T03:40:53.0Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-11-29T03:40:53Z,40000,False,,,0,,Jump Ball A. Davis vs. M. Turner: Tip to L. James,"[2544, 203076, 1626167]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-11-29T03:41:12.0Z,1,REGULAR,2pt,Jump Shot,[],2544,70.48291721419186,45.833333333333336,1610612747,2,0,2022-11-29T03:41:17Z,70000,False,-21.0,225.0,1,right,L. James 22' step back Jump Shot (2 PTS),[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Mid-Range,16-24 Center,22.6,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-11-29T03:41:31.0Z,1,REGULAR,3pt,Jump Shot,[],1630174,28.827201051248352,24.509803921568633,1610612754,2,0,2022-11-29T03:41:36Z,80000,False,127.0,218.0,1,left,MISS A. Nesmith 25' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.3,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-11-29T03:41:35.0Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,2,0,2022-11-29T03:41:36Z,90000,False,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M06.00S,2022-11-29T03:41:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612747,2,0,2022-11-29T03:41:55Z,100000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (James 2 FT),"[1627741, 2544]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203591.0,1.0,0.0,James,2544.0,,,,,,,,
12,PT11M06.00S,2022-11-29T03:42:15.2Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,3,0,2022-11-29T03:42:15Z,120000,False,,,0,,L. James Free Throw 1 of 2 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2022-11-29T03:42:32.9Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,4,0,2022-11-29T03:42:32Z,130000,False,,,0,,L. James Free Throw 2 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-11-29T03:44:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,10.561760840998687,50.49019607843137,1610612754,4,0,2022-11-29T03:44:06Z,150000,False,-2.0,47.0,1,left,MISS J. Smith driving finger roll Layup,[1630188],1610612754.0,IND,driving finger roll,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-11-29T03:44:04.9Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,0,2022-11-29T03:44:06Z,160000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M36.00S,2022-11-29T03:44:09.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,68.77463863337714,33.08823529411765,1610612747,7,0,2022-11-29T03:44:17Z,170000,False,-85.0,241.0,1,right,L. James 25' 3PT running pullup (7 PTS),[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Above the Break 3,24+ Left Center,25.54,Made,7.0,,,,,,,,,,,,,,,,,
