actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-31T01:46:01.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-31T01:46:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-31T01:46:04.5Z,1,REGULAR,jumpball,recovered,[],201976,,,1610612747,0,0,2022-10-31T01:46:04Z,40000,,,0,,Jump Ball A. Davis vs. N. Jokic: Tip to P. Beverley,"[201976, 203076, 203999]",1610612747.0,LAL,startperiod,P. Beverley,201976.0,Beverley,P. Beverley,Davis,203076.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-31T01:46:19.4Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,0,0,2022-10-31T01:46:46Z,70000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,Right Corner 3,24+ Right,202027.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-10-31T01:46:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627750,6.225361366622863,52.205882352941174,1610612743,0,0,2022-10-31T01:46:42Z,80000,-11.0,6.0,1,left,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,1.25,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-31T01:46:39.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2022-10-31T01:46:42Z,90000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M21.00S,2022-10-31T01:46:44.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,92.0335085413929,54.16666666666667,1610612747,0,0,2022-10-31T01:46:53Z,100000,21.0,22.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,3.06,Missed,,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-10-31T01:46:46.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-10-31T01:46:53Z,110000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M13.00S,2022-10-31T01:46:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.093955321944804,50.98039215686275,1610612743,0,0,2022-10-31T01:46:59Z,120000,-5.0,5.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,0.69,Missed,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-10-31T01:46:55.6Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,0,0,2022-10-31T01:46:59Z,130000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M07.00S,2022-10-31T01:46:59.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628972,92.42772667542707,52.205882352941174,1610612747,0,0,2022-10-31T01:47:20Z,140000,11.0,19.0,1,right,MISS T. Brown Jr. running Layup,[1628972],1610612747.0,LAL,running,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,2.17,Missed,,,,,,,,,,,,,,,,
