actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-07T03:40:56.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T03:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-07T03:40:59.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-01-07T03:40:59Z,40000,False,,,0,,Jump Ball T. Bryant vs. O. Okongwu: Tip to L. James,"[2544, 1628418, 1630168]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Bryant,1628418.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-07T03:41:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628418,70.87713534822602,78.43137254901961,1610612747,3,0,2023-01-07T03:41:16Z,70000,False,142.0,221.0,1,right,T. Bryant 26' 3PT  (3 PTS) (D. Schroder 1 AST),"[1628418, 203471]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Right Center,26.3,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-07T03:41:26.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,23.258869908015768,50.14169730392157,1610612737,3,2,2023-01-07T03:41:34Z,90000,False,-1.0,166.0,1,left,D. Murray 16' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,16.61,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2023-01-07T03:41:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,91.50788436268068,53.431372549019606,1610612747,5,2,2023-01-07T03:41:42Z,100000,False,17.0,27.0,1,right,D. Schroder driving Layup (2 PTS),[203471],1610612747.0,LAL,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,3.23,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-01-07T03:41:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.345597897503282,34.413296568627445,1610612737,5,2,2023-01-07T03:41:58Z,110000,False,78.0,111.0,1,left,MISS D. Murray 13' Jump Shot - blocked,"[1627749, 201976]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Right,13.52,Missed,,,,,Beverley,201976.0,,,,,,,,,,,,
12,PT11M03.00S,2023-01-07T03:41:52.2Z,1,REGULAR,block,,[],201976,,,1610612737,5,2,2023-01-07T03:41:54Z,120000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-01-07T03:41:55.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,5,2,2023-01-07T03:41:58Z,130000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT10M59.00S,2023-01-07T03:41:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201976,90.8508541392904,49.26470588235294,1610612747,7,2,2023-01-07T03:42:03Z,140000,False,-4.0,34.0,1,right,P. Beverley running finger roll Layup (2 PTS),[201976],1610612747.0,LAL,running finger roll,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,3.37,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2023-01-07T03:42:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,8.065045992115643,49.01960784313726,1610612737,7,2,2023-01-07T03:42:47Z,150000,False,5.0,23.0,1,left,MISS T. Young finger roll Layup,[1629027],1610612737.0,ATL,finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
