actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-14T02:40:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-14T02:40:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-14T02:40:45.4Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2022-11-14T02:40:45Z,40000,False,,,0,,Jump Ball A. Davis vs. N. Claxton: Tip to A. Reaves,"[1630559, 203076, 1629651]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Davis,203076.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-14T02:41:03.0Z,1,REGULAR,3pt,Jump Shot,[],1628972,89.79960578186596,94.6078431372549,1610612747,0,0,2022-11-14T02:41:09Z,70000,False,223.0,43.0,1,right,MISS T. Brown Jr. 3PT,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Right Corner 3,24+ Right,22.72,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-11-14T02:41:05.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2022-11-14T02:41:19Z,80000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-14T02:41:08.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,88.87976346911958,60.78431372549019,1610612747,0,0,2022-11-14T02:41:12Z,90000,False,54.0,52.0,1,right,MISS A. Davis 7' putback Layup - blocked,"[203076, 201142]",1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.49,Missed,,,,,Durant,201142.0,,,,,,,,,,,,
10,PT11M37.00S,2022-11-14T02:41:08.5Z,1,REGULAR,block,,[],201142,,,1610612747,0,0,2022-11-14T02:41:10Z,100000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2022-11-14T02:41:08.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,0,2022-11-14T02:41:12Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2022-11-14T02:41:27.3Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612747,0,0,2022-11-14T02:41:41Z,120000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Walker IV 2 FT),"[1626220, 1629022]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1155.0,1.0,0.0,Walker IV,1629022.0,,,,,,,
14,PT11M34.00S,2022-11-14T02:41:53.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629022,,,1610612747,1,0,2022-11-14T02:41:53Z,140000,False,,,0,,L. Walker IV Free Throw 1 of 2 (1 PTS),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
15,PT11M34.00S,2022-11-14T02:42:07.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629022,,,1610612747,2,0,2022-11-14T02:42:07Z,150000,False,,,0,,L. Walker IV Free Throw 2 of 2 (2 PTS),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
16,PT11M17.00S,2022-11-14T02:42:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,13.058475689881732,50.73529411764706,1610612751,2,2,2022-11-14T02:42:35Z,160000,False,-4.0,70.0,1,left,N. Claxton 7' floating Jump Shot (2 PTS) (R. O'Neale 1 AST),"[1629651, 1626220]",1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,7.03,Made,,,,,,,,,,,,2.0,R. O'Neale,1626220.0,1.0,,,
19,PT10M51.00S,2022-11-14T02:42:54.1Z,1,REGULAR,2pt,Jump Shot,[],1630559,92.82194480946123,26.470588235294116,1610612747,2,2,2022-11-14T02:43:27Z,180000,False,-118.0,15.0,1,right,MISS A. Reaves 11' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,11.86,Missed,,,,,,,,,,,,,,,,,,
20,PT10M49.00S,2022-11-14T02:42:56.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,2,2022-11-14T02:42:58Z,190000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M36.00S,2022-11-14T02:43:09.1Z,1,REGULAR,3pt,Jump Shot,[],1628410,7.013797634691201,95.83333333333333,1610612751,2,2,2022-11-14T02:43:21Z,200000,False,-229.0,13.0,1,left,MISS E. Sumner 3PT,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Left Corner 3,24+ Left,22.96,Missed,,,,,,,,,,,,,,,,,,
