actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-17T03:10:43.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-17T03:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-12-17T03:10:46.9Z,1,REGULAR,jumpball,recovered,[],1629022,,,1610612747,0,0,2022-12-17T03:10:46Z,40000,False,,,0,,Jump Ball A. Davis vs. N. Jokic: Tip to L. Walker IV,"[1629022, 203076, 203999]",1610612747.0,LAL,startperiod,L. Walker IV,1629022.0,Walker IV,L. Walker IV,Davis,203076.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-12-17T03:10:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,93.2161629434954,45.833333333333336,1610612747,0,0,2022-12-17T03:11:05Z,70000,False,-21.0,11.0,1,right,MISS L. Walker IV driving Layup,[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2022-12-17T03:10:48.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2022-12-17T03:12:09Z,80000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M43.00S,2022-12-17T03:10:57.5Z,1,REGULAR,3pt,Jump Shot,[],203999,29.09001314060447,26.225490196078425,1610612743,0,3,2022-12-17T03:11:10Z,90000,False,119.0,221.0,1,left,N. Jokic 25' 3PT  (3 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,25.09,Made,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,
11,PT11M28.00S,2022-12-17T03:11:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,89.93101182654402,49.26470588235294,1610612747,2,3,2022-12-17T03:11:19Z,110000,False,-4.0,42.0,1,right,D. Schroder driving Layup (2 PTS),[203471],1610612747.0,LAL,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,4.23,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M18.00S,2022-12-17T03:11:22.7Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,2,3,2022-12-17T03:11:32Z,120000,False,,,0,,J. Murray lost ball TURNOVER (1 TO),"[1627750, 203471]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Schroder,203471.0,,,,,,,
13,PT11M18.00S,2022-12-17T03:11:22.7Z,1,REGULAR,steal,,[],203471,,,1610612747,2,3,2022-12-17T03:11:27Z,130000,False,,,0,,D. Schroder STEAL (1 STL),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-12-17T03:11:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201976,92.29632063074901,52.69607843137255,1610612747,4,3,2022-12-17T03:11:43Z,140000,False,13.0,20.0,1,right,P. Beverley running Layup (2 PTS) (D. Schroder 1 AST),"[201976, 203471]",1610612747.0,LAL,running,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,2.4,Made,,,,,2.0,D. Schroder,203471.0,1.0,,,,,,,,,,
16,PT10M53.00S,2022-12-17T03:11:47.6Z,1,REGULAR,3pt,Jump Shot,[],203484,26.461892247043366,88.97058823529412,1610612743,4,6,2022-12-17T03:11:51Z,160000,False,-195.0,196.0,1,left,K. Caldwell-Pope 27' 3PT  (3 PTS) (J. Murray 2 AST),"[203484, 1627750]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,27.66,Made,,,,,3.0,J. Murray,1627750.0,2.0,,,,,,,,,,
19,PT10M39.00S,2022-12-17T03:12:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,90.45663600525624,51.470588235294116,1610612747,6,6,2022-12-17T03:12:15Z,190000,False,7.0,37.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,3.79,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M19.00S,2022-12-17T03:12:21.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,7.408015768725363,49.01960784313726,1610612743,6,8,2022-12-17T03:12:24Z,200000,False,5.0,17.0,1,left,A. Gordon cutting DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,
