actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-17T03:41:45.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-17T03:41:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-17T03:41:48.3Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-01-17T03:41:48Z,40000,False,,,0,,Jump Ball T. Bryant vs. A. Sengun: Tip to L. James,"[2544, 1628418, 1630578]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Bryant,1628418.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-17T03:42:03.5Z,1,REGULAR,3pt,Jump Shot,[],201976,68.64323258869908,28.92156862745098,1610612747,3,0,2023-01-17T03:42:09Z,70000,False,-105.0,242.0,1,right,P. Beverley 26' 3PT  (3 PTS) (D. Schroder 1 AST),"[201976, 203471]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,26.42,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-01-17T03:42:22.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,26.72470433639947,79.41176470588235,1610612745,3,0,2023-01-17T03:42:28Z,90000,False,-147.0,199.0,1,left,MISS J. Smith Jr. 24' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,24.72,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-01-17T03:42:25.4Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,3,0,2023-01-17T03:42:28Z,100000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2023-01-17T03:42:31.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628418,68.24901445466492,33.08823529411765,1610612747,3,0,2023-01-17T03:42:39Z,110000,False,-85.0,246.0,1,right,MISS T. Bryant 26' running 3PT,[1628418],1610612747.0,LAL,running,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-01-17T03:42:35.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,0,2023-01-17T03:42:39Z,120000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M00.00S,2023-01-17T03:42:44.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,7.933639947437584,51.71568627450981,1610612745,3,2,2023-01-17T03:42:48Z,130000,False,-9.0,22.0,1,left,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2023-01-17T03:42:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,79.68134034165571,45.58823529411765,1610612747,5,2,2023-01-17T03:42:58Z,140000,False,-22.0,138.0,1,right,D. Schroder 14' pullup Jump Shot (2 PTS),[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,14.03,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2023-01-17T03:43:15.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,8.853482260183966,52.69607843137255,1610612745,5,4,2023-01-17T03:43:22Z,150000,False,-13.0,31.0,1,left,A. Sengun floating Jump Shot (4 PTS),[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.35,Made,4.0,,,,,,,,,,,,,,,,,
16,PT10M18.00S,2023-01-17T03:43:26.6Z,1,REGULAR,3pt,Jump Shot,[],2544,73.11103810775296,82.59803921568627,1610612747,8,4,2023-01-17T03:43:32Z,160000,False,163.0,200.0,1,right,L. James 25' 3PT  (3 PTS) (D. Schroder 2 AST),"[2544, 203471]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.82,Made,3.0,D. Schroder,203471.0,2.0,,,,,,,,,,,,,,
18,PT10M01.00S,2023-01-17T03:43:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1628418,,,1610612745,8,4,2023-01-17T03:43:55Z,180000,False,,,0,,T. Bryant shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1628418, 1631095]",1610612747.0,LAL,shooting,,,Bryant,T. Bryant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,200834.0,1.0,0.0,Smith Jr.,1631095.0,,,,,
20,PT10M01.00S,2023-01-17T03:44:20.2Z,1,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,8,5,2023-01-17T03:44:20Z,200000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2023-01-17T03:44:41.8Z,1,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,8,6,2023-01-17T03:44:41Z,210000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (2 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2023-01-17T03:44:58.6Z,1,REGULAR,2pt,Jump Shot,[],203471,79.23784494086728,50.21829044117647,1610612747,8,6,2023-01-17T03:45:03Z,220000,False,1.0,143.0,1,right,MISS D. Schroder 14' pullup Shot,[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Center,14.27,Missed,,,,,,,,,,,,,,,,,,
