actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-20T01:41:07.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-20T01:41:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-03-20T01:41:13.5Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-03-20T01:41:13Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Davis: Tip to M. Fultz,"[1628365, 1628976, 203076]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-03-20T01:41:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,27.38173455978975,24.75490196078431,1610612753,0,0,2023-03-20T01:41:23Z,70000,False,126.0,205.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,24.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-03-20T01:41:21.9Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612747,0,0,2023-03-20T01:41:23Z,80000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612747.0,LAL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-03-20T01:41:39.3Z,1,REGULAR,2pt,Jump Shot,[],203076,85.46320630749014,20.588235294117652,1610612747,0,0,2023-03-20T01:41:44Z,90000,False,-147.0,84.0,1,right,MISS A. Davis 16' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left,16.94,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-03-20T01:41:42.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2023-03-20T01:41:44Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2023-03-20T01:42:00.2Z,1,REGULAR,3pt,Jump Shot,[],203914,21.59986859395532,9.558823529411768,1610612753,0,0,2023-03-20T01:42:06Z,110000,False,202.0,151.0,1,left,MISS G. Harris 25' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,25.21,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2023-03-20T01:42:04.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612747,0,0,2023-03-20T01:42:06Z,120000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2023-03-20T01:42:07.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628972,74.81931668856767,87.25490196078431,1610612747,0,0,2023-03-20T01:42:33Z,130000,False,186.0,184.0,1,right,MISS T. Brown Jr. 26' running 3PT,[1628972],1610612747.0,LAL,running,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2023-03-20T01:42:12.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612747,0,0,2023-03-20T01:42:16Z,140000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
