actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-06T20:41:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T20:41:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-06T20:41:17.1Z,1,REGULAR,jumpball,recovered,[],1629022,,,1610612747,0,0,2022-11-06T20:41:17Z,40000,,,0,,Jump Ball A. Davis vs. J. Allen: Tip to L. Walker IV,"[1629022, 203076, 1628386]",1610612747.0,LAL,startperiod,L. Walker IV,1629022.0,Walker IV,L. Walker IV,Davis,203076.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-06T20:41:34.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.08475689881735,54.16666666666667,1610612747,2,0,2022-11-06T20:41:39Z,70000,21.0,13.0,1,right,A. Davis DUNK (2 PTS) (K. Nunn 1 AST),"[203076, 1629134]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,K. Nunn,1629134.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-06T20:41:55.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,12.00722733245729,82.35294117647058,1610612739,2,0,2022-11-06T20:41:59Z,90000,-162.0,60.0,1,left,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left,17.27,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-11-06T20:41:57.2Z,1,REGULAR,rebound,defensive,[],1629134,,,1610612747,2,0,2022-11-06T20:41:59Z,100000,,,0,,K. Nunn REBOUND (Off:0 Def:1),[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,Mid-Range,16-24 Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2022-11-06T20:42:03.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629134,71.27135348226018,18.627450980392155,1610612747,2,0,2022-11-06T20:42:08Z,110000,-157.0,218.0,1,right,MISS K. Nunn 26' running pullup 3PT,[1629134],1610612747.0,LAL,running pullup,,,Nunn,K. Nunn,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-11-06T20:42:05.2Z,1,REGULAR,rebound,offensive,[],1628972,,,1610612747,2,0,2022-11-06T20:42:05Z,120000,,,0,,T. Brown Jr. REBOUND (Off:1 Def:0),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M03.00S,2022-11-06T20:42:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628972,90.98226018396846,51.22549019607843,1610612747,2,0,2022-11-06T20:42:53Z,130000,6.0,32.0,1,right,MISS T. Brown Jr. Layup,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-11-06T20:42:12.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2022-11-06T20:42:22Z,140000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M57.00S,2022-11-06T20:42:16.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628386,16.212220762155056,39.4607843137255,1610612739,2,0,2022-11-06T20:42:41Z,150000,53.0,100.0,1,left,MISS J. Allen 11' running Shot,[1628386],1610612739.0,CLE,running,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,11.29,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-11-06T20:42:19.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,0,2022-11-06T20:42:30Z,160000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M47.00S,2022-11-06T20:42:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628972,91.24507227332458,4.166666666666657,1610612747,5,0,2022-11-06T20:42:34Z,170000,-229.0,30.0,1,right,T. Brown Jr. 3PT  (3 PTS) (L. James 1 AST),"[1628972, 2544]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Left Corner 3,24+ Left,23.11,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
19,PT10M28.00S,2022-11-06T20:42:45.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,28.038764783180028,79.90196078431373,1610612739,5,0,2022-11-06T20:42:50Z,190000,-150.0,211.0,1,left,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-11-06T20:42:47.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,0,2022-11-06T20:42:50Z,200000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M19.00S,2022-11-06T20:42:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,91.90210249671485,49.754901960784316,1610612747,7,0,2022-11-06T20:42:58Z,210000,-1.0,24.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-11-06T20:43:13.6Z,1,REGULAR,foul,personal,['2freethrow'],1628972,,,1610612739,7,0,2022-11-06T20:43:19Z,220000,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1628972, 1628378]",1610612747.0,LAL,shooting,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,1.0,0.0,Mitchell,1628378.0,,,,,
24,PT10M02.00S,2022-11-06T20:43:44.2Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,7,1,2022-11-06T20:43:44Z,240000,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2022-11-06T20:44:08.1Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,7,2,2022-11-06T20:44:08Z,250000,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2022-11-06T20:44:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,91.50788436268068,53.18627450980392,1610612747,9,2,2022-11-06T20:44:24Z,260000,16.0,27.0,1,right,L. James driving Layup (4 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,3.16,Made,4.0,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-11-06T20:44:29.4Z,1,REGULAR,2pt,Jump Shot,[],1627747,20.41721419185282,49.50980392156863,1610612739,9,2,2022-11-06T20:44:32Z,270000,2.0,139.0,1,left,MISS C. LeVert 13' pullup Shot,[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Center,13.94,Missed,,,,,,,,,,,,,,,,,,
