actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-03T02:41:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T02:41:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-03T02:41:28.7Z,1,REGULAR,jumpball,recovered,[],201976,,,1610612747,0,0,2022-11-03T02:41:28Z,40000,,,0,,Jump Ball A. Davis vs. J. Valanciunas: Tip to P. Beverley,"[201976, 203076, 202685]",1610612747.0,LAL,startperiod,P. Beverley,201976.0,Beverley,P. Beverley,Davis,203076.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-03T02:41:46.0Z,1,REGULAR,2pt,Jump Shot,[],203076,22.78252299605782,58.088235294117645,1610612747,0,0,2022-11-03T02:42:23Z,70000,-40.0,162.0,1,left,MISS A. Davis 16' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,16.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-11-03T02:41:48.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2022-11-03T02:41:50Z,80000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-11-03T02:42:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.2161629434954,47.30392156862745,1610612740,0,2,2022-11-03T02:42:08Z,90000,-13.0,11.0,1,right,Z. Williamson cutting Layup (2 PTS) (C. McCollum 1 AST),"[1629627, 203468]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,2.0,C. McCollum,203468.0,1.0,,,,,,,,,,
11,PT11M13.00S,2022-11-03T02:42:11.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628972,7.802233902759525,50.49019607843137,1610612747,2,2,2022-11-03T02:43:19Z,110000,-2.0,21.0,1,left,T. Brown Jr. running Layup (2 PTS) (L. James 1 AST),"[1628972, 2544]",1610612747.0,LAL,running,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,2.09,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,,,
13,PT10M47.00S,2022-11-03T02:42:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630230,74.03088042049934,14.705882352941174,1610612740,2,2,2022-11-03T02:42:40Z,130000,-176.0,192.0,1,right,MISS N. Marshall 26' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-11-03T02:42:38.1Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,2,2022-11-03T02:42:40Z,140000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M37.00S,2022-11-03T02:42:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,7.670827858081481,45.58823529411765,1610612747,2,2,2022-11-03T02:42:51Z,150000,22.0,20.0,1,left,MISS A. Davis cutting Layup,[203076],1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2022-11-03T02:42:49.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2022-11-03T02:42:51Z,160000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
