actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-05T02:15:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T02:15:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-05T02:15:25.7Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-11-05T02:15:25Z,40000,False,,,0,,Jump Ball C. Holmgren vs. G. Bitadze: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1629048]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-05T02:15:42.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,25.57490144546649,81.37254901960785,1610612760,3,0,2024-11-05T02:15:46Z,70000,False,-157.0,188.0,1,left,J. Williams 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,24.48,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-11-05T02:16:01.3Z,1,REGULAR,3pt,Jump Shot,[],203484,84.1819973718791,4.6568627450980395,1610612753,3,0,2024-11-05T02:16:06Z,90000,False,-227.0,96.0,1,right,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-11-05T02:16:04.3Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,3,0,2024-11-05T02:16:06Z,100000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2024-11-05T02:16:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,6.652431011826544,48.03921568627451,1610612760,5,0,2024-11-05T02:16:18Z,110000,False,10.0,10.0,1,left,J. Williams driving Layup (5 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.4,Made,5.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
13,PT10M51.00S,2024-11-05T02:16:31.9Z,1,REGULAR,2pt,Jump Shot,[],1630591,82.07950065703022,32.84313725490196,1610612753,5,0,2024-11-05T02:16:38Z,130000,False,-86.0,116.0,1,right,MISS J. Suggs 14' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,14.43,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2024-11-05T02:16:36.9Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,5,0,2024-11-05T02:16:38Z,140000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M46.00S,2024-11-05T02:16:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,94.40999984741211,50.0,1610612753,5,2,2024-11-05T02:16:36Z,150000,False,0.0,0.0,1,right,G. Bitadze tip Layup (2 PTS),[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2024-11-05T02:16:42.5Z,1,REGULAR,3pt,Jump Shot,[],1631096,29.77989487516426,73.0392156862745,1610612760,8,2,2024-11-05T02:16:46Z,160000,False,-115.0,227.0,1,left,C. Holmgren 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1631096, 1628983]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.49,Made,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,,
18,PT10M20.00S,2024-11-05T02:17:02.9Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612753,8,2,2024-11-05T02:17:10Z,180000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1631114]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1.0,Williams,1631114.0,,,,,,,
19,PT10M20.00S,2024-11-05T02:17:02.9Z,1,REGULAR,steal,,[],1631114,,,1610612760,8,2,2024-11-05T02:17:04Z,190000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2024-11-05T02:17:09.1Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,8,2,2024-11-05T02:17:12Z,200000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1630532]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Wagner,1630532.0,,,,,,,
21,PT10M14.00S,2024-11-05T02:17:09.1Z,1,REGULAR,steal,,[],1630532,,,1610612753,8,2,2024-11-05T02:17:11Z,210000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2024-11-05T02:17:15.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641783,92.9862023653088,46.568627450980394,1610612753,8,4,2024-11-05T02:41:51Z,220000,False,-17.0,13.0,1,right,T. da Silva running alley-oop DUNK (2 PTS) (G. Bitadze 1 AST),"[1641783, 1629048]",1610612753.0,ORL,running alley-oop,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,2.18,Made,2.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
24,PT09M58.00S,2024-11-05T02:17:25.4Z,1,REGULAR,3pt,Jump Shot,[],1631114,3.4986859395532193,95.34313725490196,1610612760,8,4,2024-11-05T02:17:35Z,240000,False,-227.0,-20.0,1,left,MISS J. Williams 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,22.75,Missed,,,,,,,,,,,,,,,,,,
25,PT09M58.00S,2024-11-05T02:17:25.4Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,8,4,2024-11-05T02:17:35Z,250000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Left Corner 3,24+ Left,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,
